"Data set title: Canopy Processes at HJA. Above canopy variables include: air temperature, relative humidity, water vapor, and leaf wetness from 01-Oct-2019 to 14-Sep-2020",,,,
,,,,
Site,Date,AIRTEMP_MEAN_5600_0_01,VPD_MEAN_5600_0_01,Flag_VPD_MEAN_5600_0_01
,yyyy-MM-dd HH:mm:ss,deg c,mb,none
nominal,datetime,data,calculation,code
DSCMET_421,10/1/2019 0:05,4.54,0.084,
DSCMET_421,10/1/2019 0:10,4.506,0.084,
DSCMET_421,10/1/2019 0:15,4.447,0.084,
DSCMET_421,10/1/2019 0:20,4.364,0.083,
DSCMET_421,10/1/2019 0:25,4.288,0.083,
DSCMET_421,10/1/2019 0:30,4.214,0.083,
DSCMET_421,10/1/2019 0:35,4.076,0.082,
DSCMET_421,10/1/2019 0:40,3.964,0.081,
DSCMET_421,10/1/2019 0:45,3.855,0.08,
DSCMET_421,10/1/2019 0:50,3.738,0.08,
DSCMET_421,10/1/2019 0:55,3.649,0.079,
DSCMET_421,10/1/2019 1:00,3.609,0.079,
DSCMET_421,10/1/2019 1:05,3.495,0.078,
DSCMET_421,10/1/2019 1:10,3.341,0.078,
DSCMET_421,10/1/2019 1:15,3.202,0.077,
DSCMET_421,10/1/2019 1:20,3.14,0.077,
DSCMET_421,10/1/2019 1:25,3.097,0.076,
DSCMET_421,10/1/2019 1:30,2.917,0.075,
DSCMET_421,10/1/2019 1:35,2.91,0.075,
DSCMET_421,10/1/2019 1:40,2.815,0.075,
DSCMET_421,10/1/2019 1:45,2.703,0.074,
DSCMET_421,10/1/2019 1:50,2.62,0.074,
DSCMET_421,10/1/2019 1:55,2.52,0.073,
DSCMET_421,10/1/2019 2:00,2.42,0.073,
DSCMET_421,10/1/2019 2:05,2.389,0.073,
DSCMET_421,10/1/2019 2:10,2.377,0.072,
DSCMET_421,10/1/2019 2:15,2.35,0.072,
DSCMET_421,10/1/2019 2:20,2.154,0.071,
DSCMET_421,10/1/2019 2:25,2.048,0.071,
DSCMET_421,10/1/2019 2:30,1.956,0.07,
DSCMET_421,10/1/2019 2:35,1.859,0.07,
DSCMET_421,10/1/2019 2:40,1.82,0.07,
DSCMET_421,10/1/2019 2:45,1.767,0.069,
DSCMET_421,10/1/2019 2:50,1.719,0.069,
DSCMET_421,10/1/2019 2:55,1.642,0.069,
DSCMET_421,10/1/2019 3:00,1.594,0.069,
DSCMET_421,10/1/2019 3:05,1.588,0.069,
DSCMET_421,10/1/2019 3:10,1.397,0.068,
DSCMET_421,10/1/2019 3:15,1.4,0.068,
DSCMET_421,10/1/2019 3:20,1.373,0.067,
DSCMET_421,10/1/2019 3:25,1.341,0.067,
DSCMET_421,10/1/2019 3:30,1.261,0.067,
DSCMET_421,10/1/2019 3:35,1.138,0.066,
DSCMET_421,10/1/2019 3:40,1.157,0.066,
DSCMET_421,10/1/2019 3:45,1.144,0.066,
DSCMET_421,10/1/2019 3:50,1.019,0.066,
DSCMET_421,10/1/2019 3:55,0.928,0.065,
DSCMET_421,10/1/2019 4:00,0.898,0.065,
DSCMET_421,10/1/2019 4:05,0.842,0.065,
DSCMET_421,10/1/2019 4:10,0.942,0.065,
DSCMET_421,10/1/2019 4:15,0.77,0.065,
DSCMET_421,10/1/2019 4:20,0.647,0.064,
DSCMET_421,10/1/2019 4:25,0.569,0.064,
DSCMET_421,10/1/2019 4:30,0.56,0.064,
DSCMET_421,10/1/2019 4:35,0.509,0.063,
DSCMET_421,10/1/2019 4:40,0.47,0.063,
DSCMET_421,10/1/2019 4:45,0.452,0.063,
DSCMET_421,10/1/2019 4:50,0.504,0.063,
DSCMET_421,10/1/2019 4:55,0.3,0.062,
DSCMET_421,10/1/2019 5:00,0.362,0.063,
DSCMET_421,10/1/2019 5:05,0.362,0.063,
DSCMET_421,10/1/2019 5:10,0.218,0.062,
DSCMET_421,10/1/2019 5:15,0.209,0.062,
DSCMET_421,10/1/2019 5:20,0.164,0.062,
