"Data set title: Canopy Processes at HJA. Above canopy variables include: air temperature, relative humidity, water vapor, and leaf wetness from 13-Oct-2020 to 01-Oct-2021",,,,
,,,,
Site,Date,AIRTEMP_MEAN_5600_0_01,VPD_MEAN_5600_0_01,Flag_VPD_MEAN_5600_0_01
,yyyy-MM-dd HH:mm:ss,deg c,mb,none
nominal,datetime,data,calculation,code
DSCMET_421,10/13/2020 10:50,14.06,0.112,
DSCMET_421,10/13/2020 10:55,14.12,0.113,
DSCMET_421,10/13/2020 11:00,14.09,0.113,
DSCMET_421,10/13/2020 11:05,14.12,0.113,
DSCMET_421,10/13/2020 11:10,14.24,0.114,
DSCMET_421,10/13/2020 11:15,14.28,0.114,
DSCMET_421,10/13/2020 11:20,14.24,0.114,
DSCMET_421,10/13/2020 11:25,14.16,0.113,
DSCMET_421,10/13/2020 11:30,14.2,0.113,
DSCMET_421,10/13/2020 11:35,14.27,0.114,
DSCMET_421,10/13/2020 11:40,14.33,0.114,
DSCMET_421,10/13/2020 11:45,14.31,0.114,
DSCMET_421,10/13/2020 11:50,14.33,0.114,
DSCMET_421,10/13/2020 11:55,14.39,0.115,
DSCMET_421,10/13/2020 12:00,14.57,0.116,
DSCMET_421,10/13/2020 12:05,14.53,0.116,
DSCMET_421,10/13/2020 12:10,14.35,0.114,
DSCMET_421,10/13/2020 12:15,14.34,0.098,
DSCMET_421,10/13/2020 12:20,14.36,0.098,
DSCMET_421,10/13/2020 12:25,14.4,0.098,
DSCMET_421,10/13/2020 12:30,14.4,0.098,
DSCMET_421,10/13/2020 12:35,14.4,0.098,
DSCMET_421,10/13/2020 12:40,14.42,0.099,
DSCMET_421,10/13/2020 12:45,14.42,0.099,
DSCMET_421,10/13/2020 12:50,14.42,0.099,
DSCMET_421,10/13/2020 12:55,14.45,0.099,
DSCMET_421,10/13/2020 13:00,14.45,0.099,
DSCMET_421,10/13/2020 13:05,14.49,0.099,
DSCMET_421,10/13/2020 13:10,14.52,0.099,
DSCMET_421,10/13/2020 13:15,14.48,0.099,
DSCMET_421,10/13/2020 13:20,14.55,0.099,
DSCMET_421,10/13/2020 13:25,14.55,0.099,
DSCMET_421,10/13/2020 13:30,14.56,0.099,
DSCMET_421,10/13/2020 13:35,14.67,0.1,
DSCMET_421,10/13/2020 13:40,14.72,0.1,
DSCMET_421,10/13/2020 13:45,14.61,0.1,
DSCMET_421,10/13/2020 13:50,14.63,0.1,
DSCMET_421,10/13/2020 13:55,14.63,0.1,
DSCMET_421,10/13/2020 14:00,14.46,0.099,
DSCMET_421,10/13/2020 14:05,14.36,0.098,
DSCMET_421,10/13/2020 14:10,14.3,0.098,
DSCMET_421,10/13/2020 14:15,14.27,0.098,
DSCMET_421,10/13/2020 14:20,14.26,0.098,
DSCMET_421,10/13/2020 14:25,14.24,0.097,
DSCMET_421,10/13/2020 14:30,14.19,0.097,
DSCMET_421,10/13/2020 14:35,14.07,0.096,
DSCMET_421,10/13/2020 14:40,14.1,0.097,
DSCMET_421,10/13/2020 14:45,14.01,0.096,
DSCMET_421,10/13/2020 14:50,14.22,0.113,
DSCMET_421,10/13/2020 14:55,14.18,0.097,
DSCMET_421,10/13/2020 15:00,14.11,0.097,
DSCMET_421,10/13/2020 15:05,13.93,0.095,
DSCMET_421,10/13/2020 15:10,13.65,0.094,
DSCMET_421,10/13/2020 15:15,13.59,0.093,
DSCMET_421,10/13/2020 15:20,13.54,0.093,
DSCMET_421,10/13/2020 15:25,13.52,0.093,
DSCMET_421,10/13/2020 15:30,13.52,0.093,
DSCMET_421,10/13/2020 15:35,13.48,0.093,
DSCMET_421,10/13/2020 15:40,13.35,0.092,
DSCMET_421,10/13/2020 15:45,13.3,0.092,
DSCMET_421,10/13/2020 15:50,13.26,0.091,
DSCMET_421,10/13/2020 15:55,13.18,0.091,
DSCMET_421,10/13/2020 16:00,13.23,0.091,
DSCMET_421,10/13/2020 16:05,13.19,0.106,
