"Data set title: Canopy Processes at HJA. Above canopy variables include: air temperature, relative humidity, water vapor, and leaf wetness from 01-Oct-2022 to 01-Oct-2023",,,,
,,,,
Site,Date,AIRTEMP_MEAN_5600_0_01,VPD_MEAN_5600_0_01,Flag_VPD_MEAN_5600_0_01
,yyyy-MM-dd HH:mm:ss,deg c,mb,none
nominal,datetime,data,calculation,code
DSCMET_421,10/1/2022 0:05,11.36,0.954,
DSCMET_421,10/1/2022 0:10,11.45,0.987,
DSCMET_421,10/1/2022 0:15,11.61,1.203,
DSCMET_421,10/1/2022 0:20,11.32,0.965,
DSCMET_421,10/1/2022 0:25,11.5,1.086,
DSCMET_421,10/1/2022 0:30,11.56,1.226,
DSCMET_421,10/1/2022 0:35,11.75,1.393,
DSCMET_421,10/1/2022 0:40,11.44,1.203,
DSCMET_421,10/1/2022 0:45,11.2,0.851,
DSCMET_421,10/1/2022 0:50,11.06,0.83,
DSCMET_421,10/1/2022 0:55,11.26,0.948,
DSCMET_421,10/1/2022 1:00,11.09,0.858,
DSCMET_421,10/1/2022 1:05,10.86,0.78,
DSCMET_421,10/1/2022 1:10,10.72,0.631,
DSCMET_421,10/1/2022 1:15,10.88,0.69,
DSCMET_421,10/1/2022 1:20,10.86,0.676,
DSCMET_421,10/1/2022 1:25,11.08,0.911,
DSCMET_421,10/1/2022 1:30,11.03,0.908,
DSCMET_421,10/1/2022 1:35,11.21,1.052,
DSCMET_421,10/1/2022 1:40,11.29,1.137,
DSCMET_421,10/1/2022 1:45,10.87,0.846,
DSCMET_421,10/1/2022 1:50,10.92,0.823,
DSCMET_421,10/1/2022 1:55,11.11,1.045,
DSCMET_421,10/1/2022 2:00,10.76,0.788,
DSCMET_421,10/1/2022 2:05,10.6,0.703,
DSCMET_421,10/1/2022 2:10,10.54,0.56,
DSCMET_421,10/1/2022 2:15,10.65,0.68,
DSCMET_421,10/1/2022 2:20,10.41,0.644,
DSCMET_421,10/1/2022 2:25,10.37,0.491,
DSCMET_421,10/1/2022 2:30,10.39,0.605,
DSCMET_421,10/1/2022 2:35,10.4,0.517,
DSCMET_421,10/1/2022 2:40,10.47,0.621,
DSCMET_421,10/1/2022 2:45,10.51,0.623,
DSCMET_421,10/1/2022 2:50,10.4,0.618,
DSCMET_421,10/1/2022 2:55,10.31,0.614,
DSCMET_421,10/1/2022 3:00,10.37,0.554,
DSCMET_421,10/1/2022 3:05,10.23,0.561,
DSCMET_421,10/1/2022 3:10,10.25,0.499,
DSCMET_421,10/1/2022 3:15,10.45,0.709,
DSCMET_421,10/1/2022 3:20,10.14,0.558,
DSCMET_421,10/1/2022 3:25,10.1,0.482,
DSCMET_421,10/1/2022 3:30,10.4,0.631,
DSCMET_421,10/1/2022 3:35,10.03,0.529,
DSCMET_421,10/1/2022 3:40,10,0.43,
DSCMET_421,10/1/2022 3:45,10.07,0.506,
DSCMET_421,10/1/2022 3:50,10.15,0.595,
DSCMET_421,10/1/2022 3:55,9.86,0.511,
DSCMET_421,10/1/2022 4:00,10.11,0.482,
DSCMET_421,10/1/2022 4:05,10.05,0.579,
DSCMET_421,10/1/2022 4:10,10.07,0.555,
DSCMET_421,10/1/2022 4:15,9.91,0.476,
DSCMET_421,10/1/2022 4:20,9.84,0.51,
DSCMET_421,10/1/2022 4:25,9.95,0.477,
DSCMET_421,10/1/2022 4:30,9.8,0.497,
DSCMET_421,10/1/2022 4:35,9.71,0.421,
DSCMET_421,10/1/2022 4:40,9.69,0.409,
DSCMET_421,10/1/2022 4:45,9.58,0.358,
DSCMET_421,10/1/2022 4:50,9.53,0.309,
DSCMET_421,10/1/2022 4:55,9.36,0.294,
DSCMET_421,10/1/2022 5:00,9.49,0.261,
DSCMET_421,10/1/2022 5:05,9.62,0.323,
DSCMET_421,10/1/2022 5:10,9.55,0.357,
DSCMET_421,10/1/2022 5:15,9.6,0.406,
DSCMET_421,10/1/2022 5:20,9.35,0.376,
