"Data set title: Canopy Processes at HJA. Above canopy variables include: air temperature, relative humidity, water vapor, and leaf wetness from 01-Oct-2023 to 21-Jun-2024",,,,
,,,,
Site,Date,AIRTEMP_MEAN_5600_0_01,VPD_MEAN_5600_0_01,Flag_VPD_MEAN_5600_0_01
,yyyy-MM-dd HH:mm:ss,deg c,mb,none
nominal,datetime,data,calculation,code
DSCMET_421,10/1/2023 0:05,5.417,0.081,
DSCMET_421,10/1/2023 0:10,5.366,0.081,
DSCMET_421,10/1/2023 0:15,5.339,0.08,
DSCMET_421,10/1/2023 0:20,5.247,0.08,
DSCMET_421,10/1/2023 0:25,5.216,0.071,
DSCMET_421,10/1/2023 0:30,5.161,0.071,
DSCMET_421,10/1/2023 0:35,5.054,0.07,
DSCMET_421,10/1/2023 0:40,5.064,0.07,
DSCMET_421,10/1/2023 0:45,4.962,0.07,
DSCMET_421,10/1/2023 0:50,4.811,0.069,
DSCMET_421,10/1/2023 0:55,4.789,0.069,
DSCMET_421,10/1/2023 1:00,4.811,0.069,
DSCMET_421,10/1/2023 1:05,4.825,0.069,
DSCMET_421,10/1/2023 1:10,4.692,0.068,
DSCMET_421,10/1/2023 1:15,4.588,0.068,
DSCMET_421,10/1/2023 1:20,4.682,0.068,
DSCMET_421,10/1/2023 1:25,4.579,0.068,
DSCMET_421,10/1/2023 1:30,4.558,0.068,
DSCMET_421,10/1/2023 1:35,4.51,0.067,
DSCMET_421,10/1/2023 1:40,4.549,0.068,
DSCMET_421,10/1/2023 1:45,4.556,0.059,
DSCMET_421,10/1/2023 1:50,4.521,0.059,
DSCMET_421,10/1/2023 1:55,4.438,0.067,
DSCMET_421,10/1/2023 2:00,4.42,0.059,
DSCMET_421,10/1/2023 2:05,4.35,0.058,
DSCMET_421,10/1/2023 2:10,4.243,0.058,
DSCMET_421,10/1/2023 2:15,4.229,0.058,
DSCMET_421,10/1/2023 2:20,4.145,0.058,
DSCMET_421,10/1/2023 2:25,4.037,0.065,
DSCMET_421,10/1/2023 2:30,3.947,0.057,
DSCMET_421,10/1/2023 2:35,4.007,0.057,
DSCMET_421,10/1/2023 2:40,4.036,0.057,
DSCMET_421,10/1/2023 2:45,4.047,0.057,
DSCMET_421,10/1/2023 2:50,3.941,0.057,
DSCMET_421,10/1/2023 2:55,3.911,0.057,
DSCMET_421,10/1/2023 3:00,3.815,0.056,
DSCMET_421,10/1/2023 3:05,3.799,0.056,
DSCMET_421,10/1/2023 3:10,3.776,0.056,
DSCMET_421,10/1/2023 3:15,3.744,0.056,
DSCMET_421,10/1/2023 3:20,3.623,0.055,
DSCMET_421,10/1/2023 3:25,3.587,0.055,
DSCMET_421,10/1/2023 3:30,3.507,0.055,
DSCMET_421,10/1/2023 3:35,3.437,0.055,
DSCMET_421,10/1/2023 3:40,3.441,0.055,
DSCMET_421,10/1/2023 3:45,3.404,0.055,
DSCMET_421,10/1/2023 3:50,3.483,0.055,
DSCMET_421,10/1/2023 3:55,3.527,0.055,
DSCMET_421,10/1/2023 4:00,3.388,0.055,
DSCMET_421,10/1/2023 4:05,3.33,0.054,
DSCMET_421,10/1/2023 4:10,3.437,0.055,
DSCMET_421,10/1/2023 4:15,3.429,0.055,
DSCMET_421,10/1/2023 4:20,3.347,0.054,
DSCMET_421,10/1/2023 4:25,3.205,0.054,
DSCMET_421,10/1/2023 4:30,3.204,0.054,
DSCMET_421,10/1/2023 4:35,3.168,0.054,
DSCMET_421,10/1/2023 4:40,3.163,0.054,
DSCMET_421,10/1/2023 4:45,3.089,0.053,
DSCMET_421,10/1/2023 4:50,3.09,0.053,
DSCMET_421,10/1/2023 4:55,3.098,0.053,
DSCMET_421,10/1/2023 5:00,3.036,0.053,
DSCMET_421,10/1/2023 5:05,2.965,0.053,
DSCMET_421,10/1/2023 5:10,2.972,0.045,
DSCMET_421,10/1/2023 5:15,2.979,0.053,
DSCMET_421,10/1/2023 5:20,2.904,0.053,
