hour,avg_sd_D,ZeroOne_sdD,avg_temp_D,avg_sv_D,ZeroOneSV_D,avg_VPD_D,,
8/3/2016 0:00,0,0,10.10166667,0,0,0.174983333,,
8/3/2016 1:00,0,0,9.145833333,0,0,0.11995,,
8/3/2016 2:00,0,0,8.409166667,0,0,0.086108333,,
8/3/2016 3:00,0,0,8.063,0,0,0.076458333,,
8/3/2016 4:00,0,0,7.619083333,0,0,0.059416667,,
8/3/2016 5:00,0,0,7.403666667,0,0,0.055808333,,
8/3/2016 6:00,0,0,11.66166667,0,0,0.337481818,,
8/3/2016 7:00,0,0,15.11916667,0,0,0.600566667,,
8/3/2016 8:00,0,0,15.86333333,0,0,0.670841667,,
8/3/2016 9:00,0,0,19.82583333,0,0,1.187941667,,
8/3/2016 10:00,0,0,22.55833333,0,0,1.630066667,,
8/3/2016 11:00,0,0,23.795,0,0,1.851183333,,
8/3/2016 12:00,0,0,26.07583333,0,0,2.2022,,
8/3/2016 13:00,0,0,27.8875,0,0,2.447866667,,
8/3/2016 14:00,0,0,29.01416667,0,0,2.659525,,
8/3/2016 15:00,0,0,29.66833333,0,0,2.831333333,,
8/3/2016 16:00,0,0,32.85166667,0.55365,1,3.55365,,
8/3/2016 17:00,0,0,32.05333333,0.268083333,1,3.268083333,,
8/3/2016 18:00,0,0,24.43583333,0,0,1.585033333,,
8/3/2016 19:00,0,0,21.14333333,0,0,0.955758333,,
8/3/2016 20:00,0,0,19.00166667,0,0,0.632341667,,
8/3/2016 21:00,0,0,17.41,0,0,0.444258333,,
8/3/2016 22:00,0,0,15.86416667,0,0,0.299075,,
8/3/2016 23:00,0,0,14.65166667,0,0,0.225241667,,
8/4/2016 0:00,0,0,13.69833333,0,0,0.1935,,
8/4/2016 1:00,0,0,12.875,0,0,0.162183333,,
8/4/2016 2:00,0,0,12.00666667,0,0,0.122491667,,
8/4/2016 3:00,0,0,11.19666667,0,0,0.091133333,,
8/4/2016 4:00,0,0,10.57666667,0,0,0.078125,,
8/4/2016 5:00,0,0,10.22666667,0,0,0.079833333,,
8/4/2016 6:00,0,0,14.40666667,0,0,0.43605,,
8/4/2016 7:00,0,0,17.33333333,0,0,0.713433333,,
8/4/2016 8:00,0,0,19.56416667,0,0,1.022258333,,
8/4/2016 9:00,0,0,24.92583333,0,0,1.92385,,
8/4/2016 10:00,0,0,28.77416667,0,0,2.731541667,,
8/4/2016 11:00,0,0,31.02666667,0.41225,1,3.41225,,
8/4/2016 12:00,0,0,32.50916667,1.029533333,1,4.029533333,,
8/4/2016 13:00,0,0,33.66083333,1.190091667,1,4.190091667,,
8/4/2016 14:00,0,0,33.24416667,0.986266667,1,3.986266667,,
8/4/2016 15:00,0,0,33.42166667,0.898383333,1,3.898383333,,
8/4/2016 16:00,0.935,1,35.935,1.503591667,1,4.503591667,,
8/4/2016 17:00,0,0,34.60916667,0.982325,1,3.982325,,
8/4/2016 18:00,0,0,27.88833333,0,0,2.27035,,
8/4/2016 19:00,0,0,24.18166667,0,0,1.365816667,,
8/4/2016 20:00,0,0,21.82666667,0,0,0.950725,,
8/4/2016 21:00,0,0,20.22583333,0,0,0.782925,,
8/4/2016 22:00,0,0,18.69833333,0,0,0.602883333,,
8/4/2016 23:00,0,0,17.64333333,0,0,0.488566667,,
8/5/2016 0:00,0,0,16.44833333,0,0,0.376041667,,
8/5/2016 1:00,0,0,15.73916667,0,0,0.318058333,,
8/5/2016 2:00,0,0,14.96166667,0,0,0.259275,,
8/5/2016 3:00,0,0,14.44916667,0,0,0.225,,
8/5/2016 4:00,0,0,14.3475,0,0,0.214808333,,
8/5/2016 5:00,0,0,14.1525,0,0,0.200891667,,
8/5/2016 6:00,0,0,16.98916667,0,0,0.490133333,,
8/5/2016 7:00,0,0,21.33583333,0,0,0.9997,,
8/5/2016 8:00,0,0,20.94,0,0,1.019016667,,
8/5/2016 9:00,0,0,23.75666667,0,0,1.483016667,,
8/5/2016 10:00,0,0,24.82416667,0,0,1.652225,,
8/5/2016 11:00,0,0,25.33416667,0,0,1.701766667,,
8/5/2016 12:00,0,0,26.44083333,0,0,1.924691667,,
8/5/2016 13:00,0,0,27.08833333,0,0,2.153916667,,
8/5/2016 14:00,0,0,27.66916667,0,0,2.428916667,,
8/5/2016 15:00,0,0,28.11166667,0,0,2.677008333,,
8/5/2016 16:00,0,0,31.37416667,0.525741667,1,3.525741667,,
8/5/2016 17:00,0,0,30.29333333,0.252841667,1,3.252841667,,
8/5/2016 18:00,0,0,22.8025,0,0,1.771266667,,
8/5/2016 19:00,0,0,19.80416667,0,0,1.199858333,,
8/5/2016 20:00,0,0,18.07916667,0,0,1.01425,,
8/5/2016 21:00,0,0,15.6825,0,0,0.721383333,,
8/5/2016 22:00,0,0,14.26583333,0,0,0.576358333,,
8/5/2016 23:00,0,0,12.96166667,0,0,0.446225,,
8/6/2016 0:00,0,0,11.91666667,0,0,0.348866667,,
8/6/2016 1:00,0,0,11.10666667,0,0,0.28065,,
8/6/2016 2:00,0,0,10.3675,0,0,0.225283333,,
8/6/2016 3:00,0,0,9.691666667,0,0,0.177533333,,
8/6/2016 4:00,0,0,9.005833333,0,0,0.13305,,
8/6/2016 5:00,0,0,8.809166667,0,0,0.1201,,
8/6/2016 6:00,0,0,12.17416667,0,0,0.363933333,,
8/6/2016 7:00,0,0,17.2525,0,0,0.815591667,,
8/6/2016 8:00,0,0,16.15333333,0,0,0.705458333,,
8/6/2016 9:00,0,0,20.10083333,0,0,1.1979,,
8/6/2016 10:00,0,0,22.13916667,0,0,1.487841667,,
8/6/2016 11:00,0,0,22.9575,0,0,1.600358333,,
8/6/2016 12:00,0,0,24.15333333,0,0,1.872925,,
8/6/2016 13:00,0,0,24.79333333,0,0,2.014516667,,
8/6/2016 14:00,0,0,25.45166667,0,0,2.179366667,,
8/6/2016 15:00,0,0,26.20166667,0,0,2.298883333,,
8/6/2016 16:00,0,0,29.34666667,0,0,2.945141667,,
8/6/2016 17:00,0,0,27.9325,0,0,2.700263636,,
8/6/2016 18:00,0,0,21.2775,0,0,1.463825,,
8/6/2016 19:00,0,0,18.08583333,0,0,0.919225,,
8/6/2016 20:00,0,0,15.96083333,0,0,0.645975,,
8/6/2016 21:00,0,0,14.27,0,0,0.484375,,
8/6/2016 22:00,0,0,13.13083333,0,0,0.403958333,,
8/6/2016 23:00,0,0,11.78,0,0,0.300758333,,
8/7/2016 0:00,0,0,10.665,0,0,0.225458333,,
8/7/2016 1:00,0,0,9.770833333,0,0,0.174191667,,
8/7/2016 2:00,0,0,9.1225,0,0,0.14775,,
8/7/2016 3:00,0,0,8.5125,0,0,0.119416667,,
8/7/2016 4:00,0,0,8.00025,0,0,0.098141667,,
8/7/2016 5:00,0,0,7.761583333,0,0,0.090525,,
8/7/2016 6:00,0,0,10.69466667,0,0,0.291433333,,
8/7/2016 7:00,0,0,15.94083333,0,0,0.724791667,,
8/7/2016 8:00,0,0,15.16583333,0,0,0.6118,,
8/7/2016 9:00,0,0,19.20583333,0,0,1.038725,,
8/7/2016 10:00,0,0,20.10166667,0,0,1.176633333,,
8/7/2016 11:00,0,0,20.32416667,0,0,1.311991667,,
8/7/2016 12:00,0,0,21.05416667,0,0,1.442233333,,
8/7/2016 13:00,0,0,21.83583333,0,0,1.617358333,,
8/7/2016 14:00,0,0,22.64833333,0,0,1.76015,,
8/7/2016 15:00,0,0,22.22166667,0,0,1.651066667,,
8/7/2016 16:00,0,0,25.28,0,0,2.053858333,,
8/7/2016 17:00,0,0,20.8175,0,0,1.288825,,
8/7/2016 18:00,0,0,19.12166667,0,0,1.022266667,,
8/7/2016 19:00,0,0,17.89583333,0,0,0.8204,,
8/7/2016 20:00,0,0,16.32666667,0,0,0.599941667,,
8/7/2016 21:00,0,0,14.54166667,0,0,0.398516667,,
8/7/2016 22:00,0,0,13.27083333,0,0,0.284608333,,
8/7/2016 23:00,0,0,12.975,0,0,0.257716667,,
8/8/2016 0:00,0,0,11.8875,0,0,0.170733333,,
8/8/2016 1:00,0,0,10.99916667,0,0,0.118691667,,
8/8/2016 2:00,0,0,10.28583333,0,0,0.084891667,,
8/8/2016 3:00,0,0,9.965833333,0,0,0.082041667,,
8/8/2016 4:00,0,0,10.22583333,0,0,0.10525,,
8/8/2016 5:00,0,0,10.38666667,0,0,0.11155,,
8/8/2016 6:00,0,0,11.97583333,0,0,0.217041667,,
8/8/2016 7:00,0,0,13.97583333,0,0,0.360383333,,
