"","day","DailySum"
"1","2013-10-01",0
"2","2013-10-02",0
"3","2013-10-03",0
"4","2013-10-04",0
"5","2013-10-05",0
"6","2013-10-06",0
"7","2013-10-07",0
"8","2013-10-08",0
"9","2013-10-09",0
"10","2013-10-10",0
"11","2013-10-11",0
"12","2013-10-12",0
"13","2013-10-13",0
"14","2013-10-14",0
"15","2013-10-15",0
"16","2013-10-16",0
"17","2013-10-17",0
"18","2013-10-18",0
"19","2013-10-19",0
"20","2013-10-20",0
"21","2013-10-21",0
"22","2013-10-22",0
"23","2013-10-23",0
"24","2013-10-24",0
"25","2013-10-25",0
"26","2013-10-26",0
"27","2013-10-27",0
"28","2013-10-28",0
"29","2013-10-29",0
"30","2013-10-30",0
"31","2013-10-31",0
"32","2013-11-01",0
"33","2013-11-02",0
"34","2013-11-03",0
"35","2013-11-04",0
"36","2013-11-05",0
"37","2013-11-06",0
"38","2013-11-07",0
"39","2013-11-08",0
"40","2013-11-09",0
"41","2013-11-10",0
"42","2013-11-11",0
"43","2013-11-12",0
"44","2013-11-13",0
"45","2013-11-14",0
"46","2013-11-15",0
"47","2013-11-16",0
"48","2013-11-17",0
"49","2013-11-18",0
"50","2013-11-19",0
"51","2013-11-20",0
"52","2013-11-21",0
"53","2013-11-22",0
"54","2013-11-23",0
"55","2013-11-24",0
"56","2013-11-25",0
"57","2013-11-26",0
"58","2013-11-27",0
"59","2013-11-28",0
"60","2013-11-29",0
"61","2013-11-30",0
"62","2013-12-01",0
"63","2013-12-02",0
"64","2013-12-03",0
"65","2013-12-04",0
"66","2013-12-05",0
"67","2013-12-06",0
"68","2013-12-07",0
"69","2013-12-08",0
"70","2013-12-09",0
"71","2013-12-10",0
"72","2013-12-11",0
"73","2013-12-12",0
"74","2013-12-13",0
"75","2013-12-14",0
"76","2013-12-15",0
"77","2013-12-16",0
"78","2013-12-17",0
"79","2013-12-18",0
"80","2013-12-19",0
"81","2013-12-20",0
"82","2013-12-21",0
"83","2013-12-22",0
"84","2013-12-23",0
"85","2013-12-24",0
"86","2013-12-25",0
"87","2013-12-26",0
"88","2013-12-27",0
"89","2013-12-28",0
"90","2013-12-29",0
"91","2013-12-30",0
"92","2013-12-31",0
"93","2014-01-01",0
"94","2014-01-02",0
"95","2014-01-03",0
"96","2014-01-04",0
"97","2014-01-05",0
"98","2014-01-06",0
"99","2014-01-07",0
"100","2014-01-08",0
"101","2014-01-09",0
"102","2014-01-10",0
"103","2014-01-11",0
"104","2014-01-12",0
"105","2014-01-13",0
"106","2014-01-14",0
"107","2014-01-15",0
"108","2014-01-16",0
"109","2014-01-17",0
"110","2014-01-18",0
"111","2014-01-19",0
"112","2014-01-20",0
"113","2014-01-21",0
"114","2014-01-22",0
"115","2014-01-23",0
"116","2014-01-24",0
"117","2014-01-25",0
"118","2014-01-26",0
"119","2014-01-27",0
"120","2014-01-28",0
"121","2014-01-29",0
"122","2014-01-30",0
"123","2014-01-31",0
"124","2014-02-01",0
"125","2014-02-02",0
"126","2014-02-03",0
"127","2014-02-04",0
"128","2014-02-05",0
"129","2014-02-06",0
"130","2014-02-07",0
"131","2014-02-08",0
"132","2014-02-09",0
"133","2014-02-10",0
"134","2014-02-11",0
"135","2014-02-12",0
