"","month","monthlySum"
"1","2013-10",0
"2","2013-11",0
"3","2013-12",0
"4","2014-01",0
"5","2014-02",0
"6","2014-03",0
"7","2014-04",1.477
"8","2014-05",559.387
"9","2014-06",594.372
"10","2014-07",647.904
"11","2014-08",555.837
"12","2014-09",405.755
"13","2014-10",180.635
"14","2014-11",66.403
"15","2014-12",50.025
"16","2015-01",67.961
"17","2015-02",128.394
"18","2015-03",285.799
"19","2015-04",434.129
"20","2015-05",508.026
"21","2015-06",680.684
"22","2015-07",663.216
"23","2015-08",552.342
"24","2015-09",370.851
"25","2015-10",183.674
"26","2015-11",69.307
"27","2015-12",37.532
"28","2016-01",54.808
"29","2016-02",113.195
"30","2016-03",219.78
"31","2016-04",449.638
"32","2016-05",520.792
"33","2016-06",600.804
"34","2016-07",676.136
"35","2016-08",632.81
"36","2016-09",372.195
"37","2016-10",122.678
"38","2016-11",73.363
"39","2016-12",29.277
"40","2017-01",49.152
"41","2017-02",87.751
"42","2017-03",193.737
"43","2017-04",325.706
"44","2017-05",586.008
"45","2017-06",571.816
"46","2017-07",748.001
"47","2017-08",543.24
"48","2017-09",286.826
"49","2017-10",172.991
"50","2017-11",61.256
"51","2017-12",46.969
"52","2018-01",60.918
"53","2018-02",89.956
"54","2018-03",224.932
"55","2018-04",332.549
"56","2018-05",548.415
"57","2018-06",579.623
"58","2018-07",684.841
"59","2018-08",549.445
"60","2018-09",372.36
"61","2018-10",172.642
"62","2018-11",65.682
"63","2018-12",47.467
"64","2019-01",45.752
"65","2019-02",68.394
"66","2019-03",267.496
"67","2019-04",365.666
"68","2019-05",535.836
"69","2019-06",650.749
"70","2019-07",638.468
"71","2019-08",597.988
"72","2019-09",317.156
"73","2019-10",175.891
"74","2019-11",68.655
"75","2019-12",49.442
"76","2020-01",44.781
"77","2020-02",134.329
"78","2020-03",258.54
"79","2020-04",446.224
"80","2020-05",445.311
"81","2020-06",474.906
"82","2020-07",694.542
"83","2020-08",597.556
"84","2020-09",272.389
"85","2020-10",167.66
"86","2020-11",65.516
"87","2020-12",46.183
"88","2021-01",54.729
"89","2021-02",104.426
"90","2021-03",287.299
"91","2021-04",289.807
"92","2021-05",0
"93","2021-06",0
"94","2021-07",397.776
"95","2021-08",554.193
"96","2021-09",303.239
"97","2021-10",101.487
"98","2021-11",65.28
"99","2021-12",32.684
"100","2022-01",49.539
"101","2022-02",114.808
"102","2022-03",242.598
"103","2022-04",354.831
"104","2022-05",458.336
"105","2022-06",518.052
"106","2022-07",698.967
"107","2022-08",612.553
"108","2022-09",316.581
"109","2022-10",185.406
"110","2022-11",53.029
"111","2022-12",33.612
"112","2023-01",50.209
"113","2023-02",117.51
"114","2023-03",4.488
"115","2023-04",0
"116","2023-05",0
"117","2023-06",362.841
"118","2023-07",781.539
"119","2023-08",491.732
"120","2023-09",329.645
"121","2023-10",164.985
"122","2023-11",60.948
"123","2023-12",44.575
"124","2024-01",53.838
"125","2024-02",108.564
"126","2024-03",260.156
"127","2024-04",405.067
"128","2024-05",612.638
"129","2024-06",680.405
"130","2024-07",764.474
"131","2024-08",558.493
"132","2024-09",350.256
"133","2024-10",0
"134",NA,0.079
