DATE,DBCODE,ENTITY,SITECODE,AIRTEMP_METHOD,HEIGHT,QC_LEVEL,PROBE_CODE,EVENT_CODE,AIRTEMP_MEAN_DAY,AIRTEMP_MEAN_FLAG,AIRTEMP_MAX_DAY,AIRTEMP_MAX_FLAG,AIRTEMP_MAXTIME,AIRTEMP_MIN_DAY,AIRTEMP_MIN_FLAG,AIRTEMP_MINTIME
1958-02-03,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,METHOD,5.3,D,7.2,A,,3.3,A,
1958-02-04,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.8,D,8.3,A,,3.3,A,
1958-02-05,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,4.7,D,6.1,A,,3.3,A,
1958-02-06,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.6,D,7.8,A,,3.3,A,
1958-02-07,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,6.4,D,8.3,A,,4.4,A,
1958-02-08,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5,D,6.7,A,,3.3,A,
1958-02-09,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.3,D,7.2,A,,3.3,A,
1958-02-10,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5,D,6.7,A,,3.3,A,
1958-02-11,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,4.2,D,6.7,A,,1.7,A,
1958-02-12,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.9,D,7.8,A,,3.9,A,
1958-02-13,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,3.6,D,5,A,,2.2,A,
1958-02-14,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,2,D,3.9,A,,0,A,
1958-02-15,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.6,D,7.2,A,,3.9,A,
1958-02-16,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,7.5,D,10,A,,5,A,
1958-02-17,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,8.7,D,10.6,A,,6.7,A,
1958-02-18,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,9.2,D,11.7,A,,6.7,A,
1958-02-19,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,8.6,D,11.1,A,,6.1,A,
1958-02-20,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,8.9,D,11.1,A,,6.7,A,
1958-02-21,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,8.3,D,12.2,A,,4.4,A,
1958-02-22,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,7.2,D,9.4,A,,5,A,
1958-02-23,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,9.5,D,11.1,A,,7.8,A,
1958-02-24,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,7.5,D,9.4,A,,5.6,A,
1958-02-25,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,3.4,D,5.6,A,,1.1,A,
1958-02-26,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,1.4,D,2.2,A,,0.6,A,
1958-02-27,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,2,D,3.3,A,,0.6,A,
1958-02-28,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,1.4,D,3.3,A,,-0.6,A,
1958-03-01,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,0.9,D,3.9,A,,-2.2,A,
1958-03-02,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,2.3,D,5.6,A,,-1.1,A,
1958-03-03,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,3.1,D,7.2,A,,-1.1,A,
1958-03-04,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,1.7,D,6.1,A,,-2.8,A,
1958-03-05,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,1.7,D,3.3,A,,0,A,
1958-03-06,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,0.3,D,2.2,A,,-1.7,A,
1958-03-07,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,0,D,0.6,A,,-0.6,A,
1958-03-08,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,0.6,D,1.7,A,,-0.6,A,
1958-03-09,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,1.1,D,3.3,A,,-1.1,A,
1958-03-10,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,1.4,D,3.9,A,,-1.1,A,
1958-03-11,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,2.5,D,6.1,A,,-1.1,A,
1958-03-12,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,1.7,D,4.4,A,,-1.1,A,
1958-03-13,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,1.7,D,3.9,A,,-0.6,A,
1958-03-14,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,0.9,D,3.9,A,,-2.2,A,
1958-03-15,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,1.4,D,4.4,A,,-1.7,A,
1958-03-16,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,2,D,5,A,,-1.1,A,
1958-03-17,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,2.8,D,4.4,A,,1.1,A,
1958-03-18,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,3.1,D,6.1,A,,0,A,
1958-03-19,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,3.9,D,8.9,A,,-1.1,A,
1958-03-20,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,6.4,D,11.1,A,,1.7,A,
1958-03-21,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.8,D,9.4,A,,2.2,A,
1958-03-22,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.6,D,10,A,,1.1,A,
1958-03-23,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,7.8,D,11.7,A,,3.9,A,
1958-03-24,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,6.7,D,8.9,A,,4.4,A,
1958-03-25,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,4.5,D,6.1,A,,2.8,A,
1958-03-26,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.6,D,9.4,A,,1.7,A,
1958-03-27,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.6,D,11.7,A,,-0.6,A,
1958-03-28,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.6,D,8.3,A,,2.8,A,
1958-03-29,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,4.7,D,7.2,A,,2.2,A,
1958-03-30,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,4.7,D,7.2,A,,2.2,A,
1958-03-31,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.6,D,7.8,A,,3.3,A,
1958-04-01,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,6.1,D,9.4,A,,2.8,A,
1958-04-02,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,4.7,D,6.1,A,,3.3,A,
1958-04-03,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,3.7,D,6.7,A,,0.6,A,
1958-04-04,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5.3,D,8.9,A,,1.7,A,
1958-04-05,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,7,D,12.2,A,,1.7,A,
1958-04-06,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,5,D,7.8,A,,2.2,A,
1958-04-07,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,6.7,D,10,A,,3.3,A,
1958-04-08,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,7.2,D,9.4,A,,5,A,
1958-04-09,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,7.8,D,10.6,A,,5,A,
1958-04-10,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,7.8,D,11.1,A,,4.4,A,
1958-04-11,MS001,1,CS2MET,AIR101,130,2D,AIRCS201,NA,8.9,D,16.7,A,,1.1,A,
