"","year","309_A_E","309_A_L","309_B_E","309_B_L","310_A_E","310_A_L","310_B_E","310_B_L","311_A_E","311_A_L","311_B_E","311_B_L","646_A_E","646_A_L","646_B_E","646_B_L","648_A_E","648_A_L","648_B2E","648_B2L","652_A_E","652_A_L","652_B_E","652_B_L","654_A_E","654_A_L","654_B_E","654_B_L","655_A_E","655_A_L","655_B_E","655_B_L","656_A_E","656_A_L","656_B_E","656_B_L","860_A_E","860_A_L","860_B_E","860_B_L"
"1","1951",0.36,NA,0.254,NA,0.508,NA,0.656,NA,0.126,NA,0.127,NA,0.572,NA,0.298,NA,0.36,NA,0.36,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1952",0.255,NA,0.169,NA,0.572,NA,0.571,NA,0.108,NA,0.087,NA,0.656,NA,0.637,NA,0.445,NA,0.381,NA,0.318,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1953",0.36,NA,0.212,NA,1.207,NA,0.889,NA,0.066,NA,0.085,NA,0.381,NA,0.402,NA,0.402,NA,0.296,NA,0.529,NA,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1954",0.36,NA,0.233,NA,1.228,NA,1.312,NA,0.169,NA,0.064,NA,0.804,NA,0.57,NA,0.275,NA,0.274,NA,0.55,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1955",0.38,NA,0.381,NA,0.889,NA,0.995,NA,0.148,NA,0.085,NA,0.55,NA,0.571,NA,0.233,NA,0.275,NA,0.635,NA,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1956",0.36,NA,0.317,NA,0.678,NA,0.783,NA,0.106,NA,0.125,NA,1.08,NA,0.698,NA,0.254,NA,0.275,NA,0.72,NA,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1957",0.381,NA,0.36,NA,0.635,NA,0.741,NA,0.106,NA,0.148,NA,0.995,NA,0.91,NA,0.339,NA,0.254,NA,0.741,NA,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1958",0.572,NA,0.677,NA,1.016,NA,0.847,NA,0.128,NA,0.127,NA,1.016,NA,0.995,NA,0.508,NA,0.445,NA,0.889,NA,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1959",0.529,NA,0.614,NA,0.762,NA,0.762,NA,0.105,NA,0.087,NA,0.889,NA,0.847,NA,0.424,NA,0.339,NA,1.249,NA,0.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1960",0.466,NA,0.466,NA,0.931,NA,0.826,NA,0.128,NA,0.085,NA,0.995,NA,0.847,NA,0.402,NA,0.212,NA,1.101,NA,0.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1961",0.551,NA,0.508,NA,1.122,NA,0.889,NA,0.106,NA,0.085,NA,0.783,NA,0.783,NA,0.572,NA,0.381,NA,1.164,NA,1.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1962",0.466,NA,0.381,NA,0.847,NA,0.677,NA,0.084,NA,0.042,NA,0.36,NA,0.678,NA,0.466,NA,0.317,NA,1.228,NA,1.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1963",0.635,NA,0.361,NA,1.101,NA,0.762,NA,0.106,NA,0.148,NA,0.593,NA,0.805,NA,0.656,NA,0.805,NA,1.079,NA,1.228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1964",0.89,NA,0.572,NA,0.91,NA,0.868,NA,0.106,NA,0.106,NA,1.312,NA,0.783,NA,1.312,NA,1.101,NA,0.805,NA,1.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1965",1.059,NA,0.699,NA,0.741,NA,0.614,NA,0.187,NA,0.148,NA,2.561,NA,3.217,NA,0.995,NA,0.974,NA,0.762,NA,1.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1966",0.89,NA,0.635,NA,0.55,NA,0.445,NA,0.148,NA,0.148,NA,1.08,NA,1.46,NA,0.487,NA,0.487,NA,0.762,NA,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1967",0.952,NA,0.911,NA,0.551,NA,0.55,NA,0.19,NA,0.297,NA,1.376,NA,2.371,NA,0.805,NA,0.868,NA,0.995,NA,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1968",0.53,NA,0.635,NA,0.423,NA,0.466,NA,0.148,NA,0.169,NA,0.91,NA,1.46,NA,0.487,NA,0.445,NA,1.228,NA,0.868,NA,NA,NA,NA,NA,2.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1969",0.72,NA,0.742,NA,0.55,NA,0.529,NA,0.191,NA,0.127,NA,0.783,NA,1.058,NA,0.783,NA,0.783,NA,0.783,NA,1.291,NA,NA,NA,NA,NA,2.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1970",0.805,NA,0.615,NA,0.614,NA,0.55,NA,0.234,NA,0.212,NA,1.037,NA,1.545,NA,0.805,NA,0.635,NA,0.635,NA,1.059,NA,NA,NA,NA,NA,4.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1971",0.91,NA,0.635,NA,0.635,NA,0.466,NA,0.317,NA,0.276,NA,1.058,NA,2.815,NA,1.207,NA,0.804,NA,0.825,NA,1.165,NA,8.139,NA,NA,NA,2.688,NA,6.034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1972",1.123,NA,0.742,NA,0.719,NA,0.614,NA,0.255,NA,0.212,NA,0.741,NA,1.27,NA,0.931,NA,0.995,NA,0.783,NA,1.123,NA,5.066,NA,NA,NA,3.281,NA,3.811,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1973",0.953,NA,0.657,NA,0.677,NA,0.572,NA,0.233,NA,0.212,NA,1.164,NA,0.91,NA,0.931,NA,0.805,NA,0.91,NA,0.868,NA,5.66,NA,NA,NA,2.963,NA,2.858,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1974",1.038,NA,0.678,NA,0.614,NA,0.529,NA,0.275,NA,0.254,NA,1.376,NA,1.101,NA,0.635,NA,0.593,NA,0.91,NA,1.037,NA,5.237,NA,11.63,NA,3.006,NA,2.858,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1975",1.144,NA,0.933,NA,0.931,NA,0.593,NA,0.254,NA,0.359,NA,2.074,NA,1.207,NA,0.783,NA,0.656,NA,0.762,NA,1.016,NA,5.469,NA,9.588,NA,3.641,NA,2.879,NA,NA,NA,NA,NA,2.669,NA,NA,NA
"26","1976",0.996,NA,0.699,NA,1.057,NA,0.614,NA,0.339,NA,0.339,NA,1.461,NA,1.27,NA,0.572,NA,0.381,NA,0.614,NA,0.847,NA,5.696,NA,6.936,NA,3.281,NA,2.752,NA,NA,NA,NA,NA,2.754,NA,NA,NA
"27","1977",0.848,NA,0.487,NA,0.783,NA,0.593,NA,0.402,NA,0.423,NA,1.439,NA,1.249,NA,0.826,NA,0.677,NA,0.868,NA,0.678,NA,3.852,NA,5.035,NA,2.138,NA,2.943,NA,NA,NA,NA,NA,1.567,NA,NA,NA
"28","1978",0.783,NA,0.318,NA,0.783,NA,0.741,NA,0.297,NA,0.339,NA,1.059,NA,0.741,NA,1.249,NA,1.122,NA,1.164,NA,1.08,NA,2.836,NA,3.704,NA,1.185,NA,1.609,NA,NA,NA,9.443,NA,1.312,NA,NA,NA
"29","1979",0.635,NA,0.382,NA,0.699,NA,0.805,NA,0.254,NA,0.275,NA,0.783,NA,0.677,NA,1.016,NA,0.783,NA,1.122,NA,1.292,NA,2.646,NA,3.152,NA,1.312,NA,1.926,NA,5.714,NA,5.505,NA,1.674,NA,NA,NA
"30","1980",1.016,NA,0.594,NA,0.741,NA,0.783,NA,0.297,NA,0.592,NA,1.291,NA,1.333,NA,1.185,NA,1.016,NA,1.397,NA,1.185,NA,4.402,NA,6.012,NA,1.334,NA,2.096,NA,6.225,NA,7.705,NA,2.286,NA,NA,NA
"31","1981",1.123,NA,0.827,NA,0.953,NA,0.995,NA,0.403,NA,0.55,NA,2.201,NA,1.778,NA,1.461,NA,1.418,NA,1.143,NA,1.567,NA,3.302,NA,4.213,NA,1.27,NA,1.503,NA,6.121,NA,5.927,NA,2.012,NA,4.636,NA
"32","1982",1.08,NA,0.721,NA,0.952,NA,0.741,NA,0.36,NA,0.529,NA,0.91,NA,1.397,NA,0.72,NA,0.699,NA,0.974,NA,1.313,NA,3.471,NA,4.15,NA,1.714,NA,1.249,NA,6.482,NA,6.457,NA,1.948,NA,3.53,NA
"33","1983",1.228,NA,0.805,NA,0.847,NA,0.847,NA,0.36,NA,0.465,NA,1.122,NA,1.037,NA,0.762,NA,0.826,NA,1.058,NA,0.953,NA,2.434,NA,2.922,NA,2.032,NA,1.44,NA,4.47,NA,3.557,NA,1.821,NA,2.296,NA
"34","1984",1.08,NA,1.038,NA,1.058,NA,0.741,NA,0.444,NA,0.444,NA,1.439,NA,1.016,NA,0.635,NA,0.826,NA,1.037,NA,1.228,NA,2.752,NA,3.239,NA,1.905,NA,1.524,NA,4.278,NA,4.022,NA,2.181,NA,2.233,NA
"35","1985",0.911,NA,1.017,NA,0.783,NA,0.699,NA,0.529,NA,0.656,NA,1.016,NA,0.931,NA,0.487,NA,0.614,NA,0.995,NA,1.44,NA,2.413,NA,2.392,NA,1.27,NA,1.524,NA,3.876,NA,3.429,NA,2.075,NA,2.041,NA
