"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"1",1931,"earlywood",0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1931,"latewood",0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1932,"earlywood",0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1932,"latewood",0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1933,"earlywood",0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1933,"latewood",0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1934,"earlywood",0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1934,"latewood",0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1935,"earlywood",0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1935,"latewood",0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1936,"earlywood",0.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1936,"latewood",0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1937,"earlywood",0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1937,"latewood",0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1938,"earlywood",0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1938,"latewood",0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1939,"earlywood",1.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1939,"latewood",0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1940,"earlywood",0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1940,"latewood",0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1941,"earlywood",0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1941,"latewood",0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1942,"earlywood",0.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1942,"latewood",0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1943,"earlywood",0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1943,"latewood",0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1944,"earlywood",0.1585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1944,"latewood",0.1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1945,"earlywood",0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1945,"latewood",0.0845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1946,"earlywood",0.1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1946,"latewood",0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1947,"earlywood",0.0845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1947,"latewood",0.0745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1948,"earlywood",0.1265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1948,"latewood",0.0965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1949,"earlywood",0.1485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1949,"latewood",0.0955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1950,"earlywood",0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1950,"latewood",0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1951,"earlywood",0.1265,0.307,0.582,0.435,0.36,NA,NA,0.36,NA,NA,NA,NA
"42",1951,"latewood",0.0755,0.2335,0.476,0.5075,0.317,NA,NA,0.297,NA,NA,NA,NA
"43",1951,NA,NA,NA,NA,NA,NA,0.36,0.254,NA,NA,NA,NA,NA
"44",1952,"earlywood",0.0975,0.212,0.5715,0.6465,0.445,NA,NA,0.519,NA,NA,NA,NA
"45",1952,"latewood",0.042,0.2545,0.688,0.878,0.444,NA,NA,0.318,NA,NA,NA,NA
"46",1952,NA,NA,NA,NA,NA,NA,0.381,0.36,NA,NA,NA,NA,NA
"47",1953,"earlywood",0.0755,0.286,1.048,0.3915,0.402,NA,NA,0.455,NA,NA,NA,NA
"48",1953,"latewood",0.063,0.286,0.868,0.614,0.275,NA,NA,0.3815,NA,NA,NA,NA
"49",1953,NA,NA,NA,NA,NA,NA,0.296,0.466,NA,NA,NA,NA,NA
"50",1954,"earlywood",0.1165,0.2965,1.27,0.687,0.275,NA,NA,0.54,NA,NA,NA,NA
"51",1954,"latewood",0.085,0.3175,1.1215,0.815,0.19,NA,NA,0.868,NA,NA,NA,NA
