"","year","tree_id","wood_type","ring_width"
"1",1931,"311_","earlywood",0.148
"2",1931,"311_","latewood",0.106
"3",1932,"311_","earlywood",0.191
"4",1932,"311_","latewood",0.085
"5",1933,"311_","earlywood",0.127
"6",1933,"311_","latewood",0.127
"7",1934,"311_","earlywood",0.212
"8",1934,"311_","latewood",0.085
"9",1935,"311_","earlywood",0.149
"10",1935,"311_","latewood",0.38
"11",1936,"311_","earlywood",0.169
"12",1936,"311_","latewood",0.106
"13",1937,"311_","earlywood",0.127
"14",1937,"311_","latewood",0.085
"15",1938,"311_","earlywood",0.17
"16",1938,"311_","latewood",0.085
"17",1939,"311_","earlywood",1.291
"18",1939,"311_","latewood",0.064
"19",1940,"311_","earlywood",0.106
"20",1940,"311_","latewood",0.063
"21",1941,"311_","earlywood",0.128
"22",1941,"311_","latewood",0.063
"23",1942,"311_","earlywood",0.127
"24",1942,"311_","latewood",0.063
"25",1943,"311_","earlywood",0.191
"26",1943,"311_","latewood",0.085
"27",1944,"311_","earlywood",0.1585
"28",1944,"311_","latewood",0.1275
"29",1945,"311_","earlywood",0.159
"30",1945,"311_","latewood",0.0845
"31",1946,"311_","earlywood",0.1375
"32",1946,"311_","latewood",0.085
"33",1947,"311_","earlywood",0.0845
"34",1947,"311_","latewood",0.0745
"35",1948,"311_","earlywood",0.1265
"36",1948,"311_","latewood",0.0965
"37",1949,"311_","earlywood",0.1485
"38",1949,"311_","latewood",0.0955
"39",1950,"311_","earlywood",0.138
"40",1950,"311_","latewood",0.063
"41",1951,"309_","earlywood",0.307
"42",1951,"309_","latewood",0.2335
"43",1951,"310_","earlywood",0.582
"44",1951,"310_","latewood",0.476
"45",1951,"311_","earlywood",0.1265
"46",1951,"311_","latewood",0.0755
"47",1951,"646_","earlywood",0.435
"48",1951,"646_","latewood",0.5075
"49",1951,"648_","earlywood",0.36
"50",1951,"648_","latewood",0.317
"51",1951,"648_B2E",NA,0.36
"52",1951,"648_B2L",NA,0.254
"53",1951,"652_","earlywood",0.36
"54",1951,"652_","latewood",0.297
"55",1952,"309_","earlywood",0.212
"56",1952,"309_","latewood",0.2545
"57",1952,"310_","earlywood",0.5715
"58",1952,"310_","latewood",0.688
"59",1952,"311_","earlywood",0.0975
"60",1952,"311_","latewood",0.042
"61",1952,"646_","earlywood",0.6465
"62",1952,"646_","latewood",0.878
"63",1952,"648_","earlywood",0.445
"64",1952,"648_","latewood",0.444
"65",1952,"648_B2E",NA,0.381
"66",1952,"648_B2L",NA,0.36
"67",1952,"652_","earlywood",0.519
"68",1952,"652_","latewood",0.318
"69",1953,"309_","earlywood",0.286
"70",1953,"309_","latewood",0.286
"71",1953,"310_","earlywood",1.048
"72",1953,"310_","latewood",0.868
"73",1953,"311_","earlywood",0.0755
"74",1953,"311_","latewood",0.063
"75",1953,"646_","earlywood",0.3915
"76",1953,"646_","latewood",0.614
"77",1953,"648_","earlywood",0.402
"78",1953,"648_","latewood",0.275
"79",1953,"648_B2E",NA,0.296
"80",1953,"648_B2L",NA,0.466
"81",1953,"652_","earlywood",0.455
"82",1953,"652_","latewood",0.3815
"83",1954,"309_","earlywood",0.2965
"84",1954,"309_","latewood",0.3175
"85",1954,"310_","earlywood",1.27
"86",1954,"310_","latewood",1.1215
"87",1954,"311_","earlywood",0.1165
"88",1954,"311_","latewood",0.085
"89",1954,"646_","earlywood",0.687
"90",1954,"646_","latewood",0.815
"91",1954,"648_","earlywood",0.275
"92",1954,"648_","latewood",0.19
"93",1954,"648_B2E",NA,0.274
"94",1954,"648_B2L",NA,0.212
"95",1954,"652_","earlywood",0.54
"96",1954,"652_","latewood",0.868
"97",1955,"309_","earlywood",0.3805
"98",1955,"309_","latewood",0.202
"99",1955,"310_","earlywood",0.942
"100",1955,"310_","latewood",0.9525
"101",1955,"311_","earlywood",0.1165
"102",1955,"311_","latewood",0.085
"103",1955,"646_","earlywood",0.5605
"104",1955,"646_","latewood",1.069
"105",1955,"648_","earlywood",0.233
"106",1955,"648_","latewood",0.234
"107",1955,"648_B2E",NA,0.275
"108",1955,"648_B2L",NA,0.297
"109",1955,"652_","earlywood",0.614
"110",1955,"652_","latewood",1.0055
"111",1956,"309_","earlywood",0.3385
"112",1956,"309_","latewood",0.339
"113",1956,"310_","earlywood",0.7305
"114",1956,"310_","latewood",0.7725
"115",1956,"311_","earlywood",0.1155
"116",1956,"311_","latewood",0.0645
"117",1956,"646_","earlywood",0.889
"118",1956,"646_","latewood",1.2065
"119",1956,"648_","earlywood",0.254
"120",1956,"648_","latewood",0.296
"121",1956,"648_B2E",NA,0.275
"122",1956,"648_B2L",NA,0.296
