"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"1",1931,"earlywood",0.0313595277624055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1931,"latewood",0.0252200406228842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1932,"earlywood",0.0472237594539753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1932,"latewood",0.0181110358835477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1933,"earlywood",0.0236118797269876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1933,"latewood",0.0323290453622207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1934,"earlywood",0.0549714074893931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1934,"latewood",0.0181110358835477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1935,"earlywood",0.0317284633831396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1935,"latewood",0.117975626269465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1936,"earlywood",0.0391071757978233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1936,"latewood",0.0252200406228842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1937,"earlywood",0.0236118797269876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1937,"latewood",0.0181110358835477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1938,"earlywood",0.0394761114185575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1938,"latewood",0.0181110358835477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1939,"earlywood",0.453052942261575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1939,"latewood",0.0110020311442112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1940,"earlywood",0.0158642316915698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1940,"latewood",0.0106635071090047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1941,"earlywood",0.0239808153477218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1941,"latewood",0.0106635071090047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
