"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","310",2022-10-03,276,NA,NA,NA,NA,NA,2022-10-02 14:00:00,2022-10-03 11:00:00,1260,9,0.0001047744525997,NA
"2","310",2022-10-03,276,NA,NA,NA,NA,NA,2022-10-03 15:00:00,2022-10-03 20:00:00,300,2,0.000103174603177658,NA
"3","310",2022-10-04,277,2022-10-03 20:00:00,2022-10-04 06:00:00,600,-3,-3.03030303030976e-05,2022-10-04 06:00:00,2022-10-04 11:00:00,300,13,0.000666666666675444,NA
"4","310",2022-10-04,277,2022-10-04 17:00:00,2022-10-04 22:00:00,300,-5,-0.000269841269841551,2022-10-04 12:00:00,2022-10-04 17:00:00,300,2,7.93650793689307e-05,NA
"5","310",2022-10-05,278,NA,NA,NA,NA,NA,2022-10-04 22:00:00,2022-10-05 11:00:00,780,23,0.00052747252747325,NA
"6","310",2022-10-05,278,NA,NA,NA,NA,NA,2022-10-05 15:00:00,2022-10-05 21:00:00,360,2,7.93650793621121e-05,NA
"7","310",2022-10-06,279,2022-10-05 21:00:00,2022-10-06 02:00:00,300,-5,-0.000273809523815284,2022-10-06 02:00:00,2022-10-06 09:00:00,420,10,0.000347222222218916,NA
"8","310",2022-10-06,279,2022-10-06 09:00:00,2022-10-06 19:00:00,600,-6,-8.58585858586425e-05,NA,NA,NA,NA,NA,NA
"9","310",2022-10-07,280,2022-10-07 06:00:00,2022-10-07 15:00:00,540,-14,-0.000328282828285326,2022-10-06 19:00:00,2022-10-07 06:00:00,660,6,0.000140831390832949,1
"10","310",2022-10-08,281,2022-10-08 01:00:00,2022-10-08 16:00:00,900,-17,-0.000196078431372567,2022-10-07 15:00:00,2022-10-08 01:00:00,600,4,0.000108585858585046,NA
"11","310",2022-10-09,282,NA,NA,NA,NA,NA,2022-10-08 23:00:00,2022-10-09 08:00:00,540,5,0.000142255892256554,NA
"12","310",2022-10-10,283,2022-10-09 08:00:00,2022-10-10 01:00:00,1020,-15,-0.000259287925698005,2022-10-10 01:00:00,2022-10-10 06:00:00,300,4,0.00018253968254541,NA
"13","310",2022-10-10,283,2022-10-10 06:00:00,2022-10-10 12:00:00,360,-3,-0.000128968253966796,NA,NA,NA,NA,NA,NA
"14","310",2022-10-11,284,NA,NA,NA,NA,NA,2022-10-10 12:00:00,2022-10-11 01:00:00,780,7,9.4627594627664e-05,NA
"15","310",2022-10-11,284,NA,NA,NA,NA,NA,2022-10-11 04:00:00,2022-10-11 10:00:00,360,14,0.000753968253944045,NA
"16","310",2022-10-11,284,NA,NA,NA,NA,NA,2022-10-11 14:00:00,2022-10-11 23:00:00,540,5,0.000126262626263436,NA
"17","310",2022-10-12,285,2022-10-11 23:00:00,2022-10-12 20:00:00,1260,-9,-6.39155530458081e-05,NA,NA,NA,NA,NA,NA
"18","310",2022-10-13,286,2022-10-12 23:00:00,2022-10-13 04:00:00,300,-4,-0.000198412698418273,2022-10-13 04:00:00,2022-10-13 12:00:00,480,4,9.72222222222222e-05,-1
"19","310",2022-10-14,287,2022-10-13 12:00:00,2022-10-14,720,-13,-0.000230463980464174,2022-10-14,2022-10-14 06:00:00,360,3,0.000119047619043475,NA
"20","310",2022-10-14,287,2022-10-14 06:00:00,2022-10-14 12:00:00,360,-3,-0.000128968253966796,NA,NA,NA,NA,NA,NA
"21","310",2022-10-15,288,2022-10-15 05:00:00,2022-10-15 20:00:00,900,-7,-0.00010294117647057,NA,NA,NA,NA,NA,NA
"22","310",2022-10-16,289,2022-10-16 06:00:00,2022-10-16 22:00:00,960,-9,-0.000141612200433437,2022-10-15 20:00:00,2022-10-16 06:00:00,600,6,0.000169191919191021,NA
"23","310",2022-10-17,290,NA,NA,NA,NA,NA,2022-10-16 22:00:00,2022-10-17 17:00:00,1140,41,0.000659983291562953,NA
"24","310",2022-10-18,291,2022-10-18 05:00:00,2022-10-18 14:00:00,540,-6,-0.000188552188550549,2022-10-17 20:00:00,2022-10-18 05:00:00,540,7,0.000193602693601708,1
"25","310",2022-10-19,292,2022-10-19 05:00:00,2022-10-19 21:00:00,960,-5,-6.39978213504709e-05,2022-10-18 14:00:00,2022-10-19 05:00:00,900,6,3.71732026143702e-05,NA
"26","310",2022-10-20,293,2022-10-20 03:00:00,2022-10-20 14:00:00,660,-6,-0.000106837606838142,2022-10-19 21:00:00,2022-10-20 03:00:00,360,5,0.000208333333331888,1
"27","310",2022-10-21,294,NA,NA,NA,NA,NA,2022-10-20 14:00:00,2022-10-21 09:00:00,1140,23,0.000184001670843153,NA
"28","310",2022-10-22,295,2022-10-22 06:00:00,2022-10-22 20:00:00,840,-2,-3.07539682535316e-05,2022-10-21 13:00:00,2022-10-22 01:00:00,720,57,0.00123778998779383,NA
"29","310",2022-10-23,296,NA,NA,NA,NA,NA,2022-10-22 20:00:00,2022-10-23 19:00:00,1380,36,0.000524275362324749,NA
"30","310",2022-10-24,297,2022-10-23 19:00:00,2022-10-24 06:00:00,660,-5,-7.91569541577893e-05,NA,NA,NA,NA,NA,NA
"31","310",2022-10-25,298,NA,NA,NA,NA,NA,2022-10-24 06:00:00,2022-10-25 15:00:00,1980,106,0.000855381546556319,NA
