"","series","ts","value","max","twd","gro_yr","frost","flags","version","yr","gro_tot"
"1","311",2018-07-12 10:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"2","311",2018-07-12 11:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"3","311",2018-07-12 12:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"4","311",2018-07-12 13:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"5","311",2018-07-12 14:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"6","311",2018-07-12 15:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"7","311",2018-07-12 16:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"8","311",2018-07-12 17:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"9","311",2018-07-12 18:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"10","311",2018-07-12 19:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"11","311",2018-07-12 20:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"12","311",2018-07-12 21:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"13","311",2018-07-12 22:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"14","311",2018-07-12 23:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"15","311",2018-07-13,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"16","311",2018-07-13 01:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"17","311",2018-07-13 02:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"18","311",2018-07-13 03:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"19","311",2018-07-13 04:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"20","311",2018-07-13 05:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"21","311",2018-07-13 06:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"22","311",2018-07-13 07:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"23","311",2018-07-13 08:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
"24","311",2018-07-13 09:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2018",NA
