"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","311",2018-08-03,215,2018-08-03 08:00:00,2018-08-03 14:00:00,360,-0.235878129888433,-1.16953462587248e-05,NA,NA,NA,NA,NA,1
"2","311",2018-08-07,219,2018-08-07 09:00:00,2018-08-07 17:00:00,480,-0.294228151744556,-1.18925114183527e-05,NA,NA,NA,NA,NA,1
"3","311",2018-08-09,221,2018-08-09 07:00:00,2018-08-09 18:00:00,660,-0.338846046378296,-1.08773475358039e-05,NA,NA,NA,NA,NA,1
"4","311",2018-08-15,227,2018-08-15 09:00:00,2018-08-15 17:00:00,480,-0.315241776768336,-1.26844705291367e-05,NA,NA,NA,NA,NA,1
"5","311",2018-08-26,238,2018-08-26 09:00:00,2018-08-26 16:00:00,420,-0.265520101419527,-1.23807840733711e-05,NA,NA,NA,NA,NA,1
"6","311",2018-09-17,260,2018-09-17 10:00:00,2018-09-17 16:00:00,360,-0.210657482676433,-1.12814147251644e-05,NA,NA,NA,NA,NA,1
"7","311",2018-10-03,276,2018-10-03 09:00:00,2018-10-03 16:00:00,420,-0.227919825691536,-1.09872186025063e-05,NA,NA,NA,NA,NA,1
"8","311",2018-10-13,286,2018-10-13 09:00:00,2018-10-13 14:00:00,300,-0.272797938657231,-1.62246788909275e-05,NA,NA,NA,NA,NA,NA
"9","311",2019-02-21,52,2019-02-21 12:00:00,2019-02-21 17:00:00,300,-0.17614911002789,-1.04394858660698e-05,NA,NA,NA,NA,NA,NA
"10","311",2019-03-18,77,2019-03-18 08:00:00,2019-03-18 14:00:00,360,-0.21956435033416,-1.15688650515065e-05,NA,NA,NA,NA,NA,1
"11","311",2019-03-19,78,2019-03-19 09:00:00,2019-03-19 14:00:00,300,-0.179706939203236,-1.01461781478133e-05,NA,NA,NA,NA,NA,1
"12","311",2019-07-06,187,NA,NA,NA,NA,NA,2019-07-05 19:00:00,2019-07-06 07:00:00,720,0.458454964985435,1.13879457254199e-05,NA
"13","311",2019-07-10,191,NA,NA,NA,NA,NA,2019-07-09 15:00:00,2019-07-10 08:00:00,1020,0.653985486518231,1.26690471582994e-05,NA
"14","311",2019-07-11,192,NA,NA,NA,NA,NA,2019-07-10 18:00:00,2019-07-11 07:00:00,780,0.532755256505808,1.29555891462508e-05,NA
"15","311",2019-07-12,193,NA,NA,NA,NA,NA,2019-07-11 19:00:00,2019-07-12 11:00:00,960,0.572875034560418,1.0731261073708e-05,NA
"16","311",2019-07-13,194,NA,NA,NA,NA,NA,2019-07-12 14:00:00,2019-07-13 08:00:00,1080,0.644839727290922,1.14127553724371e-05,NA
"17","311",2019-07-14,195,NA,NA,NA,NA,NA,2019-07-13 18:00:00,2019-07-14 08:00:00,840,0.469988287091532,1.0812070153192e-05,NA
"18","311",2019-07-15,196,NA,NA,NA,NA,NA,2019-07-14 16:00:00,2019-07-15 08:00:00,960,0.617803838375494,1.28417080639728e-05,NA
"19","311",2019-07-16,197,NA,NA,NA,NA,NA,2019-07-15 16:00:00,2019-07-16 04:00:00,720,0.610685156080876,1.52115135187825e-05,NA
"20","311",2019-07-22,203,NA,NA,NA,NA,NA,2019-07-21 19:00:00,2019-07-22 09:00:00,840,0.603110415296833,1.36370524328659e-05,NA
"21","311",2019-07-23,204,NA,NA,NA,NA,NA,2019-07-22 18:00:00,2019-07-23 12:00:00,1080,0.61585769173136,1.17469634375409e-05,NA
"22","311",2019-07-24,205,NA,NA,NA,NA,NA,2019-07-23 18:00:00,2019-07-24 08:00:00,840,0.674866933361763,1.40919133917948e-05,NA
"23","311",2019-07-26,207,2019-07-26 08:00:00,2019-07-26 19:00:00,660,-0.386849644116424,-1.1845893989918e-05,2019-07-25 19:00:00,2019-07-26 08:00:00,780,0.550129883333263,1.34475157962729e-05,1
"24","311",2019-07-27,208,NA,NA,NA,NA,NA,2019-07-26 19:00:00,2019-07-27 10:00:00,900,0.52231246406977,1.09145564886794e-05,NA
"25","311",2019-07-28,209,NA,NA,NA,NA,NA,2019-07-27 17:00:00,2019-07-28 09:00:00,960,0.733920022178999,1.42661538254585e-05,NA
"26","311",2019-07-29,210,NA,NA,NA,NA,NA,2019-07-28 18:00:00,2019-07-29 10:00:00,960,0.50731043955647,1.06476352716432e-05,NA
"27","311",2019-07-30,211,NA,NA,NA,NA,NA,2019-07-29 15:00:00,2019-07-30 09:00:00,1080,0.709281961636194,1.24850509817627e-05,NA
"28","311",2019-07-31,212,NA,NA,NA,NA,NA,2019-07-30 18:00:00,2019-07-31 10:00:00,960,0.542076563635355,1.09372132915384e-05,NA
"29","311",2019-08-01,213,NA,NA,NA,NA,NA,2019-07-31 14:00:00,2019-08-01 10:00:00,1200,0.65998053491461,1.15706757196111e-05,NA
"30","311",2019-08-05,217,NA,NA,NA,NA,NA,2019-08-04 18:00:00,2019-08-05 09:00:00,900,0.677852043474402,1.44864183287041e-05,NA
"31","311",2019-08-11,223,NA,NA,NA,NA,NA,2019-08-10 17:00:00,2019-08-11 09:00:00,960,0.721148315460709,1.37383773478921e-05,NA
"32","311",2019-08-13,225,NA,NA,NA,NA,NA,2019-08-12 18:00:00,2019-08-13 10:00:00,960,0.583974818601533,1.17309554978728e-05,NA
"33","311",2019-08-18,230,NA,NA,NA,NA,NA,2019-08-17 18:00:00,2019-08-18 10:00:00,960,0.594293470181981,1.17532844881852e-05,NA
"34","311",2019-08-19,231,NA,NA,NA,NA,NA,2019-08-18 17:00:00,2019-08-19 07:00:00,840,0.519078753936071,1.13876661229794e-05,NA
"35","311",2019-08-20,232,NA,NA,NA,NA,NA,2019-08-19 18:00:00,2019-08-20 07:00:00,780,0.642986686288523,1.45951381241149e-05,NA
"36","311",2019-08-25,237,NA,NA,NA,NA,NA,2019-08-24 18:00:00,2019-08-25 08:00:00,840,0.721070886580918,1.55568208819634e-05,NA
"37","311",2019-08-26,238,NA,NA,NA,NA,NA,2019-08-25 18:00:00,2019-08-26 10:00:00,960,0.556213103568126,1.06921328286609e-05,NA
"38","311",2019-08-28,240,NA,NA,NA,NA,NA,2019-08-27 19:00:00,2019-08-28 09:00:00,840,0.522628545786787,1.10866110484942e-05,NA
"39","311",2019-08-29,241,NA,NA,NA,NA,NA,2019-08-28 18:00:00,2019-08-29 09:00:00,900,0.689713742016842,1.37873420900247e-05,NA
"40","311",2019-08-31,243,NA,NA,NA,NA,NA,2019-08-30 19:00:00,2019-08-31 10:00:00,900,0.642857372897268,1.28341570407592e-05,NA
"41","311",2019-09-02,245,NA,NA,NA,NA,NA,2019-09-01 17:00:00,2019-09-02 10:00:00,1020,0.725412553850987,1.36701159074652e-05,NA
"42","311",2019-09-04,247,NA,NA,NA,NA,NA,2019-09-03 18:00:00,2019-09-04 10:00:00,960,0.80635334663944,1.5171713404704e-05,NA
"43","311",2019-09-07,250,NA,NA,NA,NA,NA,2019-09-06 19:00:00,2019-09-07 10:00:00,900,0.5231385578019,1.07062122008741e-05,NA
"44","311",2020-07-21,203,NA,NA,NA,NA,NA,2020-07-20 16:00:00,2020-07-21 06:00:00,840,0.494451118042008,1.02511946734558e-05,NA
