"","series","ts","value","max","twd","gro_yr","frost","flags","version","yr","gro_tot"
"1","648",2023-01-01,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"2","648",2023-01-01 01:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"3","648",2023-01-01 02:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"4","648",2023-01-01 03:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"5","648",2023-01-01 04:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"6","648",2023-01-01 05:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"7","648",2023-01-01 06:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"8","648",2023-01-01 07:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"9","648",2023-01-01 08:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"10","648",2023-01-01 09:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"11","648",2023-01-01 10:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"12","648",2023-01-01 11:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"13","648",2023-01-01 12:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"14","648",2023-01-01 13:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"15","648",2023-01-01 14:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"16","648",2023-01-01 15:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"17","648",2023-01-01 16:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"18","648",2023-01-01 17:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"19","648",2023-01-01 18:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"20","648",2023-01-01 19:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"21","648",2023-01-01 20:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"22","648",2023-01-01 21:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"23","648",2023-01-01 22:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"24","648",2023-01-01 23:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"25","648",2023-01-02,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"26","648",2023-01-02 01:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"27","648",2023-01-02 02:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"28","648",2023-01-02 03:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"29","648",2023-01-02 04:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"30","648",2023-01-02 05:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"31","648",2023-01-02 06:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"32","648",2023-01-02 07:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"33","648",2023-01-02 08:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"34","648",2023-01-02 09:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
"35","648",2023-01-02 10:00:00,NA,NA,NA,NA,NA,NA,"0.1.4","2023",NA
