"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","654",2019-07-11,192,2019-07-11 07:00:00,2019-07-11 15:00:00,480,-0.272504695674585,-1.12144382305585e-05,NA,NA,NA,NA,NA,1
"2","654",2019-07-12,193,2019-07-12 09:00:00,2019-07-12 15:00:00,360,-0.235183657294253,-1.16581035286744e-05,NA,NA,NA,NA,NA,1
"3","654",2019-07-14,195,2019-07-14 09:00:00,2019-07-14 16:00:00,420,-0.253284587704506,-1.16050445124943e-05,NA,NA,NA,NA,NA,1
"4","654",2019-07-17,198,2019-07-17 08:00:00,2019-07-17 16:00:00,480,-0.276979257322141,-1.13124526233361e-05,NA,NA,NA,NA,NA,1
"5","654",2019-07-19,200,2019-07-19 09:00:00,2019-07-19 16:00:00,420,-0.238416094188448,-1.06242934909131e-05,NA,NA,NA,NA,NA,1
"6","654",2019-07-20,201,2019-07-20 09:00:00,2019-07-20 16:00:00,420,-0.221989314624576,-1.01675538037754e-05,NA,NA,NA,NA,NA,1
"7","654",2019-07-24,205,2019-07-24 09:00:00,2019-07-24 17:00:00,480,-0.288980733693344,-1.17699460861534e-05,NA,NA,NA,NA,NA,1
"8","654",2019-07-25,206,2019-07-25 08:00:00,2019-07-25 17:00:00,540,-0.280789426659763,-1.04902149823082e-05,NA,NA,NA,NA,NA,1
"9","654",2019-07-26,207,2019-07-26 08:00:00,2019-07-26 18:00:00,600,-0.347238923147303,-1.201627989098e-05,NA,NA,NA,NA,NA,1
"10","654",2019-07-27,208,2019-07-27 08:00:00,2019-07-27 16:00:00,480,-0.265524478180459,-1.13119523168252e-05,NA,NA,NA,NA,NA,1
"11","654",2019-07-28,209,2019-07-28 09:00:00,2019-07-28 17:00:00,480,-0.320856365273259,-1.29365765027697e-05,NA,NA,NA,NA,NA,1
"12","654",2019-07-29,210,2019-07-29 08:00:00,2019-07-29 16:00:00,480,-0.288710249867561,-1.15929668946779e-05,NA,NA,NA,NA,NA,1
"13","654",2019-07-30,211,2019-07-30 08:00:00,2019-07-30 17:00:00,540,-0.267380304394383,-1.01341342655116e-05,NA,NA,NA,NA,NA,1
"14","654",2019-08-01,213,2019-08-01 08:00:00,2019-08-01 18:00:00,600,-0.368170583375393,-1.27659985417765e-05,NA,NA,NA,NA,NA,1
"15","654",2019-08-02,214,2019-08-02 09:00:00,2019-08-02 17:00:00,480,-0.360324324258432,-1.44251994823688e-05,NA,NA,NA,NA,NA,1
"16","654",2019-08-03,215,2019-08-03 08:00:00,2019-08-03 18:00:00,600,-0.375704341761591,-1.25419426577335e-05,NA,NA,NA,NA,NA,1
"17","654",2019-08-04,216,2019-08-04 09:00:00,2019-08-04 17:00:00,480,-0.394956917340059,-1.52330451098926e-05,NA,NA,NA,NA,NA,1
"18","654",2019-08-07,219,2019-08-07 07:00:00,2019-08-07 17:00:00,600,-0.323295494353616,-1.09202727386241e-05,NA,NA,NA,NA,NA,1
"19","654",2019-08-08,220,2019-08-08 08:00:00,2019-08-08 16:00:00,480,-0.266018972588649,-1.06018515914263e-05,NA,NA,NA,NA,NA,1
"20","654",2019-08-11,223,2019-08-11 09:00:00,2019-08-11 17:00:00,480,-0.277157829168292,-1.0845840908571e-05,NA,NA,NA,NA,NA,1
"21","654",2019-08-13,225,2019-08-13 08:00:00,2019-08-13 17:00:00,540,-0.307210659184976,-1.13343705899708e-05,NA,NA,NA,NA,NA,1
"22","654",2019-08-14,226,2019-08-14 08:00:00,2019-08-14 17:00:00,540,-0.270835001166606,-1.02222558659773e-05,NA,NA,NA,NA,NA,1
"23","654",2019-08-15,227,2019-08-15 08:00:00,2019-08-15 18:00:00,600,-0.310207626340871,-1.08644804910428e-05,NA,NA,NA,NA,NA,1
"24","654",2019-08-20,232,2019-08-20 08:00:00,2019-08-20 17:00:00,540,-0.328150118005277,-1.20625921371952e-05,NA,NA,NA,NA,NA,1
