"","series","ts","value","max","twd","gro_yr","frost","flags","version","yr","gro_tot"
"1","860",2022-10-01 01:00:00,9843,9843,0,0,FALSE,NA,"0.1.4","2022",0
"2","860",2022-10-01 02:00:00,9844,9844,0,1,FALSE,NA,"0.1.4","2022",1
"3","860",2022-10-01 03:00:00,9844,9844,0,1,FALSE,NA,"0.1.4","2022",1
"4","860",2022-10-01 04:00:00,9844,9844,0,1,FALSE,NA,"0.1.4","2022",1
"5","860",2022-10-01 05:00:00,9844,9844,0,1,FALSE,NA,"0.1.4","2022",1
"6","860",2022-10-01 06:00:00,9843,9844,1,1,FALSE,NA,"0.1.4","2022",1
"7","860",2022-10-01 07:00:00,9843,9844,1,1,FALSE,NA,"0.1.4","2022",1
"8","860",2022-10-01 08:00:00,9844,9844,0,1,FALSE,NA,"0.1.4","2022",1
"9","860",2022-10-01 09:00:00,9844,9844,0,1,FALSE,NA,"0.1.4","2022",1
"10","860",2022-10-01 10:00:00,9844,9844,0,1,FALSE,NA,"0.1.4","2022",1
"11","860",2022-10-01 11:00:00,9846,9846,0,3,FALSE,NA,"0.1.4","2022",3
"12","860",2022-10-01 12:00:00,9827,9846,19,3,FALSE,NA,"0.1.4","2022",3
"13","860",2022-10-01 13:00:00,9801,9846,45,3,FALSE,NA,"0.1.4","2022",3
"14","860",2022-10-01 14:00:00,9766,9846,80,3,FALSE,NA,"0.1.4","2022",3
"15","860",2022-10-01 15:00:00,9748,9846,98,3,FALSE,NA,"0.1.4","2022",3
"16","860",2022-10-01 16:00:00,9742,9846,104,3,FALSE,NA,"0.1.4","2022",3
"17","860",2022-10-01 17:00:00,9741,9846,105,3,FALSE,NA,"0.1.4","2022",3
"18","860",2022-10-01 18:00:00,9743,9846,103,3,FALSE,NA,"0.1.4","2022",3
"19","860",2022-10-01 19:00:00,9751,9846,95,3,FALSE,NA,"0.1.4","2022",3
"20","860",2022-10-01 20:00:00,9757,9846,89,3,FALSE,NA,"0.1.4","2022",3
"21","860",2022-10-01 21:00:00,9758,9846,88,3,FALSE,NA,"0.1.4","2022",3
"22","860",2022-10-01 22:00:00,9761,9846,85,3,FALSE,NA,"0.1.4","2022",3
"23","860",2022-10-01 23:00:00,9765,9846,81,3,FALSE,NA,"0.1.4","2022",3
"24","860",2022-10-02,9768,9846,78,3,FALSE,NA,"0.1.4","2022",3
"25","860",2022-10-02 01:00:00,9768,9846,78,3,FALSE,NA,"0.1.4","2022",3
"26","860",2022-10-02 02:00:00,9768,9846,78,3,FALSE,NA,"0.1.4","2022",3
"27","860",2022-10-02 03:00:00,9772,9846,74,3,FALSE,NA,"0.1.4","2022",3
"28","860",2022-10-02 04:00:00,9775,9846,71,3,FALSE,NA,"0.1.4","2022",3
"29","860",2022-10-02 05:00:00,9776,9846,70,3,FALSE,NA,"0.1.4","2022",3
"30","860",2022-10-02 06:00:00,9776,9846,70,3,FALSE,NA,"0.1.4","2022",3
"31","860",2022-10-02 07:00:00,9776,9846,70,3,FALSE,NA,"0.1.4","2022",3
"32","860",2022-10-02 08:00:00,9779,9846,67,3,FALSE,NA,"0.1.4","2022",3
"33","860",2022-10-02 09:00:00,9783,9846,63,3,FALSE,NA,"0.1.4","2022",3
"34","860",2022-10-02 10:00:00,9783,9846,63,3,FALSE,NA,"0.1.4","2022",3
"35","860",2022-10-02 11:00:00,9782,9846,64,3,FALSE,NA,"0.1.4","2022",3
"36","860",2022-10-02 12:00:00,9780,9846,66,3,FALSE,NA,"0.1.4","2022",3
"37","860",2022-10-02 13:00:00,9765,9846,81,3,FALSE,NA,"0.1.4","2022",3
"38","860",2022-10-02 14:00:00,9730,9846,116,3,FALSE,NA,"0.1.4","2022",3
"39","860",2022-10-02 15:00:00,9705,9846,141,3,FALSE,NA,"0.1.4","2022",3
"40","860",2022-10-02 16:00:00,9706,9846,140,3,FALSE,NA,"0.1.4","2022",3
"41","860",2022-10-02 17:00:00,9706,9846,140,3,FALSE,NA,"0.1.4","2022",3
