ts,value,years
2018-07-12 10:00:00,-6.8924E-05,2018
2018-07-12 11:00:00,-0.000105838,2018
2018-07-12 12:00:00,-0.003028321,2018
2018-07-12 13:00:00,-0.008737497,2018
2018-07-12 14:00:00,-0.019728787,2018
2018-07-12 15:00:00,-0.028490456,2018
2018-07-12 16:00:00,-0.029623718,2018
2018-07-12 17:00:00,-0.02993227,2018
2018-07-12 18:00:00,-0.030384588,2018
2018-07-12 19:00:00,-0.030451722,2018
2018-07-12 20:00:00,-0.028115775,2018
2018-07-12 21:00:00,-0.025061771,2018
2018-07-12 22:00:00,-0.022175108,2018
2018-07-12 23:00:00,-0.019078341,2018
2018-07-13 00:00:00,-0.015987616,2018
2018-07-13 01:00:00,-0.013286742,2018
2018-07-13 02:00:00,-0.010482114,2018
2018-07-13 03:00:00,-0.008043392,2018
2018-07-13 04:00:00,-0.005720387,2018
2018-07-13 05:00:00,-0.003420677,2018
2018-07-13 06:00:00,-0.001682715,2018
2018-07-13 07:00:00,-0.001637645,2018
2018-07-13 08:00:00,-0.001366803,2018
2018-07-13 09:00:00,-0.002137899,2018
2018-07-13 10:00:00,-0.002429819,2018
2018-07-13 11:00:00,-0.007681126,2018
2018-07-13 12:00:00,-0.015761005,2018
2018-07-13 13:00:00,-0.030564941,2018
2018-07-13 14:00:00,-0.039934482,2018
2018-07-13 15:00:00,-0.045577499,2018
2018-07-13 16:00:00,-0.051304422,2018
2018-07-13 17:00:00,-0.056268176,2018
2018-07-13 18:00:00,-0.056679701,2018
2018-07-13 19:00:00,-0.056769275,2018
2018-07-13 20:00:00,-0.053772507,2018
2018-07-13 21:00:00,-0.04879427,2018
2018-07-13 22:00:00,-0.045172629,2018
2018-07-13 23:00:00,-0.042271145,2018
2018-07-14 00:00:00,-0.034665459,2018
2018-07-14 01:00:00,-0.032299909,2018
2018-07-14 02:00:00,-0.029770002,2018
2018-07-14 03:00:00,-0.026878475,2018
2018-07-14 04:00:00,-0.024364234,2018
2018-07-14 05:00:00,-0.021575173,2018
2018-07-14 06:00:00,-0.019295707,2018
2018-07-14 07:00:00,-0.019112191,2018
2018-07-14 08:00:00,-0.019094684,2018
2018-07-14 09:00:00,-0.020609471,2018
2018-07-14 10:00:00,-0.023426324,2018
2018-07-14 11:00:00,-0.025619738,2018
2018-07-14 12:00:00,-0.029074515,2018
2018-07-14 13:00:00,-0.033185258,2018
2018-07-14 14:00:00,-0.043340467,2018
2018-07-14 15:00:00,-0.053542349,2018
2018-07-14 16:00:00,-0.059756255,2018
2018-07-14 17:00:00,-0.062951868,2018
2018-07-14 18:00:00,-0.063165344,2018
2018-07-14 19:00:00,-0.062823997,2018
2018-07-14 20:00:00,-0.060110673,2018
2018-07-14 21:00:00,-0.055926888,2018
2018-07-14 22:00:00,-0.050549211,2018
2018-07-14 23:00:00,-0.044503383,2018
2018-07-15 00:00:00,-0.041694134,2018
2018-07-15 01:00:00,-0.038037793,2018
2018-07-15 02:00:00,-0.0338027,2018
2018-07-15 03:00:00,-0.030536104,2018
2018-07-15 04:00:00,-0.026362176,2018
2018-07-15 05:00:00,-0.022711291,2018
2018-07-15 06:00:00,-0.020213285,2018
2018-07-15 07:00:00,-0.020213285,2018
2018-07-15 08:00:00,-0.020056467,2018
2018-07-15 09:00:00,-0.021251641,2018
2018-07-15 10:00:00,-0.022100962,2018
2018-07-15 11:00:00,-0.026195233,2018
2018-07-15 12:00:00,-0.03278174,2018
2018-07-15 13:00:00,-0.046092883,2018
2018-07-15 14:00:00,-0.056036247,2018
2018-07-15 15:00:00,-0.059617691,2018
2018-07-15 16:00:00,-0.060911432,2018
2018-07-15 17:00:00,-0.061572631,2018
2018-07-15 18:00:00,-0.061799098,2018
2018-07-15 19:00:00,-0.061191505,2018
2018-07-15 20:00:00,-0.057325999,2018
2018-07-15 21:00:00,-0.050451242,2018
2018-07-15 22:00:00,-0.04408774,2018
2018-07-15 23:00:00,-0.039763062,2018
2018-07-16 00:00:00,-0.034938857,2018
2018-07-16 01:00:00,-0.030013479,2018
2018-07-16 02:00:00,-0.026388158,2018
2018-07-16 03:00:00,-0.021653985,2018
2018-07-16 04:00:00,-0.01824234,2018
2018-07-16 05:00:00,-0.014463643,2018
2018-07-16 06:00:00,-0.011386263,2018
2018-07-16 07:00:00,-0.011681247,2018
2018-07-16 08:00:00,-0.012563214,2018
2018-07-16 09:00:00,-0.014396559,2018
2018-07-16 10:00:00,-0.016545867,2018
2018-07-16 11:00:00,-0.020081693,2018
2018-07-16 12:00:00,-0.025617699,2018
2018-07-16 13:00:00,-0.036248245,2018
2018-07-16 14:00:00,-0.047713488,2018
2018-07-16 15:00:00,-0.055356317,2018
2018-07-16 16:00:00,-0.064276246,2018
2018-07-16 17:00:00,-0.064986534,2018
2018-07-16 18:00:00,-0.065168618,2018
2018-07-16 19:00:00,-0.064191247,2018
2018-07-16 20:00:00,-0.060092878,2018
2018-07-16 21:00:00,-0.055016283,2018
2018-07-16 22:00:00,-0.049939399,2018
2018-07-16 23:00:00,-0.045096036,2018
2018-07-17 00:00:00,-0.040728834,2018
2018-07-17 01:00:00,-0.036207988,2018
2018-07-17 02:00:00,-0.031748467,2018
2018-07-17 03:00:00,-0.027447672,2018
2018-07-17 04:00:00,-0.023591547,2018
2018-07-17 05:00:00,-0.019746314,2018
2018-07-17 06:00:00,-0.0164135,2018
2018-07-17 07:00:00,-0.016402319,2018
2018-07-17 08:00:00,-0.016539869,2018
2018-07-17 09:00:00,-0.017391696,2018
2018-07-17 10:00:00,-0.020298323,2018
2018-07-17 11:00:00,-0.025137529,2018
2018-07-17 12:00:00,-0.033194091,2018
2018-07-17 13:00:00,-0.04766237,2018
2018-07-17 14:00:00,-0.060037582,2018
2018-07-17 15:00:00,-0.06666347,2018
2018-07-17 16:00:00,-0.073728846,2018
2018-07-17 17:00:00,-0.076126783,2018
2018-07-17 18:00:00,-0.076226395,2018
2018-07-17 19:00:00,-0.073467911,2018
2018-07-17 20:00:00,-0.067669827,2018
2018-07-17 21:00:00,-0.059964032,2018
2018-07-17 22:00:00,-0.05259018,2018
2018-07-17 23:00:00,-0.045899569,2018
2018-07-18 00:00:00,-0.041534472,2018
2018-07-18 01:00:00,-0.037821541,2018
2018-07-18 02:00:00,-0.034729449,2018
2018-07-18 03:00:00,-0.03100585,2018
2018-07-18 04:00:00,-0.027379246,2018
2018-07-18 05:00:00,-0.02319174,2018
2018-07-18 06:00:00,-0.020107566,2018
2018-07-18 07:00:00,-0.020068961,2018
2018-07-18 08:00:00,-0.019952818,2018
2018-07-18 09:00:00,-0.021463914,2018
2018-07-18 10:00:00,-0.023345882,2018
2018-07-18 11:00:00,-0.029564871,2018
2018-07-18 12:00:00,-0.035944308,2018
2018-07-18 13:00:00,-0.04052439,2018
2018-07-18 14:00:00,-0.050048182,2018
2018-07-18 15:00:00,-0.060667477,2018
2018-07-18 16:00:00,-0.06228667,2018
2018-07-18 17:00:00,-0.062192778,2018
2018-07-18 18:00:00,-0.062407886,2018
2018-07-18 19:00:00,-0.059439308,2018
2018-07-18 20:00:00,-0.055008047,2018
2018-07-18 21:00:00,-0.047781845,2018
2018-07-18 22:00:00,-0.04247746,2018
2018-07-18 23:00:00,-0.038892176,2018
2018-07-19 00:00:00,-0.034257082,2018
2018-07-19 01:00:00,-0.029722225,2018
2018-07-19 02:00:00,-0.025946354,2018
2018-07-19 03:00:00,-0.021490921,2018
2018-07-19 04:00:00,-0.017648135,2018
2018-07-19 05:00:00,-0.013406665,2018
2018-07-19 06:00:00,-0.009679664,2018
2018-07-19 07:00:00,-0.009610522,2018
2018-07-19 08:00:00,-0.009691263,2018
