ts,value
2022.11.26 01:45,422
2022.11.26 02:00,422
2022.11.26 02:15,422
2022.11.26 02:30,421
2022.11.26 02:45,420
2022.11.26 03:00,420
2022.11.26 03:15,420
2022.11.26 03:30,420
2022.11.26 03:45,420
2022.11.26 04:00,420
2022.11.26 04:15,420
2022.11.26 04:30,420
2022.11.26 04:45,421
2022.11.26 05:00,421
2022.11.26 05:15,421
2022.11.26 05:30,422
2022.11.26 05:45,424
2022.11.26 06:00,425
2022.11.26 06:15,427
2022.11.26 06:30,428
2022.11.26 06:45,430
2022.11.26 07:00,432
2022.11.26 07:15,433
2022.11.26 07:30,434
2022.11.26 07:45,436
2022.11.26 08:00,437
2022.11.26 08:15,437
2022.11.26 08:30,438
2022.11.26 08:45,438
2022.11.26 09:00,439
2022.11.26 09:15,439
2022.11.26 09:30,439
2022.11.26 09:45,440
2022.11.26 10:00,440
2022.11.26 10:15,440
2022.11.26 10:30,441
2022.11.26 10:45,441
2022.11.26 11:00,441
2022.11.26 11:15,441
2022.11.26 11:30,442
2022.11.26 11:45,442
2022.11.26 12:00,442
2022.11.26 12:15,443
2022.11.26 12:30,443
2022.11.26 12:45,443
2022.11.26 13:00,443
2022.11.26 13:15,443
2022.11.26 13:30,443
2022.11.26 13:45,444
2022.11.26 14:00,444
2022.11.26 14:15,444
2022.11.26 14:30,444
2022.11.26 14:45,443
2022.11.26 15:00,443
2022.11.26 15:15,443
2022.11.26 15:30,443
2022.11.26 15:45,443
2022.11.26 16:00,443
2022.11.26 16:15,443
2022.11.26 16:30,443
2022.11.26 16:45,443
2022.11.26 17:00,443
2022.11.26 17:15,443
2022.11.26 17:30,443
2022.11.26 17:45,443
2022.11.26 18:00,443
2022.11.26 18:15,443
2022.11.26 18:30,444
2022.11.26 18:45,443
2022.11.26 19:00,444
2022.11.26 19:15,444
2022.11.26 19:30,444
2022.11.26 19:45,444
2022.11.26 20:00,444
2022.11.26 20:15,443
2022.11.26 20:30,443
2022.11.26 20:45,443
2022.11.26 21:00,443
2022.11.26 21:15,442
2022.11.26 21:30,442
2022.11.26 21:45,442
2022.11.26 22:00,441
2022.11.26 22:15,441
2022.11.26 22:30,440
2022.11.26 22:45,439
2022.11.26 23:00,439
2022.11.26 23:15,439
2022.11.26 23:30,439
2022.11.26 23:45,439
2022.11.27 00:00,438
2022.11.27 00:15,438
2022.11.27 00:30,438
2022.11.27 00:45,438
2022.11.27 01:00,438
2022.11.27 01:15,438
2022.11.27 01:30,438
2022.11.27 01:45,438
2022.11.27 02:00,438
2022.11.27 02:15,438
2022.11.27 02:30,438
2022.11.27 02:45,438
2022.11.27 03:00,438
2022.11.27 03:15,437
2022.11.27 03:30,437
2022.11.27 03:45,437
2022.11.27 04:00,437
2022.11.27 04:15,437
2022.11.27 04:30,437
2022.11.27 04:45,437
2022.11.27 05:00,437
2022.11.27 05:15,437
2022.11.27 05:30,437
2022.11.27 05:45,437
2022.11.27 06:00,437
2022.11.27 06:15,437
2022.11.27 06:30,437
2022.11.27 06:45,437
2022.11.27 07:00,437
2022.11.27 07:15,437
2022.11.27 07:30,437
2022.11.27 07:45,437
2022.11.27 08:00,437
2022.11.27 08:15,437
2022.11.27 08:30,437
2022.11.27 08:45,437
2022.11.27 09:00,437
2022.11.27 09:15,437
2022.11.27 09:30,437
2022.11.27 09:45,437
2022.11.27 10:00,437
2022.11.27 10:15,438
2022.11.27 10:30,437
2022.11.27 10:45,437
2022.11.27 11:00,437
2022.11.27 11:15,438
2022.11.27 11:30,438
2022.11.27 11:45,438
2022.11.27 12:00,438
2022.11.27 12:15,438
2022.11.27 12:30,438
2022.11.27 12:45,438
2022.11.27 13:00,438
2022.11.27 13:15,438
2022.11.27 13:30,438
2022.11.27 13:45,438
2022.11.27 14:00,438
2022.11.27 14:15,438
2022.11.27 14:30,438
2022.11.27 14:45,437
2022.11.27 15:00,438
2022.11.27 15:15,438
2022.11.27 15:30,439
2022.11.27 15:45,439
2022.11.27 16:00,439
2022.11.27 16:15,439
2022.11.27 16:30,439
2022.11.27 16:45,440
2022.11.27 17:00,440
2022.11.27 17:15,439
2022.11.27 17:30,440
2022.11.27 17:45,440
2022.11.27 18:00,440
2022.11.27 18:15,440
2022.11.27 18:30,441
2022.11.27 18:45,441
2022.11.27 19:00,441
2022.11.27 19:15,442
2022.11.27 19:30,442
2022.11.27 19:45,442
2022.11.27 20:00,443
2022.11.27 20:15,443
2022.11.27 20:30,443
2022.11.27 20:45,443
2022.11.27 21:00,443
2022.11.27 21:15,443
2022.11.27 21:30,443
2022.11.27 21:45,443
2022.11.27 22:00,443
2022.11.27 22:15,444
2022.11.27 22:30,444
2022.11.27 22:45,445
2022.11.27 23:00,445
2022.11.27 23:15,445
2022.11.27 23:30,446
2022.11.27 23:45,451
2022.11.28 00:00,450
2022.11.28 00:15,450
2022.11.28 00:30,450
2022.11.28 00:45,450
2022.11.28 01:00,450
2022.11.28 01:15,450
2022.11.28 01:30,450
2022.11.28 01:45,450
2022.11.28 02:00,450
2022.11.28 02:15,450
2022.11.28 02:30,452
2022.11.28 02:45,452
2022.11.28 03:00,451
2022.11.28 03:15,451
2022.11.28 03:30,451
2022.11.28 03:45,451
2022.11.28 04:00,451
2022.11.28 04:15,451
2022.11.28 04:30,451
2022.11.28 04:45,451
2022.11.28 05:00,451
2022.11.28 05:15,452
2022.11.28 05:30,451
2022.11.28 05:45,452
2022.11.28 06:00,452
2022.11.28 06:15,452
2022.11.28 06:30,452
2022.11.28 06:45,452
2022.11.28 07:00,452
2022.11.28 07:15,452
2022.11.28 07:30,452
2022.11.28 07:45,452
2022.11.28 08:00,452
2022.11.28 08:15,452
2022.11.28 08:30,452
2022.11.28 08:45,452
2022.11.28 09:00,452
2022.11.28 09:15,452
2022.11.28 09:30,452
2022.11.28 09:45,452
2022.11.28 10:00,452
2022.11.28 10:15,452
2022.11.28 10:30,452
2022.11.28 10:45,452
2022.11.28 11:00,452
2022.11.28 11:15,452
2022.11.28 11:30,452
2022.11.28 11:45,452
2022.11.28 12:00,452
2022.11.28 12:15,453
2022.11.28 12:30,453
2022.11.28 12:45,453
2022.11.28 13:00,452
2022.11.28 13:15,452
2022.11.28 13:30,452
2022.11.28 13:45,452
2022.11.28 14:00,451
2022.11.28 14:15,451
2022.11.28 14:30,451
2022.11.28 14:45,451
2022.11.28 15:00,451
2022.11.28 15:15,451
2022.11.28 15:30,451
2022.11.28 15:45,451
2022.11.28 16:00,451
2022.11.28 16:15,451
2022.11.28 16:30,451
