ts,value
2022.11.25 19:30,479
2022.11.25 19:45,478
2022.11.25 20:00,478
2022.11.25 20:15,478
2022.11.25 20:30,478
2022.11.25 20:45,478
2022.11.25 21:00,478
2022.11.25 21:15,478
2022.11.25 21:30,478
2022.11.25 21:45,477
2022.11.25 22:00,477
2022.11.25 22:15,477
2022.11.25 22:30,477
2022.11.25 22:45,477
2022.11.25 23:00,477
2022.11.25 23:15,477
2022.11.25 23:30,477
2022.11.25 23:45,477
2022.11.26 00:00,477
2022.11.26 00:15,477
2022.11.26 00:30,477
2022.11.26 00:45,477
2022.11.26 01:00,477
2022.11.26 01:15,477
2022.11.26 01:30,477
2022.11.26 01:45,477
2022.11.26 02:00,477
2022.11.26 02:15,477
2022.11.26 02:30,477
2022.11.26 02:45,477
2022.11.26 03:00,477
2022.11.26 03:15,477
2022.11.26 03:30,477
2022.11.26 03:45,477
2022.11.26 04:00,477
2022.11.26 04:15,477
2022.11.26 04:30,477
2022.11.26 04:45,477
2022.11.26 05:00,477
2022.11.26 05:15,477
2022.11.26 05:30,477
2022.11.26 05:45,478
2022.11.26 06:00,478
2022.11.26 06:15,477
2022.11.26 06:30,477
2022.11.26 06:45,477
2022.11.26 07:00,477
2022.11.26 07:15,477
2022.11.26 07:30,477
2022.11.26 07:45,478
2022.11.26 08:00,478
2022.11.26 08:15,478
2022.11.26 08:30,478
2022.11.26 08:45,478
2022.11.26 09:00,478
2022.11.26 09:15,478
2022.11.26 09:30,478
2022.11.26 09:45,478
2022.11.26 10:00,478
2022.11.26 10:15,478
2022.11.26 10:30,478
2022.11.26 10:45,478
2022.11.26 11:00,478
2022.11.26 11:15,478
2022.11.26 11:30,478
2022.11.26 11:45,478
2022.11.26 12:00,478
2022.11.26 12:15,478
2022.11.26 12:30,478
2022.11.26 12:45,478
2022.11.26 13:00,478
2022.11.26 13:15,478
2022.11.26 13:30,478
2022.11.26 13:45,478
2022.11.26 14:00,478
2022.11.26 14:15,478
2022.11.26 14:30,478
2022.11.26 14:45,478
2022.11.26 15:00,478
2022.11.26 15:15,478
2022.11.26 15:30,478
2022.11.26 15:45,478
2022.11.26 16:00,478
2022.11.26 16:15,478
2022.11.26 16:30,478
2022.11.26 16:45,478
2022.11.26 17:00,478
2022.11.26 17:15,478
2022.11.26 17:30,478
2022.11.26 17:45,478
2022.11.26 18:00,478
2022.11.26 18:15,478
2022.11.26 18:30,478
2022.11.26 18:45,478
2022.11.26 19:00,478
2022.11.26 19:15,478
2022.11.26 19:30,478
2022.11.26 19:45,478
2022.11.26 20:00,478
2022.11.26 20:15,478
2022.11.26 20:30,478
2022.11.26 20:45,478
2022.11.26 21:00,478
2022.11.26 21:15,478
2022.11.26 21:30,478
2022.11.26 21:45,478
2022.11.26 22:00,477
2022.11.26 22:15,476
2022.11.26 22:30,476
2022.11.26 22:45,476
2022.11.26 23:00,475
2022.11.26 23:15,476
2022.11.26 23:30,476
2022.11.26 23:45,476
2022.11.27 00:00,477
2022.11.27 00:15,477
2022.11.27 00:30,477
2022.11.27 00:45,477
2022.11.27 01:00,477
2022.11.27 01:15,477
2022.11.27 01:30,477
2022.11.27 01:45,477
2022.11.27 02:00,478
2022.11.27 02:15,477
2022.11.27 02:30,478
2022.11.27 02:45,478
2022.11.27 03:00,478
2022.11.27 03:15,478
2022.11.27 03:30,478
2022.11.27 03:45,478
2022.11.27 04:00,478
2022.11.27 04:15,478
2022.11.27 04:30,478
2022.11.27 04:45,478
2022.11.27 05:00,478
2022.11.27 05:15,478
2022.11.27 05:30,478
2022.11.27 05:45,478
2022.11.27 06:00,478
2022.11.27 06:15,478
2022.11.27 06:30,478
2022.11.27 06:45,478
2022.11.27 07:00,478
2022.11.27 07:15,478
2022.11.27 07:30,478
2022.11.27 07:45,478
2022.11.27 08:00,478
2022.11.27 08:15,478
2022.11.27 08:30,478
2022.11.27 08:45,478
2022.11.27 09:00,478
2022.11.27 09:15,478
2022.11.27 09:30,478
2022.11.27 09:45,478
2022.11.27 10:00,478
2022.11.27 10:15,478
2022.11.27 10:30,478
2022.11.27 10:45,478
2022.11.27 11:00,478
2022.11.27 11:15,478
2022.11.27 11:30,478
2022.11.27 11:45,478
2022.11.27 12:00,478
2022.11.27 12:15,478
2022.11.27 12:30,478
2022.11.27 12:45,478
2022.11.27 13:00,478
2022.11.27 13:15,478
2022.11.27 13:30,478
2022.11.27 13:45,478
2022.11.27 14:00,478
2022.11.27 14:15,478
2022.11.27 14:30,478
2022.11.27 14:45,478
2022.11.27 15:00,478
2022.11.27 15:15,478
2022.11.27 15:30,478
2022.11.27 15:45,478
2022.11.27 16:00,478
2022.11.27 16:15,478
2022.11.27 16:30,478
2022.11.27 16:45,478
2022.11.27 17:00,478
2022.11.27 17:15,478
2022.11.27 17:30,478
2022.11.27 17:45,478
2022.11.27 18:00,478
2022.11.27 18:15,478
2022.11.27 18:30,478
2022.11.27 18:45,478
2022.11.27 19:00,478
2022.11.27 19:15,478
2022.11.27 19:30,478
2022.11.27 19:45,478
2022.11.27 20:00,478
2022.11.27 20:15,478
2022.11.27 20:30,478
2022.11.27 20:45,478
2022.11.27 21:00,478
2022.11.27 21:15,478
2022.11.27 21:30,478
2022.11.27 21:45,478
2022.11.27 22:00,478
2022.11.27 22:15,478
2022.11.27 22:30,478
2022.11.27 22:45,478
2022.11.27 23:00,478
2022.11.27 23:15,478
2022.11.27 23:30,478
2022.11.27 23:45,478
2022.11.28 00:00,478
2022.11.28 00:15,478
2022.11.28 00:30,478
2022.11.28 00:45,478
2022.11.28 01:00,478
