ts,value
2023.06.12 12:30,1
2023.06.12 12:45,1
2023.06.12 13:00,1
2023.06.12 13:15,1
2023.06.12 13:30,1
2023.06.12 13:45,1
2023.06.12 14:00,1
2023.06.12 14:15,1
2023.06.12 14:30,1
2023.06.12 14:45,1
2023.06.12 15:00,1
2023.06.12 15:15,1
2023.06.12 15:30,1
2023.06.12 15:45,1
2023.06.12 16:00,1
2023.06.12 16:15,1
2023.06.12 16:30,1
2023.06.12 16:45,1
2023.06.12 17:00,1
2023.06.12 17:15,1
2023.06.12 17:30,1
2023.06.12 17:45,1
2023.06.12 18:00,1
2023.06.12 18:15,1
2023.06.12 18:30,1
2023.06.12 18:45,1
2023.06.12 19:00,1
2023.06.12 19:15,1
2023.06.12 19:30,1
2023.06.12 19:45,1
2023.06.12 20:00,1
2023.06.12 20:15,1
2023.06.12 20:30,1
2023.06.12 20:45,1
2023.06.12 21:00,1
2023.06.12 21:15,1
2023.06.12 21:30,1
2023.06.12 21:45,1
2023.06.12 22:00,1
2023.06.12 22:15,1
2023.06.12 22:30,1
2023.06.12 22:45,1
2023.06.12 23:00,1
2023.06.12 23:15,1
2023.06.12 23:30,1
2023.06.12 23:45,1
2023.06.13 00:00,1
2023.06.13 00:15,1
2023.06.13 00:30,1
2023.06.13 00:45,1
2023.06.13 01:00,1
2023.06.13 01:15,1
2023.06.13 01:30,1
2023.06.13 01:45,1
2023.06.13 02:00,1
2023.06.13 02:15,1
2023.06.13 02:30,1
2023.06.13 02:45,1
2023.06.13 03:00,1
2023.06.13 03:15,1
2023.06.13 03:30,1
2023.06.13 03:45,1
2023.06.13 04:00,1
2023.06.13 04:15,1
2023.06.13 04:30,1
2023.06.13 04:45,1
2023.06.13 05:00,1
2023.06.13 05:15,1
2023.06.13 05:30,1
2023.06.13 05:45,1
2023.06.13 06:00,1
2023.06.13 06:15,1
2023.06.13 06:30,1
2023.06.13 06:45,1
2023.06.13 07:00,1
2023.06.13 07:15,1
2023.06.13 07:30,1
2023.06.13 07:45,1
2023.06.13 08:00,1
2023.06.13 08:15,1
2023.06.13 08:30,1
2023.06.13 08:45,1
2023.06.13 09:00,1
2023.06.13 09:15,1
2023.06.13 09:30,1
2023.06.13 09:45,1
2023.06.13 10:00,1
2023.06.13 10:15,2
2023.06.13 10:30,2
2023.06.13 10:45,2
2023.06.13 11:00,3
2023.06.13 11:15,3
2023.06.13 11:30,3
2023.06.13 11:45,3
2023.06.13 12:00,4
2023.06.13 12:15,5
2023.06.13 12:30,5
2023.06.13 12:45,6
2023.06.13 13:00,7
2023.06.13 13:15,7
2023.06.13 13:30,7
2023.06.13 13:45,7
2023.06.13 14:00,7
2023.06.13 14:15,8
2023.06.13 14:30,8
2023.06.13 14:45,8
2023.06.13 15:00,8
2023.06.13 15:15,8
2023.06.13 15:30,8
2023.06.13 15:45,8
2023.06.13 16:00,8
2023.06.13 16:15,8
2023.06.13 16:30,8
2023.06.13 16:45,8
2023.06.13 17:00,8
2023.06.13 17:15,8
2023.06.13 17:30,8
2023.06.13 17:45,8
2023.06.13 18:00,8
2023.06.13 18:15,8
2023.06.13 18:30,8
2023.06.13 18:45,8
2023.06.13 19:00,8
2023.06.13 19:15,8
2023.06.13 19:30,8
2023.06.13 19:45,8
2023.06.13 20:00,8
2023.06.13 20:15,8
2023.06.13 20:30,8
2023.06.13 20:45,8
2023.06.13 21:00,8
2023.06.13 21:15,9
2023.06.13 21:30,9
2023.06.13 21:45,8
2023.06.13 22:00,8
2023.06.13 22:15,8
2023.06.13 22:30,8
2023.06.13 22:45,8
2023.06.13 23:00,8
2023.06.13 23:15,8
2023.06.13 23:30,8
2023.06.13 23:45,8
2023.06.14 00:00,8
2023.06.14 00:15,8
2023.06.14 00:30,8
2023.06.14 00:45,8
2023.06.14 01:00,8
2023.06.14 01:15,8
2023.06.14 01:30,8
2023.06.14 01:45,8
2023.06.14 02:00,8
2023.06.14 02:15,8
2023.06.14 02:30,8
2023.06.14 02:45,8
2023.06.14 03:00,8
2023.06.14 03:15,8
2023.06.14 03:30,9
2023.06.14 03:45,8
2023.06.14 04:00,8
2023.06.14 04:15,8
2023.06.14 04:30,9
2023.06.14 04:45,10
2023.06.14 05:00,10
2023.06.14 05:15,11
2023.06.14 05:30,10
2023.06.14 05:45,11
2023.06.14 06:00,11
2023.06.14 06:15,11
2023.06.14 06:30,12
2023.06.14 06:45,12
2023.06.14 07:00,13
2023.06.14 07:15,12
2023.06.14 07:30,13
2023.06.14 07:45,14
2023.06.14 08:00,14
2023.06.14 08:15,15
2023.06.14 08:30,15
2023.06.14 08:45,15
2023.06.14 09:00,17
2023.06.14 09:15,17
2023.06.14 09:30,18
2023.06.14 09:45,19
2023.06.14 10:00,20
2023.06.14 10:15,21
2023.06.14 10:30,22
2023.06.14 10:45,23
2023.06.14 11:00,24
2023.06.14 11:15,23
2023.06.14 11:30,24
2023.06.14 11:45,24
2023.06.14 12:00,24
2023.06.14 12:15,25
2023.06.14 12:30,24
2023.06.14 12:45,25
2023.06.14 13:00,26
2023.06.14 13:15,26
2023.06.14 13:30,26
2023.06.14 13:45,27
2023.06.14 14:00,27
2023.06.14 14:15,27
2023.06.14 14:30,26
2023.06.14 14:45,26
2023.06.14 15:00,26
2023.06.14 15:15,27
2023.06.14 15:30,27
2023.06.14 15:45,27
2023.06.14 16:00,27
2023.06.14 16:15,27
2023.06.14 16:30,27
2023.06.14 16:45,27
2023.06.14 17:00,27
2023.06.14 17:15,27
2023.06.14 17:30,27
2023.06.14 17:45,27
2023.06.14 18:00,27
2023.06.14 18:15,27
2023.06.14 18:30,27
2023.06.14 18:45,27
2023.06.14 19:00,27
2023.06.14 19:15,27
2023.06.14 19:30,27
2023.06.14 19:45,27
2023.06.14 20:00,27
2023.06.14 20:15,28
2023.06.14 20:30,27
2023.06.14 20:45,27
2023.06.14 21:00,28
2023.06.14 21:15,27
2023.06.14 21:30,27
2023.06.14 21:45,27
2023.06.14 22:00,27
2023.06.14 22:15,27
2023.06.14 22:30,27
2023.06.14 22:45,28
2023.06.14 23:00,28
2023.06.14 23:15,27
2023.06.14 23:30,27
2023.06.14 23:45,27
2023.06.15 00:00,27
2023.06.15 00:15,27
2023.06.15 00:30,27
2023.06.15 00:45,27
2023.06.15 01:00,27
2023.06.15 01:15,27
2023.06.15 01:30,27
2023.06.15 01:45,28
2023.06.15 02:00,28
2023.06.15 02:15,28
2023.06.15 02:30,27
2023.06.15 02:45,28
2023.06.15 03:00,28
2023.06.15 03:15,28
2023.06.15 03:30,27
2023.06.15 03:45,27
2023.06.15 04:00,27
2023.06.15 04:15,28
2023.06.15 04:30,29
2023.06.15 04:45,28
2023.06.15 05:00,29
2023.06.15 05:15,28
2023.06.15 05:30,28
2023.06.15 05:45,28
2023.06.15 06:00,29
2023.06.15 06:15,29
2023.06.15 06:30,29
2023.06.15 06:45,29
2023.06.15 07:00,30
2023.06.15 07:15,31
2023.06.15 07:30,30
2023.06.15 07:45,30
2023.06.15 08:00,29
2023.06.15 08:15,30
2023.06.15 08:30,30
2023.06.15 08:45,30
2023.06.15 09:00,31
2023.06.15 09:15,32
2023.06.15 09:30,30
2023.06.15 09:45,30
2023.06.15 10:00,32
2023.06.15 10:15,31
2023.06.15 10:30,33
2023.06.15 10:45,33
2023.06.15 11:00,33
2023.06.15 11:15,35
2023.06.15 11:30,36
2023.06.15 11:45,37
2023.06.15 12:00,37
2023.06.15 12:15,39
2023.06.15 12:30,40
2023.06.15 12:45,42
2023.06.15 13:00,43
2023.06.15 13:15,42
2023.06.15 13:30,43
2023.06.15 13:45,42
2023.06.15 14:00,42
2023.06.15 14:15,43
2023.06.15 14:30,43
2023.06.15 14:45,43
2023.06.15 15:00,43
2023.06.15 15:15,43
2023.06.15 15:30,43
2023.06.15 15:45,43
2023.06.15 16:00,43
2023.06.15 16:15,43
2023.06.15 16:30,43
2023.06.15 16:45,43
2023.06.15 17:00,43
2023.06.15 17:15,43
2023.06.15 17:30,43
2023.06.15 17:45,43
2023.06.15 18:00,42
2023.06.15 18:15,42
2023.06.15 18:30,42
2023.06.15 18:45,43
2023.06.15 19:00,43
2023.06.15 19:15,43
2023.06.15 19:30,42
2023.06.15 19:45,42
2023.06.15 20:00,43
2023.06.15 20:15,43
2023.06.15 20:30,42
2023.06.15 20:45,43
2023.06.15 21:00,43
2023.06.15 21:15,43
2023.06.15 21:30,43
2023.06.15 21:45,43
2023.06.15 22:00,43
2023.06.15 22:15,43
2023.06.15 22:30,43
2023.06.15 22:45,43
2023.06.15 23:00,43
2023.06.15 23:15,43
2023.06.15 23:30,43
2023.06.15 23:45,43
2023.06.16 00:00,43
2023.06.16 00:15,43
2023.06.16 00:30,43
2023.06.16 00:45,43
2023.06.16 01:00,43
2023.06.16 01:15,43
2023.06.16 01:30,43
2023.06.16 01:45,43
2023.06.16 02:00,43
2023.06.16 02:15,43
2023.06.16 02:30,43
2023.06.16 02:45,43
2023.06.16 03:00,42
2023.06.16 03:15,42
2023.06.16 03:30,43
2023.06.16 03:45,43
2023.06.16 04:00,44
2023.06.16 04:15,45
2023.06.16 04:30,44
2023.06.16 04:45,44
2023.06.16 05:00,47
2023.06.16 05:15,45
2023.06.16 05:30,44
2023.06.16 05:45,45
2023.06.16 06:00,46
2023.06.16 06:15,46
2023.06.16 06:30,46
2023.06.16 06:45,48
2023.06.16 07:00,46
2023.06.16 07:15,48
2023.06.16 07:30,47
2023.06.16 07:45,47
2023.06.16 08:00,48
2023.06.16 08:15,48
2023.06.16 08:30,48
2023.06.16 08:45,48
2023.06.16 09:00,48
2023.06.16 09:15,47
2023.06.16 09:30,49
2023.06.16 09:45,49
2023.06.16 10:00,50
2023.06.16 10:15,51
2023.06.16 10:30,51
2023.06.16 10:45,51
2023.06.16 11:00,52
2023.06.16 11:15,51
2023.06.16 11:30,52
2023.06.16 11:45,54
2023.06.16 12:00,54
2023.06.16 12:15,55
2023.06.16 12:30,56
2023.06.16 12:45,56
2023.06.16 13:00,60
2023.06.16 13:15,62
2023.06.16 13:30,62
2023.06.16 13:45,63
2023.06.16 14:00,63
2023.06.16 14:15,63
2023.06.16 14:30,63
2023.06.16 14:45,63
2023.06.16 15:00,63
2023.06.16 15:15,62
2023.06.16 15:30,62
2023.06.16 15:45,62
2023.06.16 16:00,62
2023.06.16 16:15,62
2023.06.16 16:30,62
2023.06.16 16:45,61
2023.06.16 17:00,61
2023.06.16 17:15,60
2023.06.16 17:30,60
2023.06.16 17:45,60
2023.06.16 18:00,60
2023.06.16 18:15,60
2023.06.16 18:30,60
2023.06.16 18:45,60
2023.06.16 19:00,58
2023.06.16 19:15,59
2023.06.16 19:30,59
2023.06.16 19:45,58
2023.06.16 20:00,58
2023.06.16 20:15,59
2023.06.16 20:30,58
2023.06.16 20:45,58
2023.06.16 21:00,59
2023.06.16 21:15,59
2023.06.16 21:30,59
2023.06.16 21:45,59
2023.06.16 22:00,57
2023.06.16 22:15,57
2023.06.16 22:30,57
2023.06.16 22:45,57
2023.06.16 23:00,59
2023.06.16 23:15,59
2023.06.16 23:30,58
2023.06.16 23:45,58
2023.06.17 00:00,58
2023.06.17 00:15,58
2023.06.17 00:30,58
2023.06.17 00:45,59
2023.06.17 01:00,58
2023.06.17 01:15,58
2023.06.17 01:30,58
2023.06.17 01:45,58
2023.06.17 02:00,58
2023.06.17 02:15,58
2023.06.17 02:30,57
2023.06.17 02:45,57
2023.06.17 03:00,57
2023.06.17 03:15,59
2023.06.17 03:30,58
2023.06.17 03:45,58
2023.06.17 04:00,57
2023.06.17 04:15,59
2023.06.17 04:30,60
2023.06.17 04:45,61
2023.06.17 05:00,61
2023.06.17 05:15,61
2023.06.17 05:30,61
2023.06.17 05:45,63
2023.06.17 06:00,62
2023.06.17 06:15,64
2023.06.17 06:30,63
2023.06.17 06:45,64
2023.06.17 07:00,63
2023.06.17 07:15,64
