"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","CEN8642",2022-11-26,330,2022-11-23 13:45:00,2022-11-26 01:45:00,3600,-23,-8.26150985524431e-05,NA,NA,NA,NA,NA,NA
"2","CEN8642",2022-11-29,333,NA,NA,NA,NA,NA,2022-11-26 01:45:00,2022-11-29,4215,11,4.51200923806063e-05,NA
"3","CEN8642",2022-11-30,334,NA,NA,NA,NA,NA,2022-11-29 09:15:00,2022-11-30 22:30:00,2235,30,0.000303544355057665,NA
"4","CEN8642",2022-12-02,336,2022-11-30 22:30:00,2022-12-02 19:15:00,2685,-31,-0.000124792374707649,NA,NA,NA,NA,NA,NA
"5","CEN8642",2022-12-03,337,2022-12-03 01:00:00,2022-12-03 18:45:00,1065,-2,-1.22373000050015e-05,2022-12-02 19:15:00,2022-12-03 01:00:00,345,4,0.000179710144931691,NA
"6","CEN8642",2022-12-04,338,2022-12-04 01:00:00,2022-12-04 21:15:00,1215,-24,-0.000448478648105042,2022-12-03 18:45:00,2022-12-04 01:00:00,375,20,0.00116467236467033,NA
"7","CEN8642",2022-12-07,341,NA,NA,NA,NA,NA,2022-12-04 21:15:00,2022-12-07 06:00:00,3405,28,8.09025172759557e-05,NA
"8","CEN8642",2022-12-08,342,2022-12-07 06:00:00,2022-12-08 16:30:00,2070,-3,-1.02625973755063e-05,NA,NA,NA,NA,NA,NA
"9","CEN8642",2022-12-09,343,2022-12-09 02:30:00,2022-12-09 20:45:00,1095,-3,-1.91369451643473e-05,2022-12-08 16:30:00,2022-12-09 02:30:00,600,2,1.99380565234332e-05,NA
"10","CEN8642",2022-12-10,344,NA,NA,NA,NA,NA,2022-12-09 20:45:00,2022-12-10 13:15:00,990,5,2.66492847704753e-05,NA
"11","CEN8642",2022-12-13,347,2022-12-13 06:30:00,2022-12-13 20:00:00,810,-39,-0.000938431938440645,NA,NA,NA,NA,NA,NA
"12","CEN8642",2022-12-14,348,2022-12-14 00:15:00,2022-12-14 17:45:00,1050,-44,-0.000736343989860123,2022-12-13 20:00:00,2022-12-14 00:15:00,255,11,0.000512555899553442,NA
"13","CEN8642",2022-12-15,349,2022-12-15 06:15:00,2022-12-15 19:30:00,795,-131,-0.00320526014866064,2022-12-14 17:45:00,2022-12-15 06:15:00,750,43,0.00116882855703668,NA
"14","CEN8642",2022-12-16,350,2022-12-16 07:45:00,2022-12-16 19:00:00,675,-51,-0.00127501970055994,2022-12-15 19:30:00,2022-12-16 07:45:00,735,38,0.000885207416311069,1
"15","CEN8642",2022-12-18,352,2022-12-18 08:15:00,2022-12-18 20:30:00,735,-40,-0.000993677470991035,2022-12-16 19:00:00,2022-12-18 08:15:00,2235,21,5.12753653250537e-05,NA
"16","CEN8642",2022-12-20,354,2022-12-20 01:45:00,2022-12-20 08:15:00,390,-2,-1.76366843028156e-05,2022-12-18 20:30:00,2022-12-20 01:45:00,1755,34,0.000253975558063419,NA
"17","CEN8642",2022-12-20,354,NA,NA,NA,NA,NA,2022-12-20 08:15:00,2022-12-20 22:00:00,825,12,6.63021189343174e-05,NA
"18","CEN8642",2022-12-21,355,2022-12-20 22:00:00,2022-12-21 05:00:00,420,-2,-4.76190476194053e-05,NA,NA,NA,NA,NA,NA
"19","CEN8642",2022-12-23,357,2022-12-22 10:30:00,2022-12-23 06:45:00,1215,-157,-0.00215704734021154,NA,NA,NA,NA,NA,NA
"20","CEN8642",2022-12-24,358,NA,NA,NA,NA,NA,2022-12-23 06:45:00,2022-12-24 02:00:00,1155,165,0.00274248957792722,NA
"21","CEN8642",2022-12-27,361,NA,NA,NA,NA,NA,2022-12-26 17:00:00,2022-12-27 21:45:00,1725,32,0.000294611241389491,NA
"22","CEN8642",2022-12-28,362,2022-12-27 21:45:00,2022-12-28 04:00:00,375,-5,-5.96391263060307e-05,NA,NA,NA,NA,NA,NA
"23","CEN8642",2022-12-29,363,NA,NA,NA,NA,NA,2022-12-28 04:00:00,2022-12-29 17:00:00,2220,3,1.12582381038752e-05,NA
"24","CEN8642",2022-12-31,365,2022-12-31 00:15:00,2022-12-31 10:45:00,630,-2,-2.56720024162537e-05,2022-12-30 11:45:00,2022-12-31 00:15:00,750,4,6.43539467058858e-05,1
"25","CEN8642",2023-01-01,1,NA,NA,NA,NA,NA,2022-12-31 10:45:00,2023-01-01 15:15:00,1710,3,1.28181523273318e-05,NA
"26","CEN8642",2023-01-02,2,2023-01-01 15:15:00,2023-01-02 22:45:00,1890,-3,-1.28759946673438e-05,NA,NA,NA,NA,NA,NA
"27","CEN8642",2023-01-06,6,2023-01-04 17:30:00,2023-01-06 07:00:00,2250,-12,-8.47759575539279e-05,NA,NA,NA,NA,NA,NA
"28","CEN8642",2023-01-07,7,2023-01-07 03:15:00,2023-01-07 18:45:00,930,-7,-9.58994708989726e-05,2023-01-06 07:00:00,2023-01-07 03:15:00,1215,4,1.88407952798821e-05,NA
"29","CEN8642",2023-01-09,9,2023-01-09 08:00:00,2023-01-09 14:15:00,375,-3,-5.73599240266052e-05,NA,NA,NA,NA,NA,NA
"30","CEN8642",2023-01-10,10,2023-01-09 17:45:00,2023-01-10 15:00:00,1275,-4,-2.23071318877761e-05,2023-01-10 15:00:00,2023-01-10 20:15:00,315,2,4.89365706756927e-05,NA
"31","CEN8642",2023-01-11,11,2023-01-11 15:00:00,2023-01-11 20:00:00,300,-2,-2.02020202008605e-05,2023-01-10 20:45:00,2023-01-11 15:00:00,1095,2,2.1078612859463e-05,NA
"32","CEN8642",2023-01-14,14,2023-01-14 01:45:00,2023-01-14 09:15:00,450,-4,-9.13978494624187e-05,2023-01-13 00:30:00,2023-01-14 01:45:00,1515,5,2.7977098109544e-05,1
"33","CEN8642",2023-01-15,15,2023-01-14 22:45:00,2023-01-15 04:45:00,360,-2,-2.05128205128353e-05,2023-01-15 04:45:00,2023-01-15 15:00:00,615,5,0.000113713097265163,NA
"34","CEN8642",2023-01-16,16,NA,NA,NA,NA,NA,2023-01-15 17:30:00,2023-01-16 14:00:00,1230,5,2.10132049684278e-05,NA
