"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","DT311",2022-09-11,254,2022-09-11 15:00:00,2022-09-11 23:30:00,510,-11,-0.000370059134766493,NA,NA,NA,NA,NA,1
"2","DT311",2022-09-12,255,NA,NA,NA,NA,NA,2022-09-11 23:30:00,2022-09-12 17:15:00,1065,14,0.000239493786669039,NA
"3","DT311",2022-09-13,256,2022-09-12 17:15:00,2022-09-13 03:30:00,615,-2,-4.01552188280438e-05,2022-09-13 03:30:00,2022-09-13 15:15:00,705,3,2.57514353259591e-05,-1
"4","DT311",2022-09-14,257,2022-09-13 15:15:00,2022-09-14 00:30:00,555,-7,-0.000161578582638848,2022-09-14 00:30:00,2022-09-14 15:00:00,870,4,6.22767712201019e-05,NA
"5","DT311",2022-09-15,258,2022-09-14 15:00:00,2022-09-15 00:30:00,570,-14,-0.000423751686909993,2022-09-15 00:30:00,2022-09-15 15:45:00,915,13,0.000230218887014126,NA
"6","DT311",2022-09-16,259,2022-09-15 15:45:00,2022-09-16 00:15:00,510,-6,-0.000157485216307602,2022-09-16 00:15:00,2022-09-16 15:15:00,900,6,4.95328750217966e-05,NA
"7","DT311",2022-09-17,260,2022-09-16 15:15:00,2022-09-17 01:45:00,630,-10,-0.000278197254940295,2022-09-17 01:45:00,2022-09-17 17:30:00,945,10,0.000159595034595034,NA
"8","DT311",2022-09-17,260,2022-09-17 17:30:00,2022-09-17 23:45:00,375,-3,-0.000118138651473781,NA,NA,NA,NA,NA,NA
"9","DT311",2022-09-23,266,2022-09-23 17:30:00,2022-09-23 22:15:00,285,-3,-8.52130325809743e-05,2022-09-17 23:45:00,2022-09-23 17:30:00,8265,35,5.89732417189783e-05,1
"10","DT311",2022-09-24,267,2022-09-24 18:15:00,2022-09-24 22:30:00,255,-4,-0.000194931773882692,NA,NA,NA,NA,NA,1
"11","DT311",2022-09-25,268,2022-09-25 08:00:00,2022-09-25 22:45:00,885,-5,-4.46729029670505e-05,NA,NA,NA,NA,NA,NA
"12","DT311",2022-09-26,269,2022-09-26 10:45:00,2022-09-26 22:45:00,720,-4,-4.12698412698411e-05,NA,NA,NA,NA,NA,1
"13","DT311",2022-09-27,270,2022-09-27 14:00:00,2022-09-27 23:30:00,570,-4,-7.78227620341026e-05,2022-09-26 22:45:00,2022-09-27 14:00:00,915,2,2.37549629403311e-05,1
"14","DT311",2022-09-30,273,NA,NA,NA,NA,NA,2022-09-27 23:30:00,2022-09-30 14:45:00,3795,11,3.80688289341931e-05,NA
"15","DT311",2022-10-04,277,2022-10-02 14:45:00,2022-10-04 06:30:00,2385,-6,-2.47861244579874e-05,2022-10-04 06:30:00,2022-10-04 14:30:00,480,3,4.19637551990301e-05,NA
"16","DT311",2022-10-04,277,2022-10-04 14:30:00,2022-10-04 21:45:00,435,-3,-7.76171054260533e-05,NA,NA,NA,NA,NA,NA
"17","DT311",2022-10-05,278,2022-10-05 12:45:00,2022-10-05 22:00:00,555,-2,-1.32521185160884e-05,NA,NA,NA,NA,NA,1
"18","DT311",2022-10-07,280,2022-10-06 11:45:00,2022-10-07 22:15:00,2070,-5,-2.35786526058893e-05,NA,NA,NA,NA,NA,NA
"19","DT311",2022-10-09,282,2022-10-09 14:45:00,2022-10-09 22:45:00,480,-3,-5.90463458122266e-05,NA,NA,NA,NA,NA,1
"20","DT311",2022-10-11,284,2022-10-10 11:00:00,2022-10-11 07:00:00,1200,-3,-2.20566094549767e-05,2022-10-11 07:00:00,2022-10-11 14:00:00,420,2,4.10509031198849e-05,-1
"21","DT311",2022-10-13,286,2022-10-13 15:00:00,2022-10-13 23:15:00,495,-4,-9.74450386200933e-05,NA,NA,NA,NA,NA,1
"22","DT311",2022-10-14,287,2022-10-14 12:45:00,2022-10-14 22:15:00,570,-2,-1.25955915431062e-05,NA,NA,NA,NA,NA,1
"23","DT311",2022-10-16,289,2022-10-15 15:15:00,2022-10-16 23:00:00,1905,-8,-3.7866360454816e-05,NA,NA,NA,NA,NA,NA
"24","DT311",2022-10-27,300,NA,NA,NA,NA,NA,2022-10-16 23:00:00,2022-10-27 04:15:00,14715,30,4.0760435445766e-05,NA
"25","DT311",2022-10-28,301,NA,NA,NA,NA,NA,2022-10-28 04:45:00,2022-10-28 17:00:00,735,4,5.99706549280781e-05,NA
"26","DT311",2022-10-29,302,2022-10-28 17:00:00,2022-10-29 07:30:00,870,-2,-1.91570881227713e-05,NA,NA,NA,NA,NA,NA
"27","DT311",2022-11-03,307,NA,NA,NA,NA,NA,2022-10-29 07:30:00,2022-11-03 12:15:00,7485,17,3.4166750000344e-05,NA
"28","DT311",2022-11-06,310,NA,NA,NA,NA,NA,2022-11-03 19:45:00,2022-11-06 22:45:00,4500,24,0.000112196040180054,NA
"29","DT311",2022-11-24,328,2022-11-19 10:15:00,2022-11-24 22:15:00,7920,-7,-1.41306779677525e-05,NA,NA,NA,NA,NA,NA
"30","DT311",2023-02-02,33,2023-02-02 00:45:00,2023-02-02 09:00:00,495,-2,-1.78253119429732e-05,2023-01-30 19:45:00,2023-02-02 00:45:00,3180,4,1.40558076411593e-05,1
"31","DT311",2023-02-25,56,2023-02-25 00:30:00,2023-02-25 10:30:00,600,-2,-2.41966705383008e-05,2023-02-24 12:30:00,2023-02-25 00:30:00,720,18,0.000236054421768714,NA
