"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","HQRIP112",2023-04-16,106,2023-04-13 15:45:00,2023-04-16 02:30:00,3525,-55,-0.000285291714407175,NA,NA,NA,NA,NA,NA
"2","HQRIP112",2023-04-23,113,2023-04-21 20:00:00,2023-04-23 22:45:00,3045,-13,-8.95133494932705e-05,NA,NA,NA,NA,NA,NA
"3","HQRIP112",2023-04-26,116,2023-04-25 18:45:00,2023-04-26 01:30:00,405,-29,-0.00130344219423546,2023-04-26 01:30:00,2023-04-26 11:30:00,600,2,3.46496322105623e-05,-1
"4","HQRIP112",2023-04-27,117,2023-04-26 11:30:00,2023-04-27 01:15:00,825,-19,-0.000330504291031691,2023-04-27 01:15:00,2023-04-27 13:15:00,720,3,6.21315192743715e-05,-1
"5","HQRIP112",2023-04-28,118,2023-04-27 13:15:00,2023-04-28 01:45:00,750,-35,-0.000715099715120522,2023-04-28 01:45:00,2023-04-28 14:00:00,735,3,3.79351740696369e-05,NA
"6","HQRIP112",2023-04-29,119,2023-04-28 14:00:00,2023-04-29 02:30:00,750,-12,-0.000255706385117555,2023-04-29 02:30:00,2023-04-29 08:30:00,360,3,9.57264957265066e-05,NA
"7","HQRIP112",2023-04-29,119,2023-04-29 08:30:00,2023-04-29 21:00:00,750,-3,-2.49371543493339e-05,NA,NA,NA,NA,NA,NA
"8","HQRIP112",2023-04-30,120,2023-04-30 11:15:00,2023-04-30 21:00:00,585,-3,-4.37773608503965e-05,2023-04-29 21:00:00,2023-04-30 11:15:00,855,4,7.63549239346439e-05,1
"9","HQRIP112",2023-05-01,121,NA,NA,NA,NA,NA,2023-04-30 21:00:00,2023-05-01 07:45:00,645,3,6.37381567611818e-05,NA
"10","HQRIP112",2023-05-02,122,2023-05-02 14:00:00,2023-05-02 23:15:00,555,-3,-7.64732343669191e-05,2023-05-01 17:30:00,2023-05-02 14:00:00,1230,7,9.30318253263718e-05,1
"11","HQRIP112",2023-05-03,123,2023-05-03 06:30:00,2023-05-03 21:15:00,885,-4,-2.51613102403824e-05,2023-05-02 23:15:00,2023-05-03 06:30:00,435,3,5.95723643553086e-05,NA
"12","HQRIP112",2023-05-05,125,2023-05-05 16:00:00,2023-05-05 21:30:00,330,-2,-2.41545893722327e-05,2023-05-03 21:15:00,2023-05-05 16:00:00,2565,20,0.00015816490038407,1
"13","HQRIP112",2023-05-06,126,2023-05-06 15:30:00,2023-05-06 22:45:00,435,-3,-9.59090347275591e-05,2023-05-05 21:30:00,2023-05-06 15:30:00,1080,8,9.5403622800602e-05,1
"14","HQRIP112",2023-05-07,127,2023-05-07 14:45:00,2023-05-07 23:00:00,495,-3,-9.74450386218966e-05,2023-05-06 22:45:00,2023-05-07 14:45:00,960,7,7.01243201243284e-05,1
"15","HQRIP112",2023-05-08,128,NA,NA,NA,NA,NA,2023-05-07 23:00:00,2023-05-08 17:00:00,1080,4,5.82431746817104e-05,NA
"16","HQRIP112",2023-05-10,130,2023-05-10 11:15:00,2023-05-10 20:00:00,525,-3,-2.28800228800196e-05,2023-05-09 23:00:00,2023-05-10 11:15:00,735,5,0.000123089235690661,1
"17","HQRIP112",2023-05-11,131,2023-05-11 16:00:00,2023-05-11 22:15:00,375,-7,-0.000361633428294166,2023-05-10 20:00:00,2023-05-11 16:00:00,1200,13,0.000177130382414939,1
