"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","HQSWP122",2023-05-17,137,2023-05-17 16:45:00,2023-05-17 23:30:00,405,-4,-0.000147783251225406,NA,NA,NA,NA,NA,1
"2","HQSWP122",2023-05-18,138,2023-05-18 13:15:00,2023-05-18 21:15:00,480,-3,-8.61556743915721e-05,2023-05-17 23:30:00,2023-05-18 13:15:00,825,10,0.000184362421206897,1
"3","HQSWP122",2023-05-20,140,2023-05-20 17:15:00,2023-05-20 21:30:00,255,-2,-0.00010205251691606,2023-05-18 21:15:00,2023-05-20 17:15:00,2640,26,0.000164576636677267,1
"4","HQSWP122",2023-05-25,145,2023-05-25 16:45:00,2023-05-25 22:45:00,360,-2,-6.41025641025634e-05,2023-05-20 21:30:00,2023-05-25 16:45:00,6915,52,0.000115610888041937,1
"5","HQSWP122",2023-05-27,147,NA,NA,NA,NA,NA,2023-05-25 22:45:00,2023-05-27 10:45:00,2160,29,0.000183374446719067,NA
"6","HQSWP122",2023-06-05,156,NA,NA,NA,NA,NA,2023-05-27 20:45:00,2023-06-05 19:15:00,12870,104,0.000113882351476107,NA
"7","HQSWP122",2023-06-06,157,2023-06-05 19:15:00,2023-06-06 01:15:00,360,-3,-7.86324786324769e-05,2023-06-06 01:15:00,2023-06-06 17:15:00,960,11,0.00015748834498797,NA
"8","HQSWP122",2023-06-06,157,2023-06-06 17:15:00,2023-06-06 22:00:00,285,-3,-7.18462823718069e-05,NA,NA,NA,NA,NA,NA
"9","HQSWP122",2023-06-08,159,2023-06-08 12:15:00,2023-06-08 21:45:00,570,-2,-2.00179937022244e-05,2023-06-06 22:00:00,2023-06-08 12:15:00,2295,21,0.000157277117428848,1
"10","HQSWP122",2023-06-10,161,NA,NA,NA,NA,NA,2023-06-08 21:45:00,2023-06-10 14:15:00,2430,10,3.61552468058404e-05,NA
"11","HQSWP122",2023-06-11,162,2023-06-10 14:15:00,2023-06-11 02:30:00,735,-4,-8.40336134443208e-05,2023-06-11 02:30:00,2023-06-11 17:15:00,885,14,0.000271402550089022,NA
"12","HQSWP122",2023-06-13,164,2023-06-13 12:00:00,2023-06-13 22:15:00,615,-3,-2.50294861752719e-05,2023-06-11 21:15:00,2023-06-13 12:00:00,2325,19,0.000125730763084279,1
"13","HQSWP122",2023-06-17,168,NA,NA,NA,NA,NA,2023-06-13 22:15:00,2023-06-17 14:15:00,5280,35,0.000103474183424527,NA
"14","HQSWP122",2023-06-21,172,2023-06-21 17:15:00,2023-06-21 22:15:00,300,-6,-0.000305916305918704,2023-06-17 22:00:00,2023-06-21 17:15:00,5475,35,0.000116216610001262,1
"15","HQSWP122",2023-06-22,173,NA,NA,NA,NA,NA,2023-06-21 22:15:00,2023-06-22 17:00:00,1125,2,2.27386648437902e-05,NA
"16","HQSWP122",2023-06-23,174,2023-06-22 17:00:00,2023-06-23 00:45:00,465,-6,-0.000243361029650618,NA,NA,NA,NA,NA,NA
"17","HQSWP122",2023-06-24,175,NA,NA,NA,NA,NA,2023-06-23 00:45:00,2023-06-24 15:30:00,2325,9,5.4235835620726e-05,NA
"18","HQSWP122",2023-06-25,176,NA,NA,NA,NA,NA,2023-06-25 01:15:00,2023-06-25 12:45:00,690,4,6.20567375886148e-05,-1
"19","HQSWP122",2023-06-26,177,2023-06-25 12:45:00,2023-06-26 04:15:00,930,-2,-1.25341355180066e-05,NA,NA,NA,NA,NA,NA
"20","HQSWP122",2023-06-28,179,NA,NA,NA,NA,NA,2023-06-26 04:15:00,2023-06-28 15:45:00,3570,23,8.21115056901215e-05,NA
"21","HQSWP122",2023-06-30,181,NA,NA,NA,NA,NA,2023-06-29 02:30:00,2023-06-30 16:00:00,2250,18,0.000107524882847332,NA
"22","HQSWP122",2023-07-01,182,NA,NA,NA,NA,NA,2023-06-30 23:45:00,2023-07-01 17:15:00,1050,10,0.000153364632236391,NA
