ts,value
2023.04.06 00:45,48
2023.04.06 01:00,48
2023.04.06 01:15,48
2023.04.06 01:30,48
2023.04.06 01:45,48
2023.04.06 02:00,48
2023.04.06 02:15,48
2023.04.06 02:30,48
2023.04.06 02:45,48
2023.04.06 03:00,48
2023.04.06 03:15,48
2023.04.06 03:30,48
2023.04.06 03:45,48
2023.04.06 04:00,48
2023.04.06 04:15,48
2023.04.06 04:30,48
2023.04.06 04:45,48
2023.04.06 05:00,48
2023.04.06 05:15,48
2023.04.06 05:30,48
2023.04.06 05:45,48
2023.04.06 06:00,48
2023.04.06 06:15,48
2023.04.06 06:30,48
2023.04.06 06:45,48
2023.04.06 07:00,48
2023.04.06 07:15,48
2023.04.06 07:30,48
2023.04.06 07:45,48
2023.04.06 08:00,48
2023.04.06 08:15,48
2023.04.06 08:30,48
2023.04.06 08:45,48
2023.04.06 09:00,48
2023.04.06 09:15,48
2023.04.06 09:30,48
2023.04.06 09:45,48
2023.04.06 10:00,48
2023.04.06 10:15,48
2023.04.06 10:30,48
2023.04.06 10:45,48
2023.04.06 11:00,48
2023.04.06 11:15,48
2023.04.06 11:30,48
2023.04.06 11:45,48
2023.04.06 12:00,48
2023.04.06 12:15,48
2023.04.06 12:30,48
2023.04.06 12:45,48
2023.04.06 13:00,48
2023.04.06 13:15,48
2023.04.06 13:30,48
2023.04.06 13:45,48
2023.04.06 14:00,48
2023.04.06 14:15,48
2023.04.06 14:30,48
2023.04.06 14:45,48
2023.04.06 15:00,48
2023.04.06 15:15,48
2023.04.06 15:30,48
2023.04.06 15:45,48
2023.04.06 16:00,48
2023.04.06 16:15,48
2023.04.06 16:30,48
2023.04.06 16:45,48
2023.04.06 17:00,48
2023.04.06 17:15,48
2023.04.06 17:30,48
2023.04.06 17:45,47
2023.04.06 18:00,47
2023.04.06 18:15,47
2023.04.06 18:30,47
2023.04.06 18:45,47
2023.04.06 19:00,47
2023.04.06 19:15,47
2023.04.06 19:30,46
2023.04.06 19:45,46
2023.04.06 20:00,46
2023.04.06 20:15,46
2023.04.06 20:30,46
2023.04.06 20:45,46
2023.04.06 21:00,46
2023.04.06 21:15,46
2023.04.06 21:30,46
2023.04.06 21:45,46
2023.04.06 22:00,46
2023.04.06 22:15,46
2023.04.06 22:30,46
2023.04.06 22:45,46
2023.04.06 23:00,46
2023.04.06 23:15,46
2023.04.06 23:30,46
2023.04.06 23:45,46
2023.04.07 00:00,46
2023.04.07 00:15,46
2023.04.07 00:30,46
2023.04.07 00:45,46
2023.04.07 01:00,46
2023.04.07 01:15,46
2023.04.07 01:30,46
2023.04.07 01:45,46
2023.04.07 02:00,46
2023.04.07 02:15,46
2023.04.07 02:30,46
2023.04.07 02:45,46
2023.04.07 03:00,46
2023.04.07 03:15,46
2023.04.07 03:30,46
2023.04.07 03:45,46
2023.04.07 04:00,46
2023.04.07 04:15,46
2023.04.07 04:30,46
2023.04.07 04:45,46
2023.04.07 05:00,46
2023.04.07 05:15,46
2023.04.07 05:30,46
2023.04.07 05:45,46
2023.04.07 06:00,46
2023.04.07 06:15,46
2023.04.07 06:30,46
2023.04.07 06:45,46
2023.04.07 07:00,46
2023.04.07 07:15,46
2023.04.07 07:30,46
2023.04.07 07:45,46
2023.04.07 08:00,46
2023.04.07 08:15,46
2023.04.07 08:30,46
2023.04.07 08:45,46
2023.04.07 09:00,46
2023.04.07 09:15,46
2023.04.07 09:30,46
2023.04.07 09:45,46
2023.04.07 10:00,46
2023.04.07 10:15,46
2023.04.07 10:30,46
2023.04.07 10:45,46
2023.04.07 11:00,46
2023.04.07 11:15,46
2023.04.07 11:30,46
2023.04.07 11:45,46
2023.04.07 12:00,46
2023.04.07 12:15,46
2023.04.07 12:30,46
2023.04.07 12:45,46
2023.04.07 13:00,46
2023.04.07 13:15,46
2023.04.07 13:30,46
2023.04.07 13:45,46
2023.04.07 14:00,46
2023.04.07 14:15,46
2023.04.07 14:30,46
2023.04.07 14:45,46
2023.04.07 15:00,46
2023.04.07 15:15,46
2023.04.07 15:30,46
2023.04.07 15:45,46
2023.04.07 16:00,46
2023.04.07 16:15,46
2023.04.07 16:30,46
2023.04.07 16:45,46
2023.04.07 17:00,46
2023.04.07 17:15,46
2023.04.07 17:30,46
2023.04.07 17:45,46
2023.04.07 18:00,46
2023.04.07 18:15,46
2023.04.07 18:30,46
2023.04.07 18:45,46
2023.04.07 19:00,46
2023.04.07 19:15,46
2023.04.07 19:30,46
2023.04.07 19:45,46
2023.04.07 20:00,46
2023.04.07 20:15,46
