"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","PC09_3936",2022-11-26,330,2022-11-25 01:45:00,2022-11-26 00:30:00,1365,-11,-7.66893228324264e-05,NA,NA,NA,NA,NA,NA
"2","PC09_3936",2022-11-29,333,NA,NA,NA,NA,NA,2022-11-28 05:15:00,2022-11-29 21:15:00,2400,14,0.000118028397617821,NA
"3","PC09_3936",2022-12-01,335,2022-11-29 21:15:00,2022-12-01 12:30:00,2355,-5,-3.43698547267238e-05,NA,NA,NA,NA,NA,NA
"4","PC09_3936",2022-12-02,336,NA,NA,NA,NA,NA,2022-12-01 12:30:00,2022-12-02 02:15:00,825,3,5.44163438901583e-05,NA
"5","PC09_3936",2022-12-15,349,2022-12-13 05:30:00,2022-12-15 19:00:00,3690,-8,-1.42411800244375e-05,NA,NA,NA,NA,NA,NA
"6","PC09_3936",2022-12-16,350,2022-12-16 02:45:00,2022-12-16 18:30:00,945,-18,-0.000270706145706146,2022-12-15 19:00:00,2022-12-16 02:45:00,465,3,6.74079504716509e-05,NA
"7","PC09_3936",2022-12-16,350,NA,NA,NA,NA,NA,2022-12-16 18:30:00,2022-12-16 23:00:00,270,2,4.8732943470311e-05,NA
"8","PC09_3936",2022-12-18,352,2022-12-16 23:00:00,2022-12-18 19:45:00,2685,-30,-0.00015680525119091,NA,NA,NA,NA,NA,NA
"9","PC09_3936",2022-12-20,354,2022-12-20 03:45:00,2022-12-20 23:15:00,1170,-3,-2.03667640376749e-05,2022-12-18 19:45:00,2022-12-20 03:45:00,1920,16,0.000109769429536243,NA
"10","PC09_3936",2022-12-23,357,2022-12-22 13:45:00,2022-12-23 02:15:00,750,-16,-0.000372549019599698,2022-12-23 02:15:00,2022-12-23 17:15:00,900,20,0.0003952641165747,NA
"11","PC09_3936",2022-12-30,364,2022-12-26 18:00:00,2022-12-30 06:15:00,5055,-6,-1.32314245348631e-05,NA,NA,NA,NA,NA,NA
"12","PC09_3936",2023-01-04,4,2023-01-02 07:45:00,2023-01-04 05:30:00,2745,-9,-4.98160312843035e-05,NA,NA,NA,NA,NA,NA
"13","PC09_3936",2023-01-05,5,2023-01-04 11:45:00,2023-01-05 05:45:00,1080,-3,-2.48536207440221e-05,NA,NA,NA,NA,NA,NA
"14","PC09_3936",2023-01-06,6,2023-01-05 21:00:00,2023-01-06 04:45:00,465,-4,-7.73867709350184e-05,NA,NA,NA,NA,NA,NA
"15","PC09_3936",2023-01-09,9,2023-01-06 19:00:00,2023-01-09 19:30:00,4350,-21,-7.56560240804121e-05,NA,NA,NA,NA,NA,NA
"16","PC09_3936",2023-01-12,12,2023-01-10 21:15:00,2023-01-12 05:30:00,1935,-4,-1.89997587476843e-05,NA,NA,NA,NA,NA,NA
"17","PC09_3936",2023-01-12,12,2023-01-12 19:00:00,2023-01-12 23:15:00,255,-2,-5.61862171764806e-05,NA,NA,NA,NA,NA,NA
"18","PC09_3936",2023-01-24,24,NA,NA,NA,NA,NA,2023-01-18 09:15:00,2023-01-24 05:30:00,8415,35,7.82206878172019e-05,NA
"19","PC09_3936",2023-01-27,27,2023-01-24 05:30:00,2023-01-27 06:45:00,4395,-13,-3.25582499635459e-05,NA,NA,NA,NA,NA,NA
"20","PC09_3936",2023-01-28,28,2023-01-27 16:30:00,2023-01-28 14:00:00,1290,-4,-2.25389419455098e-05,NA,NA,NA,NA,NA,NA
"21","PC09_3936",2023-01-31,31,2023-01-29 08:45:00,2023-01-31 20:45:00,3600,-16,-7.39400797869431e-05,NA,NA,NA,NA,NA,NA
"22","PC09_3936",2023-02-01,32,2023-02-01 15:00:00,2023-02-01 23:45:00,525,-5,-0.000110825110825106,2023-01-31 20:45:00,2023-02-01 15:00:00,1095,27,0.000499732609321094,1
"23","PC09_3936",2023-02-05,36,2023-02-02 14:45:00,2023-02-05 04:30:00,3705,-14,-6.73347694027971e-05,NA,NA,NA,NA,NA,NA
"24","PC09_3936",2023-02-12,43,2023-02-12 16:30:00,2023-02-12 23:15:00,405,-4,-0.000176670923798144,NA,NA,NA,NA,NA,NA
"25","PC09_3936",2023-02-14,45,2023-02-14 07:00:00,2023-02-14 12:00:00,300,-2,-4.1847041846877e-05,2023-02-12 23:15:00,2023-02-14 07:00:00,1905,11,5.39812610625701e-05,1
"26","PC09_3936",2023-02-15,46,NA,NA,NA,NA,NA,2023-02-14 12:00:00,2023-02-15 07:15:00,1155,3,3.21619308961017e-05,NA
"27","PC09_3936",2023-02-16,47,NA,NA,NA,NA,NA,2023-02-15 21:00:00,2023-02-16 06:00:00,540,10,0.00030530530530362,NA
"28","PC09_3936",2023-02-17,48,NA,NA,NA,NA,NA,2023-02-17 00:30:00,2023-02-17 09:15:00,525,5,0.000114972114972117,-1
"29","PC09_3936",2023-02-21,52,2023-02-17 09:15:00,2023-02-21 11:15:00,5880,-16,-3.7336501100484e-05,NA,NA,NA,NA,NA,NA
"30","PC09_3936",2023-02-22,53,NA,NA,NA,NA,NA,2023-02-21 11:15:00,2023-02-22 05:45:00,1110,15,0.000196870554764399,NA
"31","PC09_3936",2023-02-24,55,2023-02-23 11:45:00,2023-02-24 20:30:00,1965,-26,-0.000220151929674036,NA,NA,NA,NA,NA,NA
"32","PC09_3936",2023-02-25,56,2023-02-25 04:30:00,2023-02-25 23:45:00,1155,-2,-1.14934292148779e-05,NA,NA,NA,NA,NA,NA
"33","PC09_3936",2023-02-26,57,NA,NA,NA,NA,NA,2023-02-25 23:45:00,2023-02-26 16:00:00,975,11,0.000164422642033658,NA
"34","PC09_3936",2023-02-27,58,2023-02-26 16:00:00,2023-02-27 21:30:00,1770,-25,-0.000240840969156314,NA,NA,NA,NA,NA,NA
"35","PC09_3936",2023-02-28,59,2023-02-28 01:30:00,2023-02-28 09:45:00,495,-2,-3.64994482638971e-05,2023-02-28 09:45:00,2023-02-28 19:30:00,585,3,8.3176985617518e-05,NA
"36","PC09_3936",2023-03-01,60,2023-03-01 08:00:00,2023-03-01 22:15:00,855,-8,-0.000140713170027253,NA,NA,NA,NA,NA,NA
"37","PC09_3936",2023-03-03,62,2023-03-03 02:30:00,2023-03-03 21:15:00,1125,-2,-1.04199893673573e-05,2023-03-01 22:15:00,2023-03-03 02:30:00,1695,9,3.24011259390856e-05,NA
"38","PC09_3936",2023-03-04,63,2023-03-04 01:00:00,2023-03-04 21:45:00,1245,-10,-0.000101414059599884,NA,NA,NA,NA,NA,NA
"39","PC09_3936",2023-03-06,65,2023-03-05 16:15:00,2023-03-06 05:15:00,780,-3,-4.78417459551204e-05,2023-03-06 05:15:00,2023-03-06 11:15:00,360,2,7.69230769230621e-05,NA
"40","PC09_3936",2023-03-06,65,2023-03-06 11:15:00,2023-03-06 21:30:00,615,-4,-9.34554196043442e-05,NA,NA,NA,NA,NA,NA
"41","PC09_3936",2023-03-07,66,2023-03-07 00:15:00,2023-03-07 20:30:00,1215,-4,-3.71132225377428e-05,NA,NA,NA,NA,NA,NA
"42","PC09_3936",2023-03-09,68,2023-03-07 23:15:00,2023-03-09 20:15:00,2700,-17,-0.000111093122143056,NA,NA,NA,NA,NA,NA
"43","PC09_3936",2023-03-10,69,2023-03-10 05:45:00,2023-03-10 15:30:00,585,-3,-3.42922659995807e-05,2023-03-09 20:15:00,2023-03-10 05:45:00,570,10,0.000228744939270076,1
"44","PC09_3936",2023-03-11,70,2023-03-11 00:45:00,2023-03-11 07:15:00,390,-2,-3.25600325600235e-05,2023-03-10 15:30:00,2023-03-11 00:45:00,555,5,0.000105652210913526,NA
"45","PC09_3936",2023-03-11,70,NA,NA,NA,NA,NA,2023-03-11 07:15:00,2023-03-11 19:15:00,720,8,0.000121315192743762,NA
"46","PC09_3936",2023-03-13,72,2023-03-11 19:15:00,2023-03-13 07:30:00,2175,-6,-2.41003345126047e-05,NA,NA,NA,NA,NA,NA
"47","PC09_3936",2023-03-14,73,NA,NA,NA,NA,NA,2023-03-13 07:30:00,2023-03-14 13:45:00,1815,8,4.81643889735985e-05,NA
"48","PC09_3936",2023-03-15,74,2023-03-14 13:45:00,2023-03-15 19:30:00,1785,-4,-3.18000478428448e-05,NA,NA,NA,NA,NA,NA
"49","PC09_3936",2023-03-17,76,2023-03-16 15:30:00,2023-03-17 21:30:00,1800,-11,-8.78833039786793e-05,NA,NA,NA,NA,NA,NA
"50","PC09_3936",2023-03-20,79,2023-03-18 17:30:00,2023-03-20 22:45:00,3195,-6,-2.16704608340456e-05,NA,NA,NA,NA,NA,NA
"51","PC09_3936",2023-03-21,80,NA,NA,NA,NA,NA,2023-03-20 22:45:00,2023-03-21 16:30:00,1065,4,1.68285205912471e-05,NA
"52","PC09_3936",2023-03-24,83,2023-03-21 16:30:00,2023-03-24 00:15:00,3345,-9,-3.41008849977697e-05,NA,NA,NA,NA,NA,NA
"53","PC09_3936",2023-03-25,84,NA,NA,NA,NA,NA,2023-03-24 00:15:00,2023-03-25 04:45:00,1710,30,0.00028931148460867,NA
"54","PC09_3936",2023-03-29,88,2023-03-25 04:45:00,2023-03-29 02:30:00,5625,-14,-2.8529952154302e-05,2023-03-29 02:30:00,2023-03-29 13:15:00,645,2,2.75624461671177e-05,NA
"55","PC09_3936",2023-03-29,88,2023-03-29 13:15:00,2023-03-29 21:45:00,510,-4,-5.35325241209757e-05,NA,NA,NA,NA,NA,NA
"56","PC09_3936",2023-04-01,91,2023-03-31 06:45:00,2023-04-01 19:45:00,2220,-7,-2.66602172642469e-05,NA,NA,NA,NA,NA,NA
"57","PC09_3936",2023-04-02,92,NA,NA,NA,NA,NA,2023-04-01 19:45:00,2023-04-02 23:15:00,1650,9,6.86108186108324e-05,NA
"58","PC09_3936",2023-04-03,93,2023-04-02 23:15:00,2023-04-03 05:00:00,345,-2,-3.38164251203727e-05,2023-04-03 05:00:00,2023-04-03 14:15:00,555,9,0.000234647603084083,-1
"59","PC09_3936",2023-04-04,94,2023-04-03 14:15:00,2023-04-04 21:45:00,1890,-4,-1.55839895012654e-05,NA,NA,NA,NA,NA,NA
"60","PC09_3936",2023-04-05,95,NA,NA,NA,NA,NA,2023-04-04 21:45:00,2023-04-05 15:00:00,1035,4,2.1073299701541e-05,NA
"61","PC09_3936",2023-04-06,96,2023-04-05 15:00:00,2023-04-06 19:00:00,1680,-6,-2.755783263467e-05,NA,NA,NA,NA,NA,NA
"62","PC09_3936",2023-04-08,98,2023-04-07 15:15:00,2023-04-08 19:30:00,1695,-5,-1.94496758762123e-05,NA,NA,NA,NA,NA,NA
"63","PC09_3936",2023-04-09,99,NA,NA,NA,NA,NA,2023-04-08 19:30:00,2023-04-09 14:30:00,1140,4,3.9288197182947e-05,NA
"64","PC09_3936",2023-04-10,100,2023-04-09 14:30:00,2023-04-10 22:00:00,1890,-5,-1.96720201641669e-05,NA,NA,NA,NA,NA,NA
"65","PC09_3936",2023-04-11,101,2023-04-11 04:00:00,2023-04-11 22:30:00,1110,-4,-3.0440967282807e-05,2023-04-10 22:00:00,2023-04-11 04:00:00,360,2,1.79487179487086e-05,NA
"66","PC09_3936",2023-04-12,102,NA,NA,NA,NA,NA,2023-04-11 22:30:00,2023-04-12 16:00:00,1050,4,1.84812579178746e-05,NA
"67","PC09_3936",2023-04-13,103,NA,NA,NA,NA,NA,2023-04-12 19:30:00,2023-04-13 12:45:00,1035,11,0.000118702553484505,NA
"68","PC09_3936",2023-04-14,104,2023-04-13 12:45:00,2023-04-14 22:45:00,2040,-11,-7.38379557897441e-05,NA,NA,NA,NA,NA,NA
"69","PC09_3936",2023-04-15,105,2023-04-15 16:30:00,2023-04-15 21:30:00,300,-4,-0.000199134199135585,2023-04-14 22:45:00,2023-04-15 16:30:00,1065,3,1.06652089092247e-05,1
"70","PC09_3936",2023-04-16,106,2023-04-16 00:15:00,2023-04-16 21:15:00,1260,-3,-1.95209866890624e-05,NA,NA,NA,NA,NA,NA
"71","PC09_3936",2023-04-18,108,NA,NA,NA,NA,NA,2023-04-16 21:15:00,2023-04-18 17:15:00,2640,12,4.32649673270754e-05,NA
"72","PC09_3936",2023-04-20,110,2023-04-18 17:15:00,2023-04-20 19:15:00,3000,-13,-5.19202666535438e-05,2023-04-20 19:15:00,2023-04-20 23:45:00,270,3,9.55165692000176e-05,-1
"73","PC09_3936",2023-04-21,111,2023-04-20 23:45:00,2023-04-21 16:45:00,1020,-5,-5.02171883246433e-05,NA,NA,NA,NA,NA,NA
"74","PC09_3936",2023-04-23,113,2023-04-21 20:45:00,2023-04-23 00:45:00,1680,-7,-2.28262396403657e-05,NA,NA,NA,NA,NA,NA
"75","PC09_3936",2023-04-23,113,2023-04-23 15:45:00,2023-04-23 22:00:00,375,-4,-0.000138271604939539,NA,NA,NA,NA,NA,NA
"76","PC09_3936",2023-04-24,114,2023-04-24 09:30:00,2023-04-24 18:00:00,510,-2,-4.04606286957641e-05,NA,NA,NA,NA,NA,1
"77","PC09_3936",2023-04-26,116,2023-04-25 20:00:00,2023-04-26 01:30:00,330,-3,-7.68555116375476e-05,NA,NA,NA,NA,NA,NA
"78","PC09_3936",2023-04-28,118,2023-04-28 16:30:00,2023-04-28 21:15:00,285,-4,-0.000209690893905726,NA,NA,NA,NA,NA,1
"79","PC09_3936",2023-04-30,120,2023-04-29 18:30:00,2023-04-30 08:15:00,825,-4,-3.74420900736073e-05,NA,NA,NA,NA,NA,NA
"80","PC09_3936",2023-05-01,121,NA,NA,NA,NA,NA,2023-04-30 22:00:00,2023-05-01 10:15:00,735,2,3.25463518751994e-05,NA
"81","PC09_3936",2023-05-02,122,NA,NA,NA,NA,NA,2023-05-02 05:45:00,2023-05-02 10:30:00,285,2,8.93901420240024e-05,-1
"82","PC09_3936",2023-05-03,123,NA,NA,NA,NA,NA,2023-05-02 22:00:00,2023-05-03 21:30:00,1410,4,2.31740699265571e-05,NA
"83","PC09_3936",2023-05-05,125,NA,NA,NA,NA,NA,2023-05-04 23:30:00,2023-05-05 09:30:00,600,7,0.000142663569493237,NA
"84","PC09_3936",2023-05-06,126,2023-05-06 10:45:00,2023-05-06 17:15:00,390,-2,-4.40917107583846e-05,2023-05-06 02:30:00,2023-05-06 10:45:00,495,4,5.56828792135042e-05,NA
"85","PC09_3936",2023-05-07,127,NA,NA,NA,NA,NA,2023-05-06 17:15:00,2023-05-07 12:30:00,1155,5,6.07549974636985e-05,NA
"86","PC09_3936",2023-05-13,133,2023-05-13 13:30:00,2023-05-13 21:15:00,465,-4,-8.4107201044532e-05,2023-05-12 18:00:00,2023-05-13 13:30:00,1170,6,5.36622308774114e-05,1
"87","PC09_3936",2023-05-14,134,NA,NA,NA,NA,NA,2023-05-13 21:15:00,2023-05-14 18:45:00,1290,2,1.60182417599531e-05,NA
"88","PC09_3936",2023-05-16,136,2023-05-16 08:30:00,2023-05-16 20:30:00,720,-5,-7.82312925170076e-05,NA,NA,NA,NA,NA,1
"89","PC09_3936",2023-05-17,137,NA,NA,NA,NA,NA,2023-05-16 20:30:00,2023-05-17 08:15:00,705,2,1.70671105320551e-05,NA
"90","PC09_3936",2023-05-18,138,2023-05-17 08:15:00,2023-05-18 21:15:00,2220,-6,-3.40528447910835e-05,NA,NA,NA,NA,NA,NA
"91","PC09_3936",2023-05-19,139,2023-05-19 17:30:00,2023-05-19 22:00:00,270,-5,-0.000303118908378952,NA,NA,NA,NA,NA,1
"92","PC09_3936",2023-05-21,141,2023-05-20 09:45:00,2023-05-21 03:15:00,1050,-4,-6.12191668528232e-05,2023-05-21 03:15:00,2023-05-21 16:30:00,795,3,2.48184147555916e-05,NA
"93","PC09_3936",2023-05-22,142,2023-05-22 09:45:00,2023-05-22 22:00:00,735,-4,-7.50700280127314e-05,NA,NA,NA,NA,NA,NA
"94","PC09_3936",2023-05-26,146,2023-05-25 22:30:00,2023-05-26 04:45:00,375,-2,-4.93827160493588e-05,NA,NA,NA,NA,NA,NA
"95","PC09_3936",2023-05-26,146,2023-05-26 08:30:00,2023-05-26 19:15:00,645,-3,-4.30663221362405e-05,NA,NA,NA,NA,NA,NA
"96","PC09_3936",2023-05-27,147,NA,NA,NA,NA,NA,2023-05-26 19:15:00,2023-05-27 10:15:00,900,5,3.60185674834513e-05,NA
"97","PC09_3936",2023-05-29,149,NA,NA,NA,NA,NA,2023-05-28 03:00:00,2023-05-29 11:45:00,1965,7,2.11812204580552e-05,NA
"98","PC09_3936",2023-05-30,150,NA,NA,NA,NA,NA,2023-05-30 07:15:00,2023-05-30 12:15:00,300,4,0.000207792207798306,-1
"99","PC09_3936",2023-05-31,151,NA,NA,NA,NA,NA,2023-05-31 05:00:00,2023-05-31 09:45:00,285,5,0.000142021720969037,-1
"100","PC09_3936",2023-06-01,152,2023-06-01 11:15:00,2023-06-01 19:30:00,495,-2,-2.39368474663325e-05,2023-06-01 02:00:00,2023-06-01 11:15:00,555,7,0.000158295947769823,NA
"101","PC09_3936",2023-06-02,153,NA,NA,NA,NA,NA,2023-06-01 19:30:00,2023-06-02 09:15:00,825,3,3.37016784385942e-05,NA
"102","PC09_3936",2023-06-05,156,2023-06-05 07:00:00,2023-06-05 13:00:00,360,-3,-6.6239316239325e-05,2023-06-03 06:45:00,2023-06-05 07:00:00,2895,6,2.43535642820085e-05,1
"103","PC09_3936",2023-06-06,157,NA,NA,NA,NA,NA,2023-06-05 13:00:00,2023-06-06 11:00:00,1320,3,1.17845117845112e-05,NA
"104","PC09_3936",2023-06-09,160,2023-06-09 03:45:00,2023-06-09 16:15:00,750,-4,-2.29093346739769e-05,2023-06-08 03:00:00,2023-06-09 03:45:00,1485,11,0.000115259303708153,NA
"105","PC09_3936",2023-06-10,161,NA,NA,NA,NA,NA,2023-06-09 16:15:00,2023-06-10 14:45:00,1350,10,7.23900361581618e-05,NA
"106","PC09_3936",2023-06-11,162,2023-06-10 14:45:00,2023-06-11 02:15:00,690,-3,-5.75598725463541e-05,NA,NA,NA,NA,NA,NA
"107","PC09_3936",2023-06-15,166,NA,NA,NA,NA,NA,2023-06-11 02:15:00,2023-06-15 19:30:00,6795,43,0.000107222317029813,NA
"108","PC09_3936",2023-06-16,167,2023-06-15 19:30:00,2023-06-16 01:00:00,330,-2,-2.41545893714819e-05,NA,NA,NA,NA,NA,NA
"109","PC09_3936",2023-06-17,168,NA,NA,NA,NA,NA,2023-06-16 01:00:00,2023-06-17 18:30:00,2490,23,0.000139714833099195,NA
"110","PC09_3936",2023-06-18,169,2023-06-17 18:30:00,2023-06-18 01:30:00,420,-3,-5.19978106185143e-05,NA,NA,NA,NA,NA,NA
"111","PC09_3936",2023-06-28,179,NA,NA,NA,NA,NA,2023-06-18 01:30:00,2023-06-28 13:00:00,15090,146,0.00013956721151734,NA
"112","PC09_3936",2023-07-03,184,2023-07-03 15:00:00,2023-07-03 19:30:00,270,-2,-3.70370370380979e-05,2023-06-28 23:15:00,2023-07-03 15:00:00,6705,92,0.000211632747796299,1
"113","PC09_3936",2023-07-04,185,2023-07-04 12:30:00,2023-07-04 20:15:00,465,-2,-3.42130987291514e-05,2023-07-03 19:30:00,2023-07-04 12:30:00,1020,10,0.000145786817141584,1
"114","PC09_3936",2023-07-07,188,NA,NA,NA,NA,NA,2023-07-04 20:15:00,2023-07-07 15:00:00,4005,51,0.00018920407084222,NA
"115","PC09_3936",2023-07-08,189,2023-07-07 15:00:00,2023-07-08 00:15:00,555,-2,-1.32521185151572e-05,2023-07-08 00:15:00,2023-07-08 14:15:00,840,20,0.000486921326304351,NA
"116","PC09_3936",2023-07-09,190,2023-07-08 14:15:00,2023-07-09,585,-2,-1.90744215135305e-05,NA,NA,NA,NA,NA,NA
"117","PC09_3936",2023-07-11,192,NA,NA,NA,NA,NA,2023-07-09,2023-07-11 15:00:00,3780,37,0.000147198332751171,NA
"118","PC09_3936",2023-07-16,197,NA,NA,NA,NA,NA,2023-07-11 23:00:00,2023-07-16 14:45:00,6705,65,0.000139105463937059,NA
"119","PC09_3936",2023-07-19,200,2023-07-19 14:15:00,2023-07-19 19:00:00,285,-2,-4.26065162906975e-05,2023-07-17 03:00:00,2023-07-19 14:15:00,3555,49,0.000170661488824535,1
"120","PC09_3936",2023-07-20,201,2023-07-20 14:45:00,2023-07-20 20:00:00,315,-1,-1.31752305657154e-05,2023-07-19 19:00:00,2023-07-20 14:45:00,1185,18,0.000267880397978126,1
"121","PC09_3936",2023-07-21,202,2023-07-21 14:30:00,2023-07-21 21:00:00,390,-2,-3.93433726765734e-05,2023-07-20 20:00:00,2023-07-21 14:30:00,1110,14,0.000194499762919677,1
