"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","RS20LWS_base_",2023-12-06,340,NA,NA,NA,NA,NA,2023-12-04 08:00:00,2023-12-06 09:00:00,2940,3,1.08111746980191e-05,NA
"2","RS20LWS_base_",2023-12-18,352,2023-12-12 08:00:00,2023-12-18 21:00:00,9420,-19,-3.55626193018398e-05,NA,NA,NA,NA,NA,NA
"3","RS20LWS_base_",2024-01-16,16,2024-01-15 08:00:00,2024-01-16 22:30:00,2310,-4,-2.0395375234197e-05,NA,NA,NA,NA,NA,NA
"4","RS20LWS_base_",2024-01-18,18,NA,NA,NA,NA,NA,2024-01-16 22:30:00,2024-01-18 02:30:00,1680,2,1.30211221268462e-05,NA
"5","RS20LWS_base_",2024-01-26,26,2024-01-24 04:45:00,2024-01-26 05:45:00,2940,-3,-1.57729091738777e-05,NA,NA,NA,NA,NA,NA
"6","RS20LWS_base_",2024-01-29,29,NA,NA,NA,NA,NA,2024-01-26 05:45:00,2024-01-29 04:00:00,4215,6,2.24167568393631e-05,NA
"7","RS20LWS_base_",2024-02-01,32,2024-01-29 04:00:00,2024-02-01 21:00:00,5340,-11,-3.30231898169765e-05,NA,NA,NA,NA,NA,NA
"8","RS20LWS_base_",2024-03-03,63,NA,NA,NA,NA,NA,2024-03-02 13:15:00,2024-03-03 02:45:00,810,3,1.98011864676694e-05,NA
"9","RS20LWS_base_",2024-03-06,66,2024-03-06 15:45:00,2024-03-06 23:30:00,465,-2,-2.91218637991072e-05,2024-03-05 22:45:00,2024-03-06 15:45:00,1020,2,1.76186416595762e-05,1
"10","RS20LWS_base_",2024-03-18,78,2024-03-14 20:00:00,2024-03-18 02:15:00,4695,-16,-5.92266137533773e-05,NA,NA,NA,NA,NA,NA
"11","RS20LWS_base_",2024-03-19,79,2024-03-18 18:30:00,2024-03-19 12:30:00,1080,-3,-2.76989318085196e-05,NA,NA,NA,NA,NA,NA
"12","RS20LWS_base_",2024-03-26,86,NA,NA,NA,NA,NA,2024-03-22 12:15:00,2024-03-26 22:45:00,6390,7,1.10738824791029e-05,NA
"13","RS20LWS_base_",2024-03-27,87,2024-03-26 22:45:00,2024-03-27 05:00:00,375,-2,-4.21652421644077e-05,2024-03-27 05:00:00,2024-03-27 20:45:00,945,3,1.04039479039486e-05,NA
"14","RS20LWS_base_",2024-03-29,89,2024-03-29 13:45:00,2024-03-29 21:15:00,450,-2,-1.34408602151137e-05,2024-03-28 05:30:00,2024-03-29 13:45:00,1935,5,2.89381407791032e-05,1
"15","RS20LWS_base_",2024-03-31,91,2024-03-30 18:15:00,2024-03-31 12:45:00,1110,-7,-8.54433380746412e-05,NA,NA,NA,NA,NA,NA
"16","RS20LWS_base_",2024-04-02,93,2024-04-01 22:30:00,2024-04-02 14:15:00,945,-2,-2.67348392348392e-05,2024-04-02 14:15:00,2024-04-02 22:00:00,465,2,3.4009449332282e-05,-1
