"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","RS20TSHE_5523",2023-06-16,167,2023-06-16 13:45:00,2023-06-16 22:15:00,510,-6,-0.00018767507002705,NA,NA,NA,NA,NA,1
"2","RS20TSHE_5523",2023-06-17,168,2023-06-17 13:45:00,2023-06-17 21:30:00,465,-2,-5.11159986924998e-05,2023-06-16 22:15:00,2023-06-17 13:45:00,930,19,0.000272506329292133,1
"3","RS20TSHE_5523",2023-06-21,172,2023-06-21 12:00:00,2023-06-21 22:00:00,600,-3,-6.19434765770672e-05,2023-06-17 21:30:00,2023-06-21 12:00:00,5190,48,0.000161507922907404,1
"4","RS20TSHE_5523",2023-06-22,173,NA,NA,NA,NA,NA,2023-06-21 22:00:00,2023-06-22 09:45:00,705,2,1.26646403242037e-05,NA
"5","RS20TSHE_5523",2023-06-23,174,2023-06-22 09:45:00,2023-06-23 00:15:00,870,-3,-3.93532047540709e-05,2023-06-23 00:15:00,2023-06-23 12:15:00,720,4,8.34467120181392e-05,NA
"6","RS20TSHE_5523",2023-06-23,174,2023-06-23 12:15:00,2023-06-23 19:45:00,450,-2,-5.19713261655897e-05,NA,NA,NA,NA,NA,NA
"7","RS20TSHE_5523",2023-06-24,175,2023-06-24 13:00:00,2023-06-24 23:45:00,645,-3,-4.65116279070048e-05,2023-06-23 19:45:00,2023-06-24 13:00:00,1035,5,7.14431516635189e-05,1
"8","RS20TSHE_5523",2023-06-25,176,NA,NA,NA,NA,NA,2023-06-24 23:45:00,2023-06-25 13:15:00,810,7,0.000142055475388586,NA
"9","RS20TSHE_5523",2023-06-26,177,2023-06-25 13:15:00,2023-06-26 00:45:00,690,-3,-6.34700380302692e-05,2023-06-26 00:45:00,2023-06-26 12:15:00,690,8,0.000206855791962041,NA
"10","RS20TSHE_5523",2023-06-26,177,2023-06-26 12:15:00,2023-06-26 23:15:00,660,-2,-3.57195139804053e-05,NA,NA,NA,NA,NA,NA
"11","RS20TSHE_5523",2023-06-27,178,2023-06-27 13:15:00,2023-06-27 23:15:00,600,-2,-1.81958962446106e-05,2023-06-26 23:15:00,2023-06-27 13:15:00,840,14,0.000272520381411988,1
"12","RS20TSHE_5523",2023-06-28,179,2023-06-28 13:30:00,2023-06-28 22:00:00,510,-3,-9.08807967634467e-05,2023-06-27 23:15:00,2023-06-28 13:30:00,855,12,0.000213069201347765,1
"13","RS20TSHE_5523",2023-06-29,180,2023-06-29 13:15:00,2023-06-29 21:30:00,495,-3,-8.980561921471e-05,2023-06-28 22:00:00,2023-06-29 13:15:00,915,12,0.000160618804193566,1
"14","RS20TSHE_5523",2023-06-30,181,2023-06-30 12:45:00,2023-06-30 20:00:00,435,-2,-5.66061055495792e-05,2023-06-29 21:30:00,2023-06-30 12:45:00,915,8,0.000163626646968719,1
