"","ts","value","yr"
"1",2022-11-21,1070,"2022"
"2",2022-11-21 00:15:00,1070,"2022"
"3",2022-11-21 00:30:00,1070,"2022"
"4",2022-11-21 00:45:00,1070,"2022"
"5",2022-11-21 01:00:00,1070,"2022"
"6",2022-11-21 01:15:00,1070,"2022"
"7",2022-11-21 01:30:00,1070,"2022"
"8",2022-11-21 01:45:00,1070,"2022"
"9",2022-11-21 02:00:00,1070,"2022"
"10",2022-11-21 02:15:00,1070,"2022"
"11",2022-11-21 02:30:00,1070,"2022"
"12",2022-11-21 02:45:00,1070,"2022"
"13",2022-11-21 03:00:00,1070,"2022"
"14",2022-11-21 03:15:00,1070,"2022"
"15",2022-11-21 03:30:00,1070,"2022"
"16",2022-11-21 03:45:00,1070,"2022"
"17",2022-11-21 04:00:00,1070,"2022"
"18",2022-11-21 04:15:00,1070,"2022"
"19",2022-11-21 04:30:00,1070,"2022"
"20",2022-11-21 04:45:00,1070,"2022"
"21",2022-11-21 05:00:00,1069,"2022"
"22",2022-11-21 05:15:00,1069,"2022"
"23",2022-11-21 05:30:00,1069,"2022"
"24",2022-11-21 05:45:00,1069,"2022"
"25",2022-11-21 06:00:00,1069,"2022"
"26",2022-11-21 06:15:00,1069,"2022"
"27",2022-11-21 06:30:00,1069,"2022"
"28",2022-11-21 06:45:00,1069,"2022"
"29",2022-11-21 07:00:00,1069,"2022"
"30",2022-11-21 07:15:00,1069,"2022"
"31",2022-11-21 07:30:00,1069,"2022"
"32",2022-11-21 07:45:00,1069,"2022"
"33",2022-11-21 08:00:00,1069,"2022"
"34",2022-11-21 08:15:00,1069,"2022"
"35",2022-11-21 08:30:00,1069,"2022"
"36",2022-11-21 08:45:00,1069,"2022"
"37",2022-11-21 09:00:00,1069,"2022"
"38",2022-11-21 09:15:00,1069,"2022"
"39",2022-11-21 09:30:00,1069,"2022"
"40",2022-11-21 09:45:00,1069,"2022"
"41",2022-11-21 10:00:00,1069,"2022"
"42",2022-11-21 10:15:00,1069,"2022"
"43",2022-11-21 10:30:00,1069,"2022"
"44",2022-11-21 10:45:00,1069,"2022"
"45",2022-11-21 11:00:00,1069,"2022"
"46",2022-11-21 11:15:00,1069,"2022"
"47",2022-11-21 11:30:00,1069,"2022"
"48",2022-11-21 11:45:00,1069,"2022"
"49",2022-11-21 12:00:00,1069,"2022"
"50",2022-11-21 12:15:00,1069,"2022"
"51",2022-11-21 12:30:00,1069,"2022"
"52",2022-11-21 12:45:00,1069,"2022"
