datetime,value
2022.09.01 00:00,38
2022.09.01 00:15,37
2022.09.01 00:30,37
2022.09.01 00:45,37
2022.09.01 01:00,37
2022.09.01 01:15,38
2022.09.01 01:30,37
2022.09.01 01:45,37
2022.09.01 02:00,39
2022.09.01 02:15,40
2022.09.01 02:30,41
2022.09.01 02:45,43
2022.09.01 03:00,47
2022.09.01 03:15,52
2022.09.01 03:30,54
2022.09.01 03:45,58
2022.09.01 04:00,60
2022.09.01 04:15,65
2022.09.01 04:30,68
2022.09.01 04:45,72
2022.09.01 05:00,76
2022.09.01 05:15,82
2022.09.01 05:30,85
2022.09.01 05:45,88
2022.09.01 06:00,90
2022.09.01 06:15,92
2022.09.01 06:30,94
2022.09.01 06:45,97
2022.09.01 07:00,98
2022.09.01 07:15,104
2022.09.01 07:30,105
2022.09.01 07:45,106
2022.09.01 08:00,109
2022.09.01 08:15,109
2022.09.01 08:30,109
2022.09.01 08:45,115
2022.09.01 09:00,114
2022.09.01 09:15,115
2022.09.01 09:30,115
2022.09.01 09:45,118
2022.09.01 10:00,124
2022.09.01 10:15,124
2022.09.01 10:30,124
2022.09.01 10:45,124
2022.09.01 11:00,126
2022.09.01 11:15,129
2022.09.01 11:30,131
2022.09.01 11:45,130
2022.09.01 12:00,131
2022.09.01 12:15,131
2022.09.01 12:30,132
2022.09.01 12:45,135
2022.09.01 13:00,135
2022.09.01 13:15,135
2022.09.01 13:30,136
2022.09.01 13:45,136
2022.09.01 14:00,137
2022.09.01 14:15,137
2022.09.01 14:30,137
2022.09.01 14:45,137
2022.09.01 15:00,142
2022.09.01 15:15,141
2022.09.01 15:30,141
2022.09.01 15:45,141
2022.09.01 16:00,141
2022.09.01 16:15,140
2022.09.01 16:30,140
2022.09.01 16:45,140
2022.09.01 17:00,141
2022.09.01 17:15,141
2022.09.01 17:30,142
2022.09.01 17:45,140
2022.09.01 18:00,140
2022.09.01 18:15,139
2022.09.01 18:30,138
2022.09.01 18:45,137
2022.09.01 19:00,134
2022.09.01 19:15,134
2022.09.01 19:30,131
2022.09.01 19:45,129
2022.09.01 20:00,124
2022.09.01 20:15,122
2022.09.01 20:30,118
2022.09.01 20:45,116
2022.09.01 21:00,113
2022.09.01 21:15,110
2022.09.01 21:30,108
2022.09.01 21:45,107
2022.09.01 22:00,102
2022.09.01 22:15,95
2022.09.01 22:30,95
2022.09.01 22:45,90
2022.09.01 23:00,90
