ts,value
2023.04.07 00:00,891
2023.04.07 00:15,891
2023.04.07 00:30,891
2023.04.07 00:45,891
2023.04.07 01:00,891
2023.04.07 01:15,891
2023.04.07 01:30,891
2023.04.07 01:45,891
2023.04.07 02:00,891
2023.04.07 02:15,891
2023.04.07 02:30,891
2023.04.07 02:45,891
2023.04.07 03:00,891
2023.04.07 03:15,891
2023.04.07 03:30,890
2023.04.07 03:45,890
2023.04.07 04:00,890
2023.04.07 04:15,890
2023.04.07 04:30,890
2023.04.07 04:45,890
2023.04.07 05:00,890
2023.04.07 05:15,890
2023.04.07 05:30,890
2023.04.07 05:45,890
2023.04.07 06:00,890
2023.04.07 06:15,890
2023.04.07 06:30,890
2023.04.07 06:45,890
2023.04.07 07:00,890
2023.04.07 07:15,890
2023.04.07 07:30,890
2023.04.07 07:45,890
2023.04.07 08:00,890
2023.04.07 08:15,890
2023.04.07 08:30,890
2023.04.07 08:45,890
2023.04.07 09:00,890
2023.04.07 09:15,890
2023.04.07 09:30,890
2023.04.07 09:45,890
2023.04.07 10:00,890
2023.04.07 10:15,890
2023.04.07 10:30,890
2023.04.07 10:45,890
2023.04.07 11:00,890
2023.04.07 11:15,890
2023.04.07 11:30,890
2023.04.07 11:45,890
2023.04.07 12:00,890
2023.04.07 12:15,888
2023.04.07 12:30,888
2023.04.07 12:45,888
2023.04.07 13:00,888
2023.04.07 13:15,888
2023.04.07 13:30,888
2023.04.07 13:45,888
2023.04.07 14:00,888
2023.04.07 14:15,888
2023.04.07 14:30,888
2023.04.07 14:45,888
2023.04.07 15:00,888
2023.04.07 15:15,888
2023.04.07 15:30,888
2023.04.07 15:45,888
2023.04.07 16:00,888
2023.04.07 16:15,888
2023.04.07 16:30,888
2023.04.07 16:45,888
2023.04.07 17:00,888
2023.04.07 17:15,888
2023.04.07 17:30,888
2023.04.07 17:45,887
2023.04.07 18:00,887
2023.04.07 18:15,887
2023.04.07 18:30,887
2023.04.07 18:45,887
2023.04.07 19:00,887
2023.04.07 19:15,887
2023.04.07 19:30,887
2023.04.07 19:45,887
2023.04.07 20:00,887
2023.04.07 20:15,887
2023.04.07 20:30,887
2023.04.07 20:45,887
2023.04.07 21:00,887
2023.04.07 21:15,887
2023.04.07 21:30,887
2023.04.07 21:45,887
2023.04.07 22:00,887
2023.04.07 22:15,887
2023.04.07 22:30,887
2023.04.07 22:45,887
2023.04.07 23:00,887
2023.04.07 23:15,886
2023.04.07 23:30,886
2023.04.07 23:45,886
2023.04.08 00:00,886
2023.04.08 00:15,886
2023.04.08 00:30,886
2023.04.08 00:45,886
2023.04.08 01:00,886
2023.04.08 01:15,886
2023.04.08 01:30,886
2023.04.08 01:45,886
2023.04.08 02:00,886
2023.04.08 02:15,886
2023.04.08 02:30,886
2023.04.08 02:45,886
2023.04.08 03:00,886
2023.04.08 03:15,886
2023.04.08 03:30,886
2023.04.08 03:45,886
2023.04.08 04:00,886
2023.04.08 04:15,886
2023.04.08 04:30,886
2023.04.08 04:45,886
2023.04.08 05:00,886
2023.04.08 05:15,886
2023.04.08 05:30,886
2023.04.08 05:45,886
2023.04.08 06:00,886
2023.04.08 06:15,886
2023.04.08 06:30,886
2023.04.08 06:45,886
2023.04.08 07:00,886
2023.04.08 07:15,886
2023.04.08 07:30,886
2023.04.08 07:45,886
2023.04.08 08:00,886
2023.04.08 08:15,886
2023.04.08 08:30,886
2023.04.08 08:45,886
2023.04.08 09:00,886
2023.04.08 09:15,886
2023.04.08 09:30,886
2023.04.08 09:45,886
2023.04.08 10:00,886
2023.04.08 10:15,886
2023.04.08 10:30,886
2023.04.08 10:45,886
2023.04.08 11:00,886
2023.04.08 11:15,886
2023.04.08 11:30,886
2023.04.08 11:45,886
2023.04.08 12:00,885
2023.04.08 12:15,886
2023.04.08 12:30,886
2023.04.08 12:45,886
2023.04.08 13:00,885
2023.04.08 13:15,886
2023.04.08 13:30,885
2023.04.08 13:45,886
2023.04.08 14:00,886
2023.04.08 14:15,886
2023.04.08 14:30,886
2023.04.08 14:45,886
2023.04.08 15:00,885
2023.04.08 15:15,886
2023.04.08 15:30,886
2023.04.08 15:45,886
2023.04.08 16:00,886
2023.04.08 16:15,886
2023.04.08 16:30,886
2023.04.08 16:45,886
2023.04.08 17:00,886
2023.04.08 17:15,885
2023.04.08 17:30,885
2023.04.08 17:45,885
2023.04.08 18:00,886
2023.04.08 18:15,885
2023.04.08 18:30,885
2023.04.08 18:45,885
2023.04.08 19:00,885
2023.04.08 19:15,885
2023.04.08 19:30,885
2023.04.08 19:45,885
2023.04.08 20:00,884
2023.04.08 20:15,885
2023.04.08 20:30,884
2023.04.08 20:45,884
2023.04.08 21:00,884
2023.04.08 21:15,884
2023.04.08 21:30,884
2023.04.08 21:45,884
2023.04.08 22:00,884
2023.04.08 22:15,884
2023.04.08 22:30,884
2023.04.08 22:45,884
2023.04.08 23:00,884
2023.04.08 23:15,884
2023.04.08 23:30,883
2023.04.08 23:45,883
2023.04.09 00:00,883
2023.04.09 00:15,882
2023.04.09 00:30,882
2023.04.09 00:45,881
2023.04.09 01:00,881
2023.04.09 01:15,880
2023.04.09 01:30,880
2023.04.09 01:45,880
2023.04.09 02:00,879
2023.04.09 02:15,879
2023.04.09 02:30,879
2023.04.09 02:45,879
2023.04.09 03:00,879
2023.04.09 03:15,878
2023.04.09 03:30,878
2023.04.09 03:45,878
2023.04.09 04:00,878
2023.04.09 04:15,878
2023.04.09 04:30,878
2023.04.09 04:45,878
2023.04.09 05:00,878
2023.04.09 05:15,878
2023.04.09 05:30,878
2023.04.09 05:45,878
2023.04.09 06:00,878
2023.04.09 06:15,879
2023.04.09 06:30,879
2023.04.09 06:45,879
2023.04.09 07:00,879
2023.04.09 07:15,879
2023.04.09 07:30,878
2023.04.09 07:45,879
2023.04.09 08:00,879
2023.04.09 08:15,878
2023.04.09 08:30,879
2023.04.09 08:45,878
2023.04.09 09:00,878
2023.04.09 09:15,878
2023.04.09 09:30,879
2023.04.09 09:45,879
2023.04.09 10:00,879
2023.04.09 10:15,879
2023.04.09 10:30,879
2023.04.09 10:45,879
2023.04.09 11:00,879
2023.04.09 11:15,879
2023.04.09 11:30,879
2023.04.09 11:45,878
2023.04.09 12:00,879
2023.04.09 12:15,879
2023.04.09 12:30,879
2023.04.09 12:45,879
2023.04.09 13:00,879
2023.04.09 13:15,879
2023.04.09 13:30,878
2023.04.09 13:45,879
2023.04.09 14:00,879
2023.04.09 14:15,878
2023.04.09 14:30,879
2023.04.09 14:45,878
2023.04.09 15:00,879
2023.04.09 15:15,879
2023.04.09 15:30,879
2023.04.09 15:45,879
2023.04.09 16:00,878
2023.04.09 16:15,878
2023.04.09 16:30,878
2023.04.09 16:45,878
2023.04.09 17:00,878
2023.04.09 17:15,878
2023.04.09 17:30,878
2023.04.09 17:45,878
2023.04.09 18:00,878
2023.04.09 18:15,878
2023.04.09 18:30,878
2023.04.09 18:45,878
2023.04.09 19:00,878
2023.04.09 19:15,878
2023.04.09 19:30,878
2023.04.09 19:45,878
2023.04.09 20:00,878
2023.04.09 20:15,878
2023.04.09 20:30,878
2023.04.09 20:45,878
2023.04.09 21:00,878
2023.04.09 21:15,878
2023.04.09 21:30,878
2023.04.09 21:45,878
2023.04.09 22:00,878
2023.04.09 22:15,878
2023.04.09 22:30,878
2023.04.09 22:45,878
2023.04.09 23:00,878
2023.04.09 23:15,878
2023.04.09 23:30,878
2023.04.09 23:45,878
2023.04.10 00:00,878
2023.04.10 00:15,878
2023.04.10 00:30,878
2023.04.10 00:45,878
2023.04.10 01:00,878
2023.04.10 01:15,878
2023.04.10 01:30,878
2023.04.10 01:45,878
2023.04.10 02:00,878
2023.04.10 02:15,878
2023.04.10 02:30,878
2023.04.10 02:45,877
2023.04.10 03:00,877
2023.04.10 03:15,878
2023.04.10 03:30,878
2023.04.10 03:45,877
2023.04.10 04:00,877
2023.04.10 04:15,877
