ts,value
2022.11.19 00:30,113
2022.11.19 00:45,113
2022.11.19 01:00,113
2022.11.19 01:15,113
2022.11.19 01:30,113
2022.11.19 01:45,113
2022.11.19 02:00,113
2022.11.19 02:15,113
2022.11.19 02:30,113
2022.11.19 02:45,113
2022.11.19 03:00,113
2022.11.19 03:15,113
2022.11.19 03:30,113
2022.11.19 03:45,113
2022.11.19 04:00,113
2022.11.19 04:15,113
2022.11.19 04:30,113
2022.11.19 04:45,113
2022.11.19 05:00,113
2022.11.19 05:15,113
2022.11.19 05:30,113
2022.11.19 05:45,113
2022.11.19 06:00,113
2022.11.19 06:15,113
2022.11.19 06:30,113
2022.11.19 06:45,113
2022.11.19 07:00,113
2022.11.19 07:15,113
2022.11.19 07:30,113
2022.11.19 07:45,113
2022.11.19 08:00,113
2022.11.19 08:15,113
2022.11.19 08:30,113
2022.11.19 08:45,113
2022.11.19 09:00,113
2022.11.19 09:15,113
2022.11.19 09:30,113
2022.11.19 09:45,113
2022.11.19 10:00,113
2022.11.19 10:15,113
2022.11.19 10:30,113
2022.11.19 10:45,113
2022.11.19 11:00,113
2022.11.19 11:15,113
2022.11.19 11:30,113
2022.11.19 11:45,113
2022.11.19 12:00,114
2022.11.19 12:15,113
2022.11.19 12:30,113
2022.11.19 12:45,114
2022.11.19 13:00,114
2022.11.19 13:15,114
2022.11.19 13:30,114
2022.11.19 13:45,114
2022.11.19 14:00,114
2022.11.19 14:15,114
2022.11.19 14:30,114
2022.11.19 14:45,114
2022.11.19 15:00,114
2022.11.19 15:15,114
2022.11.19 15:30,114
2022.11.19 15:45,114
2022.11.19 16:00,114
2022.11.19 16:15,114
2022.11.19 16:30,114
2022.11.19 16:45,114
2022.11.19 17:00,114
2022.11.19 17:15,114
2022.11.19 17:30,114
2022.11.19 17:45,114
2022.11.19 18:00,114
2022.11.19 18:15,114
2022.11.19 18:30,114
2022.11.19 18:45,114
2022.11.19 19:00,114
2022.11.19 19:15,114
2022.11.19 19:30,114
2022.11.19 19:45,114
2022.11.19 20:00,114
2022.11.19 20:15,114
2022.11.19 20:30,114
2022.11.19 20:45,114
2022.11.19 21:00,114
2022.11.19 21:15,114
2022.11.19 21:30,114
2022.11.19 21:45,114
2022.11.19 22:00,114
2022.11.19 22:15,114
2022.11.19 22:30,114
2022.11.19 22:45,114
2022.11.19 23:00,114
2022.11.19 23:15,114
2022.11.19 23:30,114
2022.11.19 23:45,114
2022.11.20 00:00,114
2022.11.20 00:15,114
2022.11.20 00:30,114
2022.11.20 00:45,114
2022.11.20 01:00,114
2022.11.20 01:15,114
2022.11.20 01:30,114
2022.11.20 01:45,114
2022.11.20 02:00,114
2022.11.20 02:15,114
2022.11.20 02:30,114
2022.11.20 02:45,114
2022.11.20 03:00,114
2022.11.20 03:15,114
2022.11.20 03:30,114
2022.11.20 03:45,114
2022.11.20 04:00,114
2022.11.20 04:15,114
2022.11.20 04:30,114
2022.11.20 04:45,114
2022.11.20 05:00,114
2022.11.20 05:15,114
2022.11.20 05:30,114
2022.11.20 05:45,114
2022.11.20 06:00,114
2022.11.20 06:15,114
2022.11.20 06:30,114
2022.11.20 06:45,114
2022.11.20 07:00,114
2022.11.20 07:15,114
2022.11.20 07:30,114
2022.11.20 07:45,114
2022.11.20 08:00,114
2022.11.20 08:15,114
2022.11.20 08:30,114
2022.11.20 08:45,114
2022.11.20 09:00,114
2022.11.20 09:15,114
2022.11.20 09:30,114
2022.11.20 09:45,114
2022.11.20 10:00,114
2022.11.20 10:15,114
2022.11.20 10:30,114
2022.11.20 10:45,114
2022.11.20 11:00,114
2022.11.20 11:15,114
2022.11.20 11:30,114
2022.11.20 11:45,114
2022.11.20 12:00,114
2022.11.20 12:15,114
2022.11.20 12:30,114
2022.11.20 12:45,114
2022.11.20 13:00,114
2022.11.20 13:15,114
2022.11.20 13:30,114
2022.11.20 13:45,114
2022.11.20 14:00,114
2022.11.20 14:15,114
2022.11.20 14:30,114
2022.11.20 14:45,114
2022.11.20 15:00,114
2022.11.20 15:15,114
2022.11.20 15:30,114
2022.11.20 15:45,114
2022.11.20 16:00,114
2022.11.20 16:15,114
2022.11.20 16:30,114
2022.11.20 16:45,114
2022.11.20 17:00,114
2022.11.20 17:15,114
2022.11.20 17:30,114
2022.11.20 17:45,114
2022.11.20 18:00,114
2022.11.20 18:15,114
2022.11.20 18:30,114
2022.11.20 18:45,114
2022.11.20 19:00,114
2022.11.20 19:15,114
2022.11.20 19:30,114
2022.11.20 19:45,114
2022.11.20 20:00,114
2022.11.20 20:15,114
2022.11.20 20:30,114
2022.11.20 20:45,114
2022.11.20 21:00,114
2022.11.20 21:15,114
2022.11.20 21:30,114
2022.11.20 21:45,114
2022.11.20 22:00,114
2022.11.20 22:15,114
2022.11.20 22:30,114
2022.11.20 22:45,114
2022.11.20 23:00,114
