ts,value,Temp
2023-05-27 04:15:00,1,"114,375"
2023-05-27 04:30:00,1,11.5
2023-05-27 04:45:00,1,11.5
2023-05-27 05:00:00,1,"11,375"
2023-05-27 05:15:00,1,11.5
2023-05-27 05:30:00,1,"11,625"
2023-05-27 05:45:00,1,"11,875"
2023-05-27 06:00:00,1,"12,125"
2023-05-27 06:15:00,1,"123,125"
2023-05-27 06:30:00,1,"12,625"
2023-05-27 06:45:00,1,"131,875"
2023-05-27 07:00:00,1,13.75
2023-05-27 07:15:00,1,"140,625"
2023-05-27 07:30:00,1,"14,125"
2023-05-27 07:45:00,1,"144,375"
2023-05-27 08:00:00,1,"14,875"
2023-05-27 08:15:00,1,15.25
2023-05-27 08:30:00,1,"159,375"
2023-05-27 08:45:00,1,"160,625"
2023-05-27 09:00:00,1,16.25
2023-05-27 09:15:00,1,"17,125"
2023-05-27 09:30:00,1,17.75
2023-05-27 09:45:00,1,18
2023-05-27 10:00:00,1,19.5
2023-05-27 10:15:00,1,19
2023-05-27 10:30:00,1,19.25
2023-05-27 10:45:00,1,19
2023-05-27 11:00:00,1,"19,625"
2023-05-27 11:15:00,1,19.75
2023-05-27 11:30:00,1,"205,625"
2023-05-27 11:45:00,1,"21,125"
2023-05-27 12:00:00,1,"208,125"
2023-05-27 12:15:00,1,"210,625"
2023-05-27 12:30:00,1,"21,625"
2023-05-27 12:45:00,1,"21,875"
2023-05-27 13:00:00,1,21.5
2023-05-27 13:15:00,1,"21,375"
2023-05-27 13:30:00,1,"22,125"
2023-05-27 13:45:00,1,22.75
2023-05-27 14:00:00,1,"225,625"
2023-05-27 14:15:00,1,"229,375"
2023-05-27 14:30:00,1,22.5
2023-05-27 14:45:00,1,22.5
2023-05-27 15:00:00,1,"21,875"
2023-05-27 15:15:00,1,"21,875"
2023-05-27 15:30:00,1,"21,875"
2023-05-27 15:45:00,1,"220,625"
2023-05-27 16:00:00,1,"211,875"
2023-05-27 16:15:00,1,20.75
2023-05-27 16:30:00,1,20.75
2023-05-27 16:45:00,1,"20,375"
2023-05-27 17:00:00,1,20.25
2023-05-27 17:15:00,1,"19,625"
2023-05-27 17:30:00,1,"19,375"
2023-05-27 17:45:00,1,19
2023-05-27 18:00:00,1,"186,875"
2023-05-27 18:15:00,1,"18,375"
2023-05-27 18:30:00,1,"180,625"
2023-05-27 18:45:00,1,17.75
2023-05-27 19:00:00,1,"17,375"
2023-05-27 19:15:00,1,17
2023-05-27 19:30:00,1,"16,625"
2023-05-27 19:45:00,1,"16,125"
2023-05-27 20:00:00,1,"15,875"
2023-05-27 20:15:00,1,15.5
2023-05-27 20:30:00,1,"15,125"
2023-05-27 20:45:00,1,15
2023-05-27 21:00:00,1,14.75
2023-05-27 21:15:00,1,"14,625"
2023-05-27 21:30:00,1,14.5
2023-05-27 21:45:00,1,14
2023-05-27 22:00:00,1,14
2023-05-27 22:15:00,1,"13,625"
2023-05-27 22:30:00,1,13.5
2023-05-27 22:45:00,1,"131,875"
2023-05-27 23:00:00,1,"130,625"
2023-05-27 23:15:00,1,12.75
2023-05-27 23:30:00,1,12.5
2023-05-27 23:45:00,1,"12,375"
2023-05-28 00:00:00,1,12.25
2023-05-28 00:15:00,1,"12,125"
2023-05-28 00:30:00,1,"120,625"
2023-05-28 00:45:00,1,"11,875"
2023-05-28 01:00:00,1,11.5
2023-05-28 01:15:00,1,"11,375"
2023-05-28 01:30:00,1,11
2023-05-28 01:45:00,2,11
2023-05-28 02:00:00,2,"109,375"
2023-05-28 02:15:00,2,10.75
2023-05-28 02:30:00,2,10.5
2023-05-28 02:45:00,2,"104,375"
2023-05-28 03:00:00,2,"10,375"
2023-05-28 03:15:00,2,"101,875"
2023-05-28 03:30:00,2,"100,625"
2023-05-28 03:45:00,2,10
2023-05-28 04:00:00,2,"9,875"
2023-05-28 04:15:00,3,9.75
2023-05-28 04:30:00,2,"9,625"
2023-05-28 04:45:00,3,"9,625"
2023-05-28 05:00:00,4,"9,875"
2023-05-28 05:15:00,5,10
2023-05-28 05:30:00,4,"10,375"
2023-05-28 05:45:00,4,"10,625"
2023-05-28 06:00:00,4,11
2023-05-28 06:15:00,5,"11,375"
2023-05-28 06:30:00,4,11.75
2023-05-28 06:45:00,5,"12,125"
2023-05-28 07:00:00,4,12.5
2023-05-28 07:15:00,4,"12,875"
2023-05-28 07:30:00,5,13.5
2023-05-28 07:45:00,4,14.25
2023-05-28 08:00:00,4,"150,625"
2023-05-28 08:15:00,4,"15,875"
2023-05-28 08:30:00,4,16.25
2023-05-28 08:45:00,4,16.5
2023-05-28 09:00:00,4,17
2023-05-28 09:15:00,4,"17,625"
2023-05-28 09:30:00,5,18.5
2023-05-28 09:45:00,5,"19,875"
2023-05-28 10:00:00,4,20.5
2023-05-28 10:15:00,4,20.75
2023-05-28 10:30:00,4,"211,875"
2023-05-28 10:45:00,4,"21,875"
2023-05-28 11:00:00,5,22.5
2023-05-28 11:15:00,5,"23,125"
2023-05-28 11:30:00,5,"23,875"
2023-05-28 11:45:00,6,24.25
2023-05-28 12:00:00,5,24
2023-05-28 12:15:00,5,24
2023-05-28 12:30:00,4,"246,875"
2023-05-28 12:45:00,4,25.5
2023-05-28 13:00:00,5,"253,125"
2023-05-28 13:15:00,5,"255,625"
2023-05-28 13:30:00,5,"26,375"
2023-05-28 13:45:00,5,26.25
2023-05-28 14:00:00,5,"25,875"
2023-05-28 14:15:00,5,"25,875"
2023-05-28 14:30:00,4,"254,375"
2023-05-28 14:45:00,5,"25,375"
2023-05-28 15:00:00,4,24.75
2023-05-28 15:15:00,4,"24,375"
2023-05-28 15:30:00,4,24.25
2023-05-28 15:45:00,4,"238,125"
2023-05-28 16:00:00,4,23.25
2023-05-28 16:15:00,4,22.75
2023-05-28 16:30:00,4,22.5
2023-05-28 16:45:00,4,22
2023-05-28 17:00:00,4,"21,625"
2023-05-28 17:15:00,4,21.25
2023-05-28 17:30:00,4,21
2023-05-28 17:45:00,4,20.75
2023-05-28 18:00:00,4,"20,625"
2023-05-28 18:15:00,4,20.25
2023-05-28 18:30:00,4,19.75
2023-05-28 18:45:00,4,"19,125"
2023-05-28 19:00:00,4,18.75
2023-05-28 19:15:00,4,18.25
2023-05-28 19:30:00,4,"17,875"
2023-05-28 19:45:00,4,"174,375"
2023-05-28 20:00:00,4,"16,875"
2023-05-28 20:15:00,4,"164,375"
2023-05-28 20:30:00,4,16
2023-05-28 20:45:00,4,15.5
2023-05-28 21:00:00,4,15.25
2023-05-28 21:15:00,4,14.75
2023-05-28 21:30:00,4,"145,625"
2023-05-28 21:45:00,4,"14,375"
2023-05-28 22:00:00,4,14
2023-05-28 22:15:00,4,"138,125"
2023-05-28 22:30:00,4,"13,375"
2023-05-28 22:45:00,5,13
2023-05-28 23:00:00,4,13
2023-05-28 23:15:00,5,12.75
2023-05-28 23:30:00,4,"12,625"
2023-05-28 23:45:00,4,"123,125"
2023-05-29 00:00:00,6,"120,625"
2023-05-29 00:15:00,6,11.5
2023-05-29 00:30:00,8,"11,375"
2023-05-29 00:45:00,6,"11,375"
