ts,value
2022.11.24 23:30,389
2022.11.24 23:45,387
2022.11.25 00:00,386
2022.11.25 00:15,386
2022.11.25 00:30,386
2022.11.25 00:45,386
2022.11.25 01:00,386
2022.11.25 01:15,386
2022.11.25 01:30,386
2022.11.25 01:45,385
2022.11.25 02:00,385
2022.11.25 02:15,384
2022.11.25 02:30,384
2022.11.25 02:45,385
2022.11.25 03:00,384
2022.11.25 03:15,384
2022.11.25 03:30,384
2022.11.25 03:45,384
2022.11.25 04:00,384
2022.11.25 04:15,384
2022.11.25 04:30,384
2022.11.25 04:45,384
2022.11.25 05:00,384
2022.11.25 05:15,384
2022.11.25 05:30,384
2022.11.25 05:45,384
2022.11.25 06:00,384
2022.11.25 06:15,384
2022.11.25 06:30,384
2022.11.25 06:45,384
2022.11.25 07:00,384
2022.11.25 07:15,384
2022.11.25 07:30,384
2022.11.25 07:45,384
2022.11.25 08:00,384
2022.11.25 08:15,384
2022.11.25 08:30,384
2022.11.25 08:45,383
2022.11.25 09:00,384
2022.11.25 09:15,383
2022.11.25 09:30,383
2022.11.25 09:45,383
2022.11.25 10:00,383
2022.11.25 10:15,383
2022.11.25 10:30,383
2022.11.25 10:45,383
2022.11.25 11:00,383
2022.11.25 11:15,383
2022.11.25 11:30,383
2022.11.25 11:45,383
2022.11.25 12:00,383
2022.11.25 12:15,383
2022.11.25 12:30,383
2022.11.25 12:45,383
2022.11.25 13:00,383
2022.11.25 13:15,383
2022.11.25 13:30,383
2022.11.25 13:45,383
2022.11.25 14:00,383
2022.11.25 14:15,383
2022.11.25 14:30,383
2022.11.25 14:45,383
2022.11.25 15:00,383
2022.11.25 15:15,383
2022.11.25 15:30,383
2022.11.25 15:45,383
2022.11.25 16:00,383
2022.11.25 16:15,383
2022.11.25 16:30,383
2022.11.25 16:45,383
2022.11.25 17:00,383
2022.11.25 17:15,383
2022.11.25 17:30,383
2022.11.25 17:45,383
2022.11.25 18:00,383
2022.11.25 18:15,383
2022.11.25 18:30,383
2022.11.25 18:45,383
2022.11.25 19:00,383
2022.11.25 19:15,383
2022.11.25 19:30,382
2022.11.25 19:45,381
2022.11.25 20:00,381
2022.11.25 20:15,380
2022.11.25 20:30,380
2022.11.25 20:45,380
2022.11.25 21:00,379
2022.11.25 21:15,379
2022.11.25 21:30,379
2022.11.25 21:45,378
2022.11.25 22:00,377
2022.11.25 22:15,375
2022.11.25 22:30,375
2022.11.25 22:45,374
2022.11.25 23:00,375
2022.11.25 23:15,374
2022.11.25 23:30,374
2022.11.25 23:45,374
2022.11.26 00:00,374
2022.11.26 00:15,374
2022.11.26 00:30,374
2022.11.26 00:45,374
2022.11.26 01:00,374
2022.11.26 01:15,374
2022.11.26 01:30,374
2022.11.26 01:45,374
2022.11.26 02:00,374
