"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","UPLO_7297",2022-12-03,337,2022-11-30 11:00:00,2022-12-03 17:30:00,4710,-59,-0.000184615259919868,NA,NA,NA,NA,NA,NA
"2","UPLO_7297",2022-12-05,339,NA,NA,NA,NA,NA,2022-12-03 17:30:00,2022-12-05 01:30:00,1920,7,4.26542933810278e-05,NA
"3","UPLO_7297",2022-12-09,343,2022-12-09 13:00:00,2022-12-09 20:00:00,420,-2,-1.53256704980916e-05,NA,NA,NA,NA,NA,1
"4","UPLO_7297",2022-12-11,345,NA,NA,NA,NA,NA,2022-12-09 20:00:00,2022-12-11 02:45:00,1845,5,2.83591223008065e-05,NA
"5","UPLO_7297",2022-12-20,354,2022-12-11 02:45:00,2022-12-20 21:00:00,14055,-240,-0.000356758126989633,NA,NA,NA,NA,NA,NA
"6","UPLO_7297",2022-12-22,356,NA,NA,NA,NA,NA,2022-12-20 21:00:00,2022-12-22 09:00:00,2160,160,0.001219157671292,NA
"7","UPLO_7297",2022-12-23,357,2022-12-22 09:00:00,2022-12-23 05:00:00,1200,-14,-0.000213439726989866,NA,NA,NA,NA,NA,NA
"8","UPLO_7297",2022-12-24,358,NA,NA,NA,NA,NA,2022-12-23 05:00:00,2022-12-24 03:30:00,1350,11,0.000133142220098909,NA
"9","UPLO_7297",2023-01-04,4,NA,NA,NA,NA,NA,2023-01-04 02:45:00,2023-01-04 18:00:00,915,2,1.95859529545473e-05,NA
"10","UPLO_7297",2023-01-05,5,NA,NA,NA,NA,NA,2023-01-05 08:45:00,2023-01-05 15:45:00,420,2,2.29885057473018e-05,-1
"11","UPLO_7297",2023-01-13,13,2023-01-11 20:00:00,2023-01-13 06:15:00,2055,-3,-1.16923281432023e-05,NA,NA,NA,NA,NA,NA
"12","UPLO_7297",2023-01-15,15,2023-01-14 13:00:00,2023-01-15 17:15:00,1695,-3,-1.05528667121161e-05,NA,NA,NA,NA,NA,NA
"13","UPLO_7297",2023-01-16,16,NA,NA,NA,NA,NA,2023-01-15 17:15:00,2023-01-16 16:00:00,1365,2,1.22528243144901e-05,NA
"14","UPLO_7297",2023-01-26,26,2023-01-25 18:30:00,2023-01-26 20:15:00,1545,-2,-1.54521853551319e-05,NA,NA,NA,NA,NA,NA
"15","UPLO_7297",2023-01-31,31,2023-01-29 05:15:00,2023-01-31 20:45:00,3810,-532,-0.00231406483196966,NA,NA,NA,NA,NA,NA
"16","UPLO_7297",2023-02-01,32,NA,NA,NA,NA,NA,2023-01-31 20:45:00,2023-02-01 20:45:00,1440,36,0.000386089259157528,NA
"17","UPLO_7297",2023-02-03,34,2023-02-01 20:45:00,2023-02-03 10:30:00,2265,-3,-2.05980692109914e-05,NA,NA,NA,NA,NA,NA
"18","UPLO_7297",2023-02-12,43,NA,NA,NA,NA,NA,2023-02-03 10:30:00,2023-02-12 03:45:00,12555,36,6.3581832185091e-05,NA
"19","UPLO_7297",2023-02-15,46,2023-02-13 22:45:00,2023-02-15 16:45:00,2520,-17,-4.88676733020596e-05,NA,NA,NA,NA,NA,NA
