"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","UPLO_abbr7297",2023-04-25,115,2023-04-25 06:45:00,2023-04-25 13:30:00,405,-2,-3.19284802038003e-05,2023-04-24 21:45:00,2023-04-25 06:45:00,540,3,5.71624255833585e-05,NA
"2","UPLO_abbr7297",2023-04-25,115,NA,NA,NA,NA,NA,2023-04-25 13:30:00,2023-04-25 19:00:00,330,3,0.000149319279753156,NA
"3","UPLO_abbr7297",2023-04-26,116,2023-04-25 19:00:00,2023-04-26 21:45:00,1605,-3,-1.12416283213338e-05,NA,NA,NA,NA,NA,NA
"4","UPLO_abbr7297",2023-04-27,117,NA,NA,NA,NA,NA,2023-04-26 21:45:00,2023-04-27 03:15:00,330,1,1.20772946859046e-05,NA
"5","UPLO_abbr7297",2023-04-28,118,2023-04-27 03:15:00,2023-04-28 06:30:00,1635,-3,-1.61045115173694e-05,2023-04-28 06:30:00,2023-04-28 10:45:00,255,2,6.65061346182703e-05,NA
"6","UPLO_abbr7297",2023-04-28,118,2023-04-28 10:45:00,2023-04-28 23:45:00,780,-5,-9.43396226415346e-05,NA,NA,NA,NA,NA,NA
"7","UPLO_abbr7297",2023-04-30,120,2023-04-29 08:15:00,2023-04-30 04:30:00,1215,-3,-3.82136797716548e-05,2023-04-30 04:30:00,2023-04-30 09:00:00,270,2,6.43274853793238e-05,-1
"8","UPLO_abbr7297",2023-05-02,122,NA,NA,NA,NA,NA,2023-04-30 20:15:00,2023-05-02 18:30:00,2775,13,8.07024032832312e-05,NA
"9","UPLO_abbr7297",2023-05-03,123,NA,NA,NA,NA,NA,2023-05-02 21:15:00,2023-05-03 06:45:00,570,2,4.02609086816855e-05,NA
"10","UPLO_abbr7297",2023-05-04,124,2023-05-04 14:45:00,2023-05-04 20:45:00,360,-2,-3.41880341880217e-05,2023-05-03 21:00:00,2023-05-04 14:45:00,1065,3,2.99947835162844e-05,1
"11","UPLO_abbr7297",2023-05-09,129,2023-05-09 13:15:00,2023-05-09 22:00:00,525,-2,-4.61890461890449e-05,2023-05-04 20:45:00,2023-05-09 13:15:00,6750,10,2.71175675017662e-05,1
"12","UPLO_abbr7297",2023-05-10,130,2023-05-10 03:45:00,2023-05-10 23:00:00,1155,-6,-6.43941150268014e-05,2023-05-09 22:00:00,2023-05-10 03:45:00,345,1,1.11111111112047e-05,NA
"13","UPLO_abbr7297",2023-05-11,131,2023-05-11 17:00:00,2023-05-11 21:45:00,285,-3,-0.00010944026733424,NA,NA,NA,NA,NA,1
"14","UPLO_abbr7297",2023-05-15,135,2023-05-12 17:00:00,2023-05-15 01:45:00,3405,-25,-0.000109215867130656,NA,NA,NA,NA,NA,NA
"15","UPLO_abbr7297",2023-05-16,136,2023-05-15 13:45:00,2023-05-16 21:15:00,1890,-4,-1.20948423113824e-05,NA,NA,NA,NA,NA,NA
"16","UPLO_abbr7297",2023-05-17,137,2023-05-17 08:45:00,2023-05-17 23:00:00,855,-3,-3.61951049451431e-05,2023-05-16 21:15:00,2023-05-17 08:45:00,690,3,1.82444238873809e-05,NA
"17","UPLO_abbr7297",2023-05-18,138,NA,NA,NA,NA,NA,2023-05-17 23:00:00,2023-05-18 12:00:00,780,3,3.63740615313035e-05,NA
"18","UPLO_abbr7297",2023-05-19,139,2023-05-18 12:00:00,2023-05-19 01:00:00,780,-3,-6.20867602006349e-05,2023-05-19 01:00:00,2023-05-19 09:45:00,525,4,9.98140998141e-05,-1
"19","UPLO_abbr7297",2023-05-20,140,NA,NA,NA,NA,NA,2023-05-20 02:45:00,2023-05-20 12:30:00,585,5,8.25515947465684e-05,NA
"20","UPLO_abbr7297",2023-05-21,141,NA,NA,NA,NA,NA,2023-05-20 22:00:00,2023-05-21 18:30:00,1230,9,0.000112085974560326,NA
"21","UPLO_abbr7297",2023-05-22,142,2023-05-21 18:30:00,2023-05-22 01:45:00,435,-2,-1.26065999266287e-05,NA,NA,NA,NA,NA,NA
"22","UPLO_abbr7297",2023-05-25,145,2023-05-25 06:15:00,2023-05-25 20:15:00,840,-3,-1.46198830407198e-05,NA,NA,NA,NA,NA,NA
"23","UPLO_abbr7297",2023-05-26,146,2023-05-26 08:15:00,2023-05-26 18:00:00,585,-2,-3.0122993537645e-05,NA,NA,NA,NA,NA,NA
"24","UPLO_abbr7297",2023-05-27,147,NA,NA,NA,NA,NA,2023-05-27 08:45:00,2023-05-27 16:45:00,480,2,1.22549019600967e-05,-1
"25","UPLO_abbr7297",2023-05-28,148,2023-05-27 16:45:00,2023-05-28 03:00:00,615,-2,-3.6103683296236e-05,2023-05-28 03:00:00,2023-05-28 14:30:00,690,9,0.000167797307020701,NA
"26","UPLO_abbr7297",2023-05-28,148,2023-05-28 14:30:00,2023-05-28 22:45:00,495,-3,-7.07919531442265e-05,NA,NA,NA,NA,NA,NA
"27","UPLO_abbr7297",2023-05-29,149,NA,NA,NA,NA,NA,2023-05-28 22:45:00,2023-05-29 12:30:00,825,3,3.55434039644092e-05,NA
"28","UPLO_abbr7297",2023-05-30,150,2023-05-29 12:30:00,2023-05-30 04:15:00,945,-5,-8.63095238095233e-05,NA,NA,NA,NA,NA,NA
"29","UPLO_abbr7297",2023-05-31,151,NA,NA,NA,NA,NA,2023-05-30 04:15:00,2023-05-31 16:15:00,2160,10,4.17694501303955e-05,NA
"30","UPLO_abbr7297",2023-06-01,152,2023-05-31 16:15:00,2023-06-01,465,-2,-5.76327794081516e-05,NA,NA,NA,NA,NA,NA
"31","UPLO_abbr7297",2023-06-02,153,2023-06-02 14:30:00,2023-06-02 20:45:00,375,-2,-4.86229819570719e-05,2023-06-01,2023-06-02 14:30:00,2310,8,3.98096527128419e-05,1
