ts,value
06.04.2023 03:00:00,0.375
06.04.2023 03:15:00,0.3125
06.04.2023 03:30:00,0.375
06.04.2023 03:45:00,0.375
06.04.2023 04:00:00,0.375
06.04.2023 04:15:00,0.375
06.04.2023 04:30:00,0.375
06.04.2023 04:45:00,0.4375
06.04.2023 05:00:00,0.375
06.04.2023 05:15:00,0.375
06.04.2023 05:30:00,0.375
06.04.2023 05:45:00,0.375
06.04.2023 06:00:00,0.375
06.04.2023 06:15:00,0.375
06.04.2023 06:30:00,0.375
06.04.2023 06:45:00,0.375
06.04.2023 07:00:00,0.375
06.04.2023 07:15:00,0.4375
06.04.2023 07:30:00,0.5
06.04.2023 07:45:00,0.5
06.04.2023 08:00:00,0.5
06.04.2023 08:15:00,0.5625
06.04.2023 08:30:00,0.625
06.04.2023 08:45:00,0.625
06.04.2023 09:00:00,0.625
06.04.2023 09:15:00,0.5
06.04.2023 09:30:00,0.5625
06.04.2023 09:45:00,0.6875
06.04.2023 10:00:00,0.75
06.04.2023 10:15:00,0.875
06.04.2023 10:30:00,0.875
06.04.2023 10:45:00,0.625
06.04.2023 11:00:00,0.875
06.04.2023 11:15:00,0.8125
06.04.2023 11:30:00,1.125
06.04.2023 11:45:00,0.9375
06.04.2023 12:00:00,0.8125
06.04.2023 12:15:00,1
06.04.2023 12:30:00,0.9375
06.04.2023 12:45:00,1
06.04.2023 13:00:00,1
06.04.2023 13:15:00,1
06.04.2023 13:30:00,1.125
06.04.2023 13:45:00,1
06.04.2023 14:00:00,1
06.04.2023 14:15:00,1
06.04.2023 14:30:00,1.25
06.04.2023 14:45:00,1.375
06.04.2023 15:00:00,1.1875
06.04.2023 15:15:00,1.5
06.04.2023 15:30:00,1.5
06.04.2023 15:45:00,1.875
06.04.2023 16:00:00,1.8125
06.04.2023 16:15:00,1.5
06.04.2023 16:30:00,1.625
06.04.2023 16:45:00,1.875
06.04.2023 17:00:00,2.25
06.04.2023 17:15:00,2.125
06.04.2023 17:30:00,2.375
06.04.2023 17:45:00,2.6875
06.04.2023 18:00:00,3
06.04.2023 18:15:00,3.3125
06.04.2023 18:30:00,3.125
06.04.2023 18:45:00,3.0625
06.04.2023 19:00:00,3.5
06.04.2023 19:15:00,3.375
06.04.2023 19:30:00,3.375
06.04.2023 19:45:00,3.1875
06.04.2023 20:00:00,3.25
06.04.2023 20:15:00,3.375
06.04.2023 20:30:00,3.0625
06.04.2023 20:45:00,3.25
06.04.2023 21:00:00,2.875
06.04.2023 21:15:00,3.25
06.04.2023 21:30:00,2.625
06.04.2023 21:45:00,3.25
06.04.2023 22:00:00,3.375
06.04.2023 22:15:00,3.125
06.04.2023 22:30:00,3.1875
06.04.2023 22:45:00,3.125
06.04.2023 23:00:00,3.125
06.04.2023 23:15:00,3.125
06.04.2023 23:30:00,3.25
06.04.2023 23:45:00,3.375
07.04.2023,3.25
07.04.2023 00:15:00,3.375
07.04.2023 00:30:00,3.6875
07.04.2023 00:45:00,3.5
07.04.2023 01:00:00,3.625
07.04.2023 01:15:00,3.625
07.04.2023 01:30:00,3.25
07.04.2023 01:45:00,3
07.04.2023 02:00:00,3.125
07.04.2023 02:15:00,2.5625
07.04.2023 02:30:00,2.875
07.04.2023 02:45:00,3
07.04.2023 03:00:00,2.625
07.04.2023 03:15:00,2.5625
07.04.2023 03:30:00,2.5625
07.04.2023 03:45:00,2.625
07.04.2023 04:00:00,2.25
07.04.2023 04:15:00,2.375
07.04.2023 04:30:00,2.4375
07.04.2023 04:45:00,2.375
07.04.2023 05:00:00,2.375
07.04.2023 05:15:00,2.25
07.04.2023 05:30:00,2.25
07.04.2023 05:45:00,1.875
07.04.2023 06:00:00,1.875
07.04.2023 06:15:00,1.875
07.04.2023 06:30:00,1.875
07.04.2023 06:45:00,1.75
07.04.2023 07:00:00,1.75
07.04.2023 07:15:00,1.5
07.04.2023 07:30:00,1.6875
07.04.2023 07:45:00,1.5625
07.04.2023 08:00:00,1.625
07.04.2023 08:15:00,1.5625
07.04.2023 08:30:00,1.5
07.04.2023 08:45:00,1.5
07.04.2023 09:00:00,1.5
07.04.2023 09:15:00,1.625
07.04.2023 09:30:00,1.75
07.04.2023 09:45:00,1.5
07.04.2023 10:00:00,1.625
07.04.2023 10:15:00,1.5625
07.04.2023 10:30:00,1.5
07.04.2023 10:45:00,1.4375
07.04.2023 11:00:00,1.625
07.04.2023 11:15:00,1.5625
07.04.2023 11:30:00,1.5625
07.04.2023 11:45:00,1.5625
07.04.2023 12:00:00,1.3125
07.04.2023 12:15:00,1.125
07.04.2023 12:30:00,1
07.04.2023 12:45:00,0.875
07.04.2023 13:00:00,0.8125
07.04.2023 13:15:00,0.75
07.04.2023 13:30:00,0.625
07.04.2023 13:45:00,0.625
07.04.2023 14:00:00,0.625
07.04.2023 14:15:00,0.75
07.04.2023 14:30:00,0.8125
07.04.2023 14:45:00,0.875
07.04.2023 15:00:00,0.875
07.04.2023 15:15:00,1.125
07.04.2023 15:30:00,1.25
07.04.2023 15:45:00,1.25
07.04.2023 16:00:00,1.3125
07.04.2023 16:15:00,1.375
07.04.2023 16:30:00,1.5
07.04.2023 16:45:00,1.5
07.04.2023 17:00:00,1.625
07.04.2023 17:15:00,1.625
07.04.2023 17:30:00,1.625
07.04.2023 17:45:00,1.625
07.04.2023 18:00:00,1.5625
07.04.2023 18:15:00,1.75
07.04.2023 18:30:00,1.75
07.04.2023 18:45:00,1.875
07.04.2023 19:00:00,1.875
07.04.2023 19:15:00,1.9375
07.04.2023 19:30:00,2.1875
07.04.2023 19:45:00,2.25
07.04.2023 20:00:00,2.3125
07.04.2023 20:15:00,2.375
07.04.2023 20:30:00,2.125
07.04.2023 20:45:00,2
07.04.2023 21:00:00,1.875
07.04.2023 21:15:00,2
07.04.2023 21:30:00,2
07.04.2023 21:45:00,2
07.04.2023 22:00:00,2.5
07.04.2023 22:15:00,2.25
07.04.2023 22:30:00,2.125
07.04.2023 22:45:00,2.4375
07.04.2023 23:00:00,2.5
07.04.2023 23:15:00,2.25
07.04.2023 23:30:00,1.25
07.04.2023 23:45:00,0.875
08.04.2023,1.125
08.04.2023 00:15:00,1.375
08.04.2023 00:30:00,1.375
08.04.2023 00:45:00,1.25
08.04.2023 01:00:00,1.125
08.04.2023 01:15:00,1.125
08.04.2023 01:30:00,0.6875
08.04.2023 01:45:00,0.5
08.04.2023 02:00:00,0.4375
08.04.2023 02:15:00,0.5
08.04.2023 02:30:00,0.5
08.04.2023 02:45:00,0.4375
08.04.2023 03:00:00,0.375
08.04.2023 03:15:00,0.375
08.04.2023 03:30:00,0.375
08.04.2023 03:45:00,0.375
08.04.2023 04:00:00,0.5
08.04.2023 04:15:00,0.4375
08.04.2023 04:30:00,0.5
08.04.2023 04:45:00,0.5
08.04.2023 05:00:00,0.5
08.04.2023 05:15:00,0.5
08.04.2023 05:30:00,0.5
08.04.2023 05:45:00,0.25
08.04.2023 06:00:00,0
08.04.2023 06:15:00,0.0625
08.04.2023 06:30:00,0.125
08.04.2023 06:45:00,0.125
08.04.2023 07:00:00,-0.125
08.04.2023 07:15:00,-0.125
08.04.2023 07:30:00,0
08.04.2023 07:45:00,0
08.04.2023 08:00:00,0
08.04.2023 08:15:00,0.125
08.04.2023 08:30:00,0.25
08.04.2023 08:45:00,0.3125
08.04.2023 09:00:00,0.375
08.04.2023 09:15:00,0.375
08.04.2023 09:30:00,0.25
08.04.2023 09:45:00,0.25
08.04.2023 10:00:00,0.125
08.04.2023 10:15:00,0
08.04.2023 10:30:00,-0.125
08.04.2023 10:45:00,-0.25
08.04.2023 11:00:00,-0.4375
08.04.2023 11:15:00,-0.5
08.04.2023 11:30:00,-0.625
08.04.2023 11:45:00,-0.625
08.04.2023 12:00:00,-0.75
08.04.2023 12:15:00,-0.5
08.04.2023 12:30:00,-0.5
08.04.2023 12:45:00,-0.4375
08.04.2023 13:00:00,-0.5
08.04.2023 13:15:00,-0.5
08.04.2023 13:30:00,-0.625
08.04.2023 13:45:00,-0.625
08.04.2023 14:00:00,-0.625
08.04.2023 14:15:00,-0.5
08.04.2023 14:30:00,-0.5
08.04.2023 14:45:00,-0.25
08.04.2023 15:00:00,0.0625
08.04.2023 15:15:00,0.25
08.04.2023 15:30:00,0.375
08.04.2023 15:45:00,0.5
08.04.2023 16:00:00,0.6875
08.04.2023 16:15:00,0.875
08.04.2023 16:30:00,1.0625
08.04.2023 16:45:00,1.4375
08.04.2023 17:00:00,1.4375
08.04.2023 17:15:00,1.625
08.04.2023 17:30:00,1.9375
08.04.2023 17:45:00,2
08.04.2023 18:00:00,2.3125
08.04.2023 18:15:00,2.625
08.04.2023 18:30:00,2.625
08.04.2023 18:45:00,2.875
08.04.2023 19:00:00,2.875
08.04.2023 19:15:00,3.125
08.04.2023 19:30:00,3.625
08.04.2023 19:45:00,3.5
08.04.2023 20:00:00,3.75
08.04.2023 20:15:00,3.9375
08.04.2023 20:30:00,4.1875
08.04.2023 20:45:00,4.375
08.04.2023 21:00:00,4.5
08.04.2023 21:15:00,4.375
08.04.2023 21:30:00,4.3125
08.04.2023 21:45:00,4.25
08.04.2023 22:00:00,4.375
08.04.2023 22:15:00,4.6875
08.04.2023 22:30:00,4.9375
08.04.2023 22:45:00,4.875
08.04.2023 23:00:00,4.5
08.04.2023 23:15:00,5
08.04.2023 23:30:00,5.125
08.04.2023 23:45:00,5.4375
09.04.2023,5
09.04.2023 00:15:00,6
09.04.2023 00:30:00,5.375
09.04.2023 00:45:00,4.75
09.04.2023 01:00:00,4.5625
09.04.2023 01:15:00,4.375
09.04.2023 01:30:00,3.9375
09.04.2023 01:45:00,3.9375
09.04.2023 02:00:00,3.25
09.04.2023 02:15:00,3
09.04.2023 02:30:00,2.625
09.04.2023 02:45:00,2.75
09.04.2023 03:00:00,2.5
09.04.2023 03:15:00,2.375
09.04.2023 03:30:00,2.625
09.04.2023 03:45:00,3.125
09.04.2023 04:00:00,3.875
09.04.2023 04:15:00,4.125
09.04.2023 04:30:00,4
09.04.2023 04:45:00,3.625
09.04.2023 05:00:00,3.75
09.04.2023 05:15:00,4
09.04.2023 05:30:00,3.8125
09.04.2023 05:45:00,4.375
09.04.2023 06:00:00,4.75
09.04.2023 06:15:00,4.625
09.04.2023 06:30:00,4.375
09.04.2023 06:45:00,4.625
09.04.2023 07:00:00,4.1875
09.04.2023 07:15:00,4.625
09.04.2023 07:30:00,4.625
09.04.2023 07:45:00,4.5
09.04.2023 08:00:00,4.8125
09.04.2023 08:15:00,4.75
09.04.2023 08:30:00,4.375
09.04.2023 08:45:00,4.125
09.04.2023 09:00:00,4.5
09.04.2023 09:15:00,4.6875
09.04.2023 09:30:00,4.3125
09.04.2023 09:45:00,3.875
09.04.2023 10:00:00,4.25
09.04.2023 10:15:00,4.375
09.04.2023 10:30:00,4
09.04.2023 10:45:00,4.125
09.04.2023 11:00:00,4.125
09.04.2023 11:15:00,4.1875
09.04.2023 11:30:00,4.25
09.04.2023 11:45:00,4.375
09.04.2023 12:00:00,5.1875
09.04.2023 12:15:00,4.875
09.04.2023 12:30:00,4.25
09.04.2023 12:45:00,4.375
09.04.2023 13:00:00,4.125
09.04.2023 13:15:00,3.5
09.04.2023 13:30:00,3.875
09.04.2023 13:45:00,3.625
09.04.2023 14:00:00,3.875
09.04.2023 14:15:00,3.75
09.04.2023 14:30:00,4.375
09.04.2023 14:45:00,3.9375
09.04.2023 15:00:00,4.875
09.04.2023 15:15:00,4.75
09.04.2023 15:30:00,5
09.04.2023 15:45:00,4.6875
09.04.2023 16:00:00,3.5
09.04.2023 16:15:00,2.75
09.04.2023 16:30:00,3.125
09.04.2023 16:45:00,3.75
09.04.2023 17:00:00,3.5
09.04.2023 17:15:00,3.875
09.04.2023 17:30:00,4.25
09.04.2023 17:45:00,4.1875
09.04.2023 18:00:00,3.875
09.04.2023 18:15:00,3.625
09.04.2023 18:30:00,4.4375
09.04.2023 18:45:00,4.4375
09.04.2023 19:00:00,5
09.04.2023 19:15:00,5.125
09.04.2023 19:30:00,4.6875
09.04.2023 19:45:00,4.5
09.04.2023 20:00:00,5
09.04.2023 20:15:00,4.625
09.04.2023 20:30:00,4.5625
09.04.2023 20:45:00,4.875
09.04.2023 21:00:00,4.5
09.04.2023 21:15:00,4.75
09.04.2023 21:30:00,4.875
09.04.2023 21:45:00,4.625
09.04.2023 22:00:00,4.25
09.04.2023 22:15:00,4
09.04.2023 22:30:00,4.25
09.04.2023 22:45:00,4.5
09.04.2023 23:00:00,4.25
09.04.2023 23:15:00,4.25
09.04.2023 23:30:00,4
09.04.2023 23:45:00,3.125
10.04.2023,3.4375
10.04.2023 00:15:00,3.375
10.04.2023 00:30:00,3
10.04.2023 00:45:00,3.25
10.04.2023 01:00:00,3.25
10.04.2023 01:15:00,3.875
10.04.2023 01:30:00,3.4375
10.04.2023 01:45:00,3.25
10.04.2023 02:00:00,3.25
10.04.2023 02:15:00,3.625
10.04.2023 02:30:00,3.5625
10.04.2023 02:45:00,3.75
10.04.2023 03:00:00,4.25
10.04.2023 03:15:00,3.75
10.04.2023 03:30:00,3.75
10.04.2023 03:45:00,4
10.04.2023 04:00:00,4.125
10.04.2023 04:15:00,4.4375
10.04.2023 04:30:00,4.25
10.04.2023 04:45:00,4.125
10.04.2023 05:00:00,4.25
10.04.2023 05:15:00,4.375
10.04.2023 05:30:00,4.125
10.04.2023 05:45:00,4.125
10.04.2023 06:00:00,4.0625
10.04.2023 06:15:00,3.875
10.04.2023 06:30:00,3.875
10.04.2023 06:45:00,4
10.04.2023 07:00:00,4.25
10.04.2023 07:15:00,4.5
10.04.2023 07:30:00,4.875
10.04.2023 07:45:00,4.875
10.04.2023 08:00:00,5.3125
10.04.2023 08:15:00,5.125
10.04.2023 08:30:00,5
10.04.2023 08:45:00,5.125
10.04.2023 09:00:00,5.125
10.04.2023 09:15:00,5
10.04.2023 09:30:00,5.125
10.04.2023 09:45:00,5.375
10.04.2023 10:00:00,5.75
10.04.2023 10:15:00,5.4375
10.04.2023 10:30:00,5.5
10.04.2023 10:45:00,5.625
10.04.2023 11:00:00,5.5
10.04.2023 11:15:00,5.5
10.04.2023 11:30:00,5.4375
10.04.2023 11:45:00,5.25
10.04.2023 12:00:00,5.375
10.04.2023 12:15:00,5.125
10.04.2023 12:30:00,5.625
10.04.2023 12:45:00,5.125
10.04.2023 13:00:00,5.5
10.04.2023 13:15:00,5.25
10.04.2023 13:30:00,5.75
10.04.2023 13:45:00,5.875
