"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","VAN_621",2023-02-14,45,2023-02-14,2023-02-14 15:45:00,945,-73,-0.00146808862433862,2023-02-14 15:45:00,2023-02-14 23:30:00,465,4,7.00553926364389e-05,NA
"2","VAN_621",2023-02-15,46,2023-02-14 23:30:00,2023-02-15 20:00:00,1230,-220,-0.00374761531606756,NA,NA,NA,NA,NA,NA
"3","VAN_621",2023-02-16,47,2023-02-16 02:45:00,2023-02-16 19:15:00,990,-190,-0.0039466659571959,2023-02-15 20:00:00,2023-02-16 02:45:00,405,12,0.00058809219729002,NA
"4","VAN_621",2023-02-17,48,2023-02-17 01:30:00,2023-02-17 19:15:00,1065,-277,-0.00509587969210495,2023-02-16 19:15:00,2023-02-17 01:30:00,375,8,0.000336942070274772,NA
"5","VAN_621",2023-02-18,49,2023-02-18 01:30:00,2023-02-18 14:15:00,765,-104,-0.00275963554265764,2023-02-17 19:15:00,2023-02-18 01:30:00,375,7,0.000305033238365997,NA
"6","VAN_621",2023-02-18,49,NA,NA,NA,NA,NA,2023-02-18 14:15:00,2023-02-18 20:45:00,390,8,0.000147198480531871,NA
"7","VAN_621",2023-02-22,53,2023-02-22 03:45:00,2023-02-22 18:00:00,855,-192,-0.00486627634734872,2023-02-21 15:00:00,2023-02-22 03:45:00,765,4,3.17311249609723e-05,NA
"8","VAN_621",2023-02-26,57,NA,NA,NA,NA,NA,2023-02-22 18:00:00,2023-02-26 10:45:00,5325,41,6.84261255274945e-05,NA
"9","VAN_621",2023-02-27,58,2023-02-26 10:45:00,2023-02-27 05:30:00,1125,-266,-0.00442358674462199,NA,NA,NA,NA,NA,NA
"10","VAN_621",2023-03-11,70,2023-03-10 07:30:00,2023-03-11 17:00:00,2010,-237,-0.0021996101554669,NA,NA,NA,NA,NA,NA
"11","VAN_621",2023-03-12,71,2023-03-12 03:00:00,2023-03-12 09:00:00,360,-4,-0.000127350427350405,2023-03-11 17:00:00,2023-03-12 03:00:00,600,8,0.000269066976383446,NA
"12","VAN_621",2023-03-12,71,NA,NA,NA,NA,NA,2023-03-12 09:00:00,2023-03-12 17:45:00,525,4,6.7782067782057e-05,NA
"13","VAN_621",2023-03-13,72,2023-03-12 17:45:00,2023-03-13 08:45:00,900,-3,-1.95076091427275e-05,2023-03-13 08:45:00,2023-03-13 14:45:00,360,3,0.000100854700854695,-1
"14","VAN_621",2023-03-14,73,2023-03-13 14:45:00,2023-03-14 00:30:00,585,-4,-8.63039399619354e-05,2023-03-14 00:30:00,2023-03-14 07:15:00,405,4,8.57507754056516e-05,NA
"15","VAN_621",2023-03-14,73,2023-03-14 07:15:00,2023-03-14 17:00:00,585,-77,-0.00228189493432218,NA,NA,NA,NA,NA,NA
"16","VAN_621",2023-03-15,74,2023-03-15 08:15:00,2023-03-15 18:30:00,615,-100,-0.00327265033448776,2023-03-14 17:00:00,2023-03-15 08:15:00,915,79,0.00154007146075116,1
"17","VAN_621",2023-03-16,75,2023-03-16 03:30:00,2023-03-16 19:00:00,930,-260,-0.00521891625055628,2023-03-15 18:30:00,2023-03-16 03:30:00,540,38,0.00146896896898447,NA
"18","VAN_621",2023-03-17,76,NA,NA,NA,NA,NA,2023-03-16 19:00:00,2023-03-17 02:45:00,465,10,0.000278388725956143,NA
"19","VAN_621",2023-03-19,78,2023-03-17 02:45:00,2023-03-19 15:45:00,3660,-194,-0.00109625265540058,NA,NA,NA,NA,NA,NA
"20","VAN_621",2023-03-20,79,2023-03-19 17:30:00,2023-03-20 00:30:00,420,-7,-9.90695128627057e-05,NA,NA,NA,NA,NA,NA
"21","VAN_621",2023-03-21,80,NA,NA,NA,NA,NA,2023-03-20 00:30:00,2023-03-21 20:30:00,2640,167,0.00098487012574846,NA
"22","VAN_621",2023-03-23,82,2023-03-21 20:30:00,2023-03-23 12:30:00,2400,-12,-6.4837180175321e-05,NA,NA,NA,NA,NA,NA
"23","VAN_621",2023-03-24,83,2023-03-24 09:30:00,2023-03-24 22:00:00,750,-10,-0.000251985922579004,2023-03-23 12:30:00,2023-03-24 09:30:00,1260,9,8.80941523894646e-05,NA
