"","series","day","doy","shrink_start","shrink_end","shrink_dur","shrink_amp","shrink_slope","exp_start","exp_end","exp_dur","exp_amp","exp_slope","phase_class"
"1","VAN_abbr621",2023-04-08,98,NA,NA,NA,NA,NA,2023-04-07 23:15:00,2023-04-08 03:30:00,255,2,5.61862171764759e-05,NA
"2","VAN_abbr621",2023-04-09,99,2023-04-08 03:30:00,2023-04-09 19:15:00,2385,-7,-3.89956638931081e-05,NA,NA,NA,NA,NA,NA
"3","VAN_abbr621",2023-04-11,101,NA,NA,NA,NA,NA,2023-04-09 19:15:00,2023-04-11 14:00:00,2565,4,1.19896536010718e-05,NA
"4","VAN_abbr621",2023-04-13,103,2023-04-12 16:45:00,2023-04-13 08:45:00,960,-2,-2.19502719502935e-05,2023-04-13 08:45:00,2023-04-13 13:30:00,285,2,3.17460317459744e-05,NA
"5","VAN_abbr621",2023-04-14,104,2023-04-14 08:15:00,2023-04-14 14:45:00,390,-2,-1.76366843033327e-05,2023-04-13 15:45:00,2023-04-14 08:15:00,990,7,0.000114179547893233,NA
"6","VAN_abbr621",2023-04-14,104,NA,NA,NA,NA,NA,2023-04-14 14:45:00,2023-04-14 19:45:00,300,1,1.44300144301845e-05,NA
"7","VAN_abbr621",2023-04-16,106,2023-04-14 19:45:00,2023-04-16 04:00:00,1935,-120,-0.00071966856759219,2023-04-16 04:00:00,2023-04-16 17:15:00,795,3,1.57973868665616e-05,NA
"8","VAN_abbr621",2023-04-18,108,NA,NA,NA,NA,NA,2023-04-16 20:15:00,2023-04-18 03:30:00,1875,57,0.000606128122876457,NA
"9","VAN_abbr621",2023-04-20,110,2023-04-18 03:30:00,2023-04-20 15:00:00,3570,-9,-1.7797076989796e-05,2023-04-20 15:00:00,2023-04-20 23:00:00,480,6,0.000161913250147181,-1
"10","VAN_abbr621",2023-04-23,113,NA,NA,NA,NA,NA,2023-04-23 02:00:00,2023-04-23 06:45:00,285,1,1.58730158726123e-05,-1
"11","VAN_abbr621",2023-04-25,115,NA,NA,NA,NA,NA,2023-04-24 01:00:00,2023-04-25 03:30:00,1590,7,5.00162185344302e-05,NA
"12","VAN_abbr621",2023-04-27,117,2023-04-26 15:30:00,2023-04-27 07:30:00,960,-24,-0.000480914918415202,2023-04-27 07:30:00,2023-04-27 15:00:00,450,4,9.81182795696315e-05,-1
"13","VAN_abbr621",2023-04-28,118,2023-04-27 15:00:00,2023-04-28 04:00:00,780,-17,-0.000399845902994041,2023-04-28 04:00:00,2023-04-28 10:45:00,405,4,2.03734111815503e-05,NA
"14","VAN_abbr621",2023-04-28,118,2023-04-28 10:45:00,2023-04-28 22:30:00,705,-9,-0.00019099483765342,NA,NA,NA,NA,NA,NA
"15","VAN_abbr621",2023-04-29,119,NA,NA,NA,NA,NA,2023-04-28 22:30:00,2023-04-29 16:15:00,1065,4,3.86234198701461e-05,NA
"16","VAN_abbr621",2023-04-30,120,2023-04-29 16:15:00,2023-04-30 04:45:00,750,-5,-6.38511814980201e-05,NA,NA,NA,NA,NA,NA
"17","VAN_abbr621",2023-05-01,121,NA,NA,NA,NA,NA,2023-04-30 04:45:00,2023-05-01 17:00:00,2175,16,8.09000028920232e-05,NA
"18","VAN_abbr621",2023-05-02,122,2023-05-01 17:00:00,2023-05-02,420,-2,-1.69677066232768e-05,2023-05-02,2023-05-02 18:00:00,1080,14,0.000211889972164661,NA
"19","VAN_abbr621",2023-05-03,123,2023-05-03 13:30:00,2023-05-03 20:00:00,390,-3,-4.20567087233713e-05,2023-05-03 03:15:00,2023-05-03 13:30:00,615,4,3.38528302225411e-05,NA
"20","VAN_abbr621",2023-05-05,125,NA,NA,NA,NA,NA,2023-05-03 20:00:00,2023-05-05 10:30:00,2310,31,0.000238959367990356,NA
"21","VAN_abbr621",2023-05-06,126,2023-05-05 10:30:00,2023-05-06,810,-2,-1.03415103414817e-05,2023-05-06,2023-05-06 14:45:00,885,4,4.2697045475584e-05,NA
"22","VAN_abbr621",2023-05-13,133,2023-05-09 10:45:00,2023-05-13 05:30:00,5445,-25,-6.02347700729024e-05,2023-05-13 05:30:00,2023-05-13 14:00:00,510,3,3.89044506696663e-05,NA
"23","VAN_abbr621",2023-05-13,133,2023-05-13 14:00:00,2023-05-13 18:15:00,255,-2,-0.000111225776866211,2023-05-13 18:15:00,2023-05-13 23:30:00,315,2,6.27391931717432e-05,NA
"24","VAN_abbr621",2023-05-15,135,2023-05-15 14:45:00,2023-05-15 21:30:00,405,-4,-0.000129538405399326,2023-05-14 21:45:00,2023-05-15 14:45:00,1020,7,9.14220760774577e-05,1
"25","VAN_abbr621",2023-05-16,136,NA,NA,NA,NA,NA,2023-05-15 21:30:00,2023-05-16 16:15:00,1125,5,8.40434419379475e-05,NA
"26","VAN_abbr621",2023-05-17,137,2023-05-17 09:00:00,2023-05-17 21:45:00,765,-3,-3.96046178508227e-05,2023-05-16 20:00:00,2023-05-17 09:00:00,780,6,0.000114587252951726,NA
"27","VAN_abbr621",2023-05-18,138,2023-05-18 17:45:00,2023-05-18 22:00:00,255,-2,-6.19195046439836e-05,2023-05-17 21:45:00,2023-05-18 17:45:00,1200,7,0.000106067449563384,1
"28","VAN_abbr621",2023-05-19,139,2023-05-19 13:45:00,2023-05-19 21:30:00,465,-3,-6.02802215704638e-05,2023-05-18 22:00:00,2023-05-19 13:45:00,945,14,0.000239150895400896,1
"29","VAN_abbr621",2023-05-20,140,2023-05-20 14:30:00,2023-05-20 19:00:00,270,-1,-1.75438596478215e-05,2023-05-19 21:30:00,2023-05-20 14:30:00,1020,22,0.000352372833193507,1
"30","VAN_abbr621",2023-05-24,144,2023-05-24 17:00:00,2023-05-24 21:30:00,270,-2,-8.77192982426176e-05,2023-05-20 19:00:00,2023-05-24 17:00:00,5640,30,9.32968058182336e-05,1
"31","VAN_abbr621",2023-05-25,145,NA,NA,NA,NA,NA,2023-05-24 21:30:00,2023-05-25 10:00:00,750,4,7.90346908001144e-05,NA
"32","VAN_abbr621",2023-05-26,146,2023-05-25 10:00:00,2023-05-26 06:30:00,1230,-3,-2.27157176907275e-05,NA,NA,NA,NA,NA,NA
"33","VAN_abbr621",2023-05-27,147,NA,NA,NA,NA,NA,2023-05-26 06:30:00,2023-05-27 19:00:00,2190,25,0.000164174518382092,NA
"34","VAN_abbr621",2023-05-28,148,2023-05-27 19:00:00,2023-05-28 03:00:00,480,-2,-2.67379679143746e-05,NA,NA,NA,NA,NA,NA
"35","VAN_abbr621",2023-05-29,149,2023-05-29 09:15:00,2023-05-29 21:30:00,735,-2,-1.86741363208529e-05,2023-05-28 03:00:00,2023-05-29 09:15:00,1815,26,0.000230554242949306,NA
"36","VAN_abbr621",2023-05-30,150,NA,NA,NA,NA,NA,2023-05-29 21:30:00,2023-05-30 13:30:00,960,11,0.000148989898990565,NA
"37","VAN_abbr621",2023-06-02,153,NA,NA,NA,NA,NA,2023-05-31 01:45:00,2023-06-02 16:45:00,3780,48,0.000123412603727578,NA
"38","VAN_abbr621",2023-06-03,154,2023-06-03 12:00:00,2023-06-03 20:15:00,495,-3,-5.82293523471685e-05,2023-06-02 20:45:00,2023-06-03 12:00:00,915,14,0.000147608135445196,1
"39","VAN_abbr621",2023-06-04,155,2023-06-04 14:00:00,2023-06-04 21:30:00,450,-2,-1.52329749105786e-05,2023-06-03 20:15:00,2023-06-04 14:00:00,1065,28,0.000463132677358401,1
"40","VAN_abbr621",2023-06-05,156,NA,NA,NA,NA,NA,2023-06-04 21:30:00,2023-06-05 13:30:00,960,25,0.000507138694637069,NA
"41","VAN_abbr621",2023-06-06,157,2023-06-05 13:30:00,2023-06-06 02:45:00,795,-4,-8.78385532470762e-05,2023-06-06 02:45:00,2023-06-06 13:00:00,615,31,0.000871440275873004,NA
"42","VAN_abbr621",2023-06-06,157,2023-06-06 13:00:00,2023-06-06 20:15:00,435,-7,-0.000229637869237991,NA,NA,NA,NA,NA,NA
"43","VAN_abbr621",2023-06-07,158,2023-06-07 12:45:00,2023-06-07 20:30:00,465,-3,-4.96904529163864e-05,2023-06-06 20:15:00,2023-06-07 12:45:00,990,54,0.000962101258412355,1
"44","VAN_abbr621",2023-06-10,161,NA,NA,NA,NA,NA,2023-06-07 20:30:00,2023-06-10 13:00:00,3870,52,0.00016428452474964,NA
"45","VAN_abbr621",2023-06-11,162,2023-06-10 13:00:00,2023-06-11 01:30:00,750,-5,-8.05429864256423e-05,2023-06-11 01:30:00,2023-06-11 12:15:00,645,7,0.000157152924594309,NA
"46","VAN_abbr621",2023-06-11,162,2023-06-11 12:15:00,2023-06-11 21:00:00,525,-2,-2.64550264550224e-05,NA,NA,NA,NA,NA,NA
"47","VAN_abbr621",2023-06-12,163,2023-06-12 13:00:00,2023-06-12 22:15:00,555,-2,-4.40116229605703e-05,2023-06-11 21:00:00,2023-06-12 13:00:00,960,36,0.000591831779334788,1
"48","VAN_abbr621",2023-06-13,164,2023-06-13 13:00:00,2023-06-13 19:15:00,375,-2,-3.22886989555401e-05,2023-06-12 22:15:00,2023-06-13 13:00:00,885,21,0.00034298107498801,1
"49","VAN_abbr621",2023-06-14,165,2023-06-14 14:30:00,2023-06-14 22:30:00,480,-2,-1.18835412942053e-05,2023-06-13 19:15:00,2023-06-14 14:30:00,1155,6,9.31838906516979e-05,1
"50","VAN_abbr621",2023-06-15,166,2023-06-15 11:45:00,2023-06-15 21:30:00,585,-2,-1.84490306443282e-05,2023-06-14 22:30:00,2023-06-15 11:45:00,795,7,0.000128030832433509,1
"51","VAN_abbr621",2023-06-16,167,2023-06-16 11:30:00,2023-06-16 19:30:00,480,-2,-2.59952465838765e-05,2023-06-15 21:30:00,2023-06-16 11:30:00,840,5,6.64016362746066e-05,1
"52","VAN_abbr621",2023-06-20,171,NA,NA,NA,NA,NA,2023-06-16 19:30:00,2023-06-20 15:15:00,5505,83,0.000270663996771402,NA
"53","VAN_abbr621",2023-06-22,173,2023-06-20 15:15:00,2023-06-22 20:30:00,3195,-9,-4.69048199701086e-05,NA,NA,NA,NA,NA,NA
"54","VAN_abbr621",2023-06-23,174,NA,NA,NA,NA,NA,2023-06-22 20:30:00,2023-06-23 12:45:00,975,5,6.71003954584943e-05,NA
"55","VAN_abbr621",2023-06-24,175,2023-06-23 12:45:00,2023-06-24 03:15:00,870,-3,-5.48736930973339e-05,2023-06-24 03:15:00,2023-06-24 13:45:00,630,9,0.000173495754891433,NA
"56","VAN_abbr621",2023-06-24,175,2023-06-24 13:45:00,2023-06-24 20:45:00,420,-2,-2.90093048718545e-05,NA,NA,NA,NA,NA,NA
"57","VAN_abbr621",2023-06-26,177,NA,NA,NA,NA,NA,2023-06-24 20:45:00,2023-06-26 19:15:00,2790,17,9.52059657499301e-05,NA
"58","VAN_abbr621",2023-06-28,179,2023-06-28 11:45:00,2023-06-28 20:15:00,510,-3,-6.28695922811807e-05,2023-06-26 20:30:00,2023-06-28 11:45:00,2355,26,0.000223673934751076,1
"59","VAN_abbr621",2023-06-29,180,NA,NA,NA,NA,NA,2023-06-28 20:15:00,2023-06-29 17:15:00,1260,6,9.42826743093084e-05,NA
"60","VAN_abbr621",2023-06-30,181,2023-06-30 13:00:00,2023-06-30 21:45:00,525,-3,-4.96210496210374e-05,2023-06-29 20:00:00,2023-06-30 13:00:00,1020,11,0.000130759550196206,1
"61","VAN_abbr621",2023-07-01,182,NA,NA,NA,NA,NA,2023-06-30 21:45:00,2023-07-01 15:30:00,1065,23,0.000280984486328865,NA
"62","VAN_abbr621",2023-07-02,183,2023-07-01 15:30:00,2023-07-02 02:15:00,645,-4,-0.000103594080338974,2023-07-02 02:15:00,2023-07-02 12:45:00,630,10,0.000233564884726497,NA
"63","VAN_abbr621",2023-07-02,183,2023-07-02 12:45:00,2023-07-02 21:30:00,525,-3,-5.17660517660344e-05,NA,NA,NA,NA,NA,NA
"64","VAN_abbr621",2023-07-03,184,2023-07-03 12:15:00,2023-07-03 19:30:00,435,-2,-2.71907057221097e-05,2023-07-02 21:30:00,2023-07-03 12:15:00,885,14,0.000106078849063376,1
"65","VAN_abbr621",2023-07-04,185,2023-07-04 16:15:00,2023-07-04 21:00:00,285,-4,-0.000251461988304441,2023-07-03 19:30:00,2023-07-04 16:15:00,1245,7,9.58455671427296e-05,1
"66","VAN_abbr621",2023-07-05,186,2023-07-05 13:30:00,2023-07-05 22:00:00,510,-3,-7.00280112037207e-05,2023-07-04 21:00:00,2023-07-05 13:30:00,990,9,0.00013732584847578,1
"67","VAN_abbr621",2023-07-06,187,2023-07-06 13:45:00,2023-07-06 19:45:00,360,-3,-5.72649572649483e-05,2023-07-05 22:00:00,2023-07-06 13:45:00,945,26,0.000457341269841269,1
"68","VAN_abbr621",2023-07-07,188,NA,NA,NA,NA,NA,2023-07-06 19:45:00,2023-07-07 13:00:00,1035,20,0.000221940337677135,NA
"69","VAN_abbr621",2023-07-08,189,2023-07-07 13:00:00,2023-07-08 02:30:00,810,-2,-1.33878467211187e-05,2023-07-08 02:30:00,2023-07-08 14:30:00,720,26,0.000663435374149658,-1
"70","VAN_abbr621",2023-07-09,190,2023-07-08 14:30:00,2023-07-09 02:45:00,735,-4,-8.7074829931298e-05,2023-07-09 02:45:00,2023-07-09 14:00:00,675,16,0.000195669304827399,-1
"71","VAN_abbr621",2023-07-10,191,2023-07-09 14:00:00,2023-07-10 02:30:00,750,-4,-9.77375565634412e-05,2023-07-10 02:30:00,2023-07-10 17:45:00,915,21,0.000429333415407649,NA
"72","VAN_abbr621",2023-07-11,192,2023-07-10 17:45:00,2023-07-11 03:15:00,570,-5,-6.86009896533989e-05,2023-07-11 03:15:00,2023-07-11 13:45:00,630,15,0.000249840598678378,NA
"73","VAN_abbr621",2023-07-11,192,2023-07-11 13:45:00,2023-07-11 23:30:00,585,-3,-7.82780904739498e-05,NA,NA,NA,NA,NA,NA
"74","VAN_abbr621",2023-07-12,193,2023-07-12 11:30:00,2023-07-12 19:00:00,450,-2,-3.09139784946862e-05,2023-07-11 23:30:00,2023-07-12 11:30:00,720,4,8.37868480725778e-05,1
"75","VAN_abbr621",2023-07-13,194,NA,NA,NA,NA,NA,2023-07-12 19:00:00,2023-07-13 17:15:00,1335,23,0.000333690030319113,NA
"76","VAN_abbr621",2023-07-14,195,NA,NA,NA,NA,NA,2023-07-13 21:15:00,2023-07-14 10:00:00,765,4,7.24266484533698e-05,NA
"77","VAN_abbr621",2023-07-15,196,2023-07-14 10:00:00,2023-07-15 00:15:00,855,-3,-5.26008182348009e-05,2023-07-15 00:15:00,2023-07-15 12:30:00,735,5,8.67547018812755e-05,NA
"78","VAN_abbr621",2023-07-15,196,2023-07-15 12:30:00,2023-07-15 21:15:00,525,-4,-9.26640926641005e-05,NA,NA,NA,NA,NA,NA
"79","VAN_abbr621",2023-07-16,197,2023-07-16 14:30:00,2023-07-16 20:45:00,375,-4,-0.000174358974361478,2023-07-15 21:15:00,2023-07-16 14:30:00,1035,8,0.00013927040503829,1
"80","VAN_abbr621",2023-07-17,198,2023-07-17 15:15:00,2023-07-17 20:15:00,300,-3,-0.00015151515151669,2023-07-16 20:45:00,2023-07-17 15:15:00,1110,32,0.000456962225379115,1
"81","VAN_abbr621",2023-07-18,199,2023-07-18 09:45:00,2023-07-18 21:15:00,690,-4,-6.34700380319855e-05,2023-07-17 20:15:00,2023-07-18 09:45:00,810,3,3.96825396830588e-05,1
"82","VAN_abbr621",2023-07-19,200,NA,NA,NA,NA,NA,2023-07-18 21:15:00,2023-07-19 16:00:00,1125,6,0.000102817650185777,NA
"83","VAN_abbr621",2023-07-20,201,2023-07-19 16:00:00,2023-07-20 02:30:00,630,-7,-0.000152857478439372,2023-07-20 02:30:00,2023-07-20 12:15:00,585,13,0.000278298936837451,-1
