ts,value
2023.04.24 07:00,608
2023.04.24 07:15,608
2023.04.24 07:30,608
2023.04.24 07:45,608
2023.04.24 08:00,608
2023.04.24 08:15,608
2023.04.24 08:30,608
2023.04.24 08:45,608
2023.04.24 09:00,608
2023.04.24 09:15,608
2023.04.24 09:30,608
2023.04.24 09:45,608
2023.04.24 10:00,609
2023.04.24 10:15,609
2023.04.24 10:30,609
2023.04.24 10:45,608
2023.04.24 11:00,611
2023.04.24 11:15,608
2023.04.24 11:30,609
2023.04.24 11:45,611
2023.04.24 12:00,622
2023.04.24 12:15,622
2023.04.24 12:30,620
2023.04.24 12:45,617
2023.04.24 13:00,617
2023.04.24 13:15,617
2023.04.24 13:30,617
2023.04.24 13:45,617
2023.04.24 14:00,617
2023.04.24 14:15,617
2023.04.24 14:30,617
2023.04.24 14:45,617
2023.04.24 15:00,617
2023.04.24 15:15,617
2023.04.24 15:30,617
2023.04.24 15:45,617
2023.04.24 16:00,620
2023.04.24 16:15,620
2023.04.24 16:30,621
2023.04.24 16:45,624
2023.04.24 17:00,626
2023.04.24 17:15,632
2023.04.24 17:30,636
2023.04.24 17:45,639
2023.04.24 18:00,640
2023.04.24 18:15,641
2023.04.24 18:30,643
2023.04.24 18:45,647
2023.04.24 19:00,650
2023.04.24 19:15,649
2023.04.24 19:30,652
2023.04.24 19:45,655
2023.04.24 20:00,657
2023.04.24 20:15,664
2023.04.24 20:30,664
2023.04.24 20:45,664
2023.04.24 21:00,667
2023.04.24 21:15,667
2023.04.24 21:30,667
2023.04.24 21:45,666
2023.04.24 22:00,666
2023.04.24 22:15,666
2023.04.24 22:30,667
2023.04.24 22:45,666
2023.04.24 23:00,666
2023.04.24 23:15,666
2023.04.24 23:30,666
2023.04.24 23:45,669
2023.04.25 00:00,668
2023.04.25 00:15,668
2023.04.25 00:30,668
2023.04.25 00:45,670
2023.04.25 01:00,671
2023.04.25 01:15,671
2023.04.25 01:30,671
2023.04.25 01:45,671
2023.04.25 02:00,671
2023.04.25 02:15,671
2023.04.25 02:30,670
2023.04.25 02:45,670
2023.04.25 03:00,670
2023.04.25 03:15,670
2023.04.25 03:30,670
2023.04.25 03:45,670
2023.04.25 04:00,670
2023.04.25 04:15,671
2023.04.25 04:30,671
2023.04.25 04:45,671
2023.04.25 05:00,671
2023.04.25 05:15,671
2023.04.25 05:30,671
2023.04.25 05:45,671
2023.04.25 06:00,671
2023.04.25 06:15,671
2023.04.25 06:30,671
2023.04.25 06:45,672
2023.04.25 07:00,671
2023.04.25 07:15,671
2023.04.25 07:30,671
2023.04.25 07:45,672
2023.04.25 08:00,672
2023.04.25 08:15,671
2023.04.25 08:30,672
2023.04.25 08:45,672
2023.04.25 09:00,672
2023.04.25 09:15,672
2023.04.25 09:30,671
2023.04.25 09:45,672
2023.04.25 10:00,672
2023.04.25 10:15,672
2023.04.25 10:30,672
2023.04.25 10:45,672
2023.04.25 11:00,671
2023.04.25 11:15,672
2023.04.25 11:30,672
2023.04.25 11:45,671
2023.04.25 12:00,671
2023.04.25 12:15,671
2023.04.25 12:30,671
2023.04.25 12:45,671
2023.04.25 13:00,671
2023.04.25 13:15,671
2023.04.25 13:30,670
2023.04.25 13:45,665
2023.04.25 14:00,663
2023.04.25 14:15,660
2023.04.25 14:30,660
2023.04.25 14:45,660
2023.04.25 15:00,660
2023.04.25 15:15,660
2023.04.25 15:30,660
2023.04.25 15:45,660
2023.04.25 16:00,668
2023.04.25 16:15,671
2023.04.25 16:30,670
2023.04.25 16:45,671
2023.04.25 17:00,671
2023.04.25 17:15,672
2023.04.25 17:30,672
2023.04.25 17:45,679
2023.04.25 18:00,683
2023.04.25 18:15,686
2023.04.25 18:30,686
2023.04.25 18:45,686
2023.04.25 19:00,687
2023.04.25 19:15,687
2023.04.25 19:30,687
2023.04.25 19:45,687
2023.04.25 20:00,686
2023.04.25 20:15,687
2023.04.25 20:30,687
2023.04.25 20:45,687
2023.04.25 21:00,687
2023.04.25 21:15,687
2023.04.25 21:30,687
2023.04.25 21:45,687
2023.04.25 22:00,687
2023.04.25 22:15,687
2023.04.25 22:30,687
2023.04.25 22:45,687
2023.04.25 23:00,687
2023.04.25 23:15,687
2023.04.25 23:30,687
2023.04.25 23:45,687
2023.04.26 00:00,687
2023.04.26 00:15,687
2023.04.26 00:30,687
2023.04.26 00:45,687
2023.04.26 01:00,687
2023.04.26 01:15,687
2023.04.26 01:30,687
2023.04.26 01:45,687
2023.04.26 02:00,687
2023.04.26 02:15,687
2023.04.26 02:30,687
2023.04.26 02:45,687
2023.04.26 03:00,687
2023.04.26 03:15,687
2023.04.26 03:30,687
2023.04.26 03:45,687
2023.04.26 04:00,687
2023.04.26 04:15,687
2023.04.26 04:30,687
2023.04.26 04:45,687
2023.04.26 05:00,687
2023.04.26 05:15,687
2023.04.26 05:30,687
2023.04.26 05:45,687
2023.04.26 06:00,687
2023.04.26 06:15,687
2023.04.26 06:30,687
2023.04.26 06:45,687
