PRISM Time Series Data
Location:  Lat: 44.1734   Lon: -122.1968   Elev: 492m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2014-01 - 2024-06
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Dec-05
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2014-01,222.00,0.3,3.9,7.4,-0.5,0.30,2.38
2014-02,477.06,0.6,3.7,6.8,0.5,0.12,2.53
2014-03,439.48,2.4,7.1,11.9,2.8,0.17,6.12
2014-04,177.38,3.7,9.5,15.4,3.6,0.19,10.49
2014-05,156.70,7.5,14.0,20.6,6.5,0.48,15.97
2014-06,56.17,8.7,15.6,22.6,8.3,0.38,16.53
2014-07,23.73,13.0,21.6,30.1,12.0,0.93,28.72
2014-08,17.55,12.8,20.8,28.9,11.2,1.11,26.92
2014-09,38.27,10.3,18.3,26.2,7.4,1.53,23.86
2014-10,230.01,7.9,12.4,16.9,8.0,0.18,7.92
2014-11,348.79,3.6,6.5,9.5,2.4,0.40,3.32
2014-12,388.94,2.8,5.2,7.6,2.1,0.21,1.69
2015-01,117.91,1.7,5.3,8.8,1.8,0.17,2.52
2015-02,164.56,3.3,7.5,11.7,2.0,0.25,5.44
2015-03,132.49,3.4,9.7,16.0,3.2,0.26,9.28
2015-04,119.34,2.5,8.9,15.3,3.0,0.08,10.98
2015-05,51.73,7.8,14.1,20.5,7.0,0.31,14.51
2015-06,9.12,11.6,20.2,28.7,9.1,1.27,28.07
2015-07,6.35,12.8,21.6,30.5,9.7,2.00,33.08
2015-08,22.10,12.3,21.1,29.9,8.4,2.27,32.51
2015-09,56.46,8.4,15.9,23.5,7.7,0.55,16.90
2015-10,68.53,7.7,13.6,19.4,7.4,0.45,10.10
2015-11,264.81,1.9,4.8,7.7,1.5,0.23,2.25
2015-12,515.21,1.4,3.3,5.2,1.2,0.14,1.24
2016-01,234.56,0.8,3.2,5.6,0.7,0.15,1.56
2016-02,159.63,2.6,6.3,10.0,2.8,0.20,3.25
2016-03,263.56,2.5,6.5,10.6,2.9,0.21,4.57
2016-04,121.62,5.6,12.5,19.5,5.2,0.43,14.46
2016-05,41.90,7.7,14.2,20.6,6.5,0.58,15.13
2016-06,45.54,9.2,17.0,24.9,8.7,0.69,21.52
2016-07,36.47,10.8,18.8,26.8,10.4,0.60,22.33
2016-08,0.62,11.1,20.9,30.7,8.4,1.93,34.85
2016-09,33.07,7.7,15.4,23.1,7.1,0.61,17.31
2016-10,389.64,7.3,10.4,13.4,7.5,0.20,3.45
2016-11,209.03,4.9,7.9,10.9,5.0,0.21,2.57
2016-12,325.71,-1.6,0.5,2.6,-1.9,0.19,0.94
2017-01,150.63,-2.6,0.4,3.4,-3.4,0.22,2.07
2017-02,312.16,1.0,3.9,6.9,-0.1,0.25,2.71
2017-03,380.43,2.5,5.8,9.1,3.3,0.07,2.87
2017-04,227.09,3.1,7.9,12.7,3.4,0.15,6.12
2017-05,108.41,6.5,13.9,21.2,6.5,0.34,17.00
2017-06,55.31,9.9,17.1,24.3,8.9,0.79,19.92
2017-07,0.00,11.4,21.0,30.6,10.0,0.95,30.01
2017-08,0.32,12.6,21.9,31.2,9.7,2.25,34.40
2017-09,141.53,9.7,16.3,22.9,8.5,1.05,17.43
2017-10,241.19,4.3,9.2,14.1,4.3,0.26,5.93
2017-11,307.07,2.7,5.6,8.4,2.7,0.14,1.99
2017-12,120.65,-0.4,2.5,5.5,-1.2,0.29,2.18
2018-01,227.47,2.2,4.9,7.7,2.0,0.18,2.14
2018-02,151.72,-0.3,3.1,6.6,-0.3,0.23,2.77
2018-03,139.48,0.5,4.9,9.3,1.1,0.12,4.75
2018-04,187.80,3.6,8.9,14.3,3.5,0.31,8.61
2018-05,16.30,7.4,15.2,23.1,7.5,0.33,18.49
2018-06,57.66,8.5,16.5,24.6,7.8,0.55,20.67
2018-07,0.00,11.7,21.7,31.8,9.1,2.08,36.71
2018-08,2.97,11.4,20.9,30.4,9.4,1.57,33.60
2018-09,8.44,8.3,16.9,25.6,6.1,1.53,22.10
2018-10,112.65,6.2,11.6,16.9,4.5,1.20,9.61
2018-11,173.25,3.3,7.1,11.0,2.5,0.58,4.41
2018-12,291.37,2.0,3.9,5.9,0.6,0.32,1.42
2019-01,155.47,0.3,4.0,7.8,0.1,0.23,3.25
2019-02,309.87,-0.3,2.3,4.9,-1.6,0.19,2.69
2019-03,102.17,0.9,5.6,10.2,-1.4,0.65,6.81
2019-04,349.16,5.0,9.9,14.9,5.1,0.47,8.35
2019-05,61.90,8.4,15.5,22.5,6.2,1.46,19.02
2019-06,38.11,10.7,18.8,27.0,8.3,1.98,26.08
2019-07,1.62,12.7,20.7,28.7,10.9,1.82,26.94
2019-08,16.82,13.2,22.0,30.8,11.3,2.21,32.39
2019-09,123.51,10.9,16.8,22.7,11.0,0.64,15.86
2019-10,100.42,4.8,9.4,14.0,3.3,0.89,7.72
2019-11,49.57,3.7,8.4,13.1,2.3,1.18,7.88
2019-12,143.20,1.8,3.9,6.0,1.7,0.45,1.60
2020-01,466.61,2.7,4.6,6.5,2.6,0.37,2.00
2020-02,164.12,0.9,4.8,8.6,0.4,0.55,4.47
2020-03,130.82,1.4,6.9,12.4,1.0,0.45,8.32
2020-04,101.64,5.9,12.3,18.7,4.2,0.83,14.23
2020-05,127.04,8.0,14.7,21.3,7.0,1.17,16.30
2020-06,69.55,11.3,16.9,22.6,10.0,1.36,16.27
2020-07,0.00,12.7,20.8,28.8,11.0,2.13,27.72
2020-08,0.16,11.5,20.4,29.4,10.0,1.78,29.38
2020-09,67.00,12.6,18.8,25.1,8.4,3.37,21.93
2020-10,102.02,8.0,13.2,18.5,6.4,1.59,12.18
2020-11,292.84,3.8,6.4,9.1,2.8,0.89,3.81
2020-12,273.47,2.1,4.9,7.8,1.4,0.53,3.48
2021-01,238.10,0.7,3.8,6.9,1.7,0.26,2.74
2021-02,332.69,2.3,5.0,7.7,1.5,0.74,3.54
2021-03,99.07,1.0,6.5,12.0,0.7,0.51,8.11
2021-04,28.85,2.2,11.3,20.4,0.2,1.33,19.75
2021-05,76.25,5.9,14.4,22.8,6.1,0.86,20.19
2021-06,34.73,11.2,19.8,28.4,10.6,1.96,30.27
2021-07,2.41,12.1,23.1,34.0,11.1,2.22,41.71
2021-08,0.58,11.8,21.3,30.8,11.0,1.87,33.95
2021-09,135.88,8.9,16.6,24.4,7.7,1.60,21.60
2021-10,149.10,5.5,10.0,14.5,6.4,0.36,6.89
2021-11,245.97,3.8,7.1,10.4,5.0,0.36,3.24
2021-12,357.42,1.2,3.2,5.1,2.1,0.27,1.45
2022-01,249.58,-0.6,3.1,6.9,-0.0,0.50,3.18
2022-02,71.87,-0.8,4.2,9.3,-0.5,0.54,5.82
2022-03,152.63,2.7,7.6,12.4,3.2,0.40,7.14
2022-04,251.46,1.5,6.2,10.8,1.8,0.34,6.85
2022-05,294.82,5.6,10.5,15.3,5.7,0.55,8.88
2022-06,144.03,9.3,16.0,22.8,9.5,0.84,17.85
2022-07,10.83,13.2,22.1,31.0,12.1,2.44,33.28
2022-08,3.20,13.2,22.5,31.8,12.1,2.20,33.90
2022-09,17.60,10.8,18.3,25.9,8.7,2.41,24.01
2022-10,97.16,7.7,14.6,21.4,6.6,1.45,17.42
2022-11,259.54,0.2,4.1,7.9,0.1,0.53,4.45
2022-12,354.76,-0.3,2.0,4.3,0.5,0.32,1.51
2023-01,114.23,0.5,3.5,6.4,0.2,0.59,3.01
