"DateTime","Observed (2023)","Observed(1979)","Median Average (1979-2019)","10-90% Range (1979-2019) (low)","10-90% Range (1979-2019) (high)","30-70% Range (1979-2019) (low)","30-70% Range (1979-2019) (high)"
"2023-01-01",40.73000000000004,31.19000000000002,43.81,36.07,51.25,40.46,46.83
"2023-01-02",40.37000000000006,40.73000000000004,43.84,35.97,51.45,40.46,46.92
"2023-01-03",40.37000000000006,39.83000000000004,43.98,35.95,51.58,40.45,47.02
"2023-01-04",41.63000000000004,35.51000000000008,43.98,35.9,51.68,40.38,47.05
"2023-01-05",47.570000000000064,35.33000000000004,43.92,35.9,51.85,40.3,46.99
"2023-01-06",46.13000000000004,36.23000000000004,43.91,35.89,51.91,40.28,46.97
"2023-01-07",45.59000000000002,37.85,43.94,35.97,52.23,40.33,47.09
"2023-01-08",42.89000000000002,40.55,44.05,36.03,52.38,40.38,47.31
"2023-01-09",42.89000000000002,40.73000000000004,43.96,36.1,52.48,40.41,47.39
"2023-01-10",43.25,43.79000000000002,43.97,36.25,52.61,40.44,47.47
"2023-01-11",42.35,40.55,43.94,36.29,52.65,40.45,47.49
"2023-01-12",52.610000000000085,35.69000000000002,43.95,36.4,52.72,40.5,47.58
"2023-01-13",51.71000000000008,38.570000000000064,43.97,36.55,52.74,40.55,47.53
"2023-01-14",46.13000000000004,37.85,44.01,36.6,52.92,40.52,47.54
"2023-01-15",40.55,38.75,44.05,36.71,53.18,40.6,47.63
"2023-01-16",40.55,35.87000000000006,44.05,36.66,53.39,40.66,47.73
"2023-01-17",39.47000000000006,39.110000000000085,44.09,36.57,53.36,40.69,47.85
"2023-01-18",37.67000000000006,36.05,44.14,36.33,53.5,40.64,47.97
"2023-01-19",40.55,37.31000000000008,44.22,36.12,53.68,40.7,48.06
"2023-01-20",43.97000000000006,44.15,44.29,36.04,53.9,40.66,48.17
"2023-01-21",38.93000000000004,41.99000000000002,44.33,36.04,54.11,40.68,48.28
"2023-01-22",36.41000000000008,37.85,44.38,36.08,54.08,40.77,48.35
"2023-01-23",46.31000000000008,42.71000000000008,44.5,36.27,54.23,40.9,48.5
"2023-01-24",50.27000000000007,33.530000000000044,44.56,36.33,54.46,41.12,48.64
"2023-01-25",54.23000000000005,31.19000000000002,44.81,36.43,54.65,41.31,48.88
"2023-01-26",54.77000000000007,33.17000000000006,45.04,36.53,54.77,41.46,49.1
"2023-01-27",38.93000000000004,29.930000000000042,45.19,36.63,54.94,41.63,49.34
"2023-01-28",36.77000000000006,29.930000000000042,45.29,36.69,55.07,41.66,49.4
"2023-01-29",25.07000000000006,29.75,45.28,36.77,55.26,41.7,49.4
"2023-01-30",42.17000000000006,31.55,45.46,36.83,55.36,41.88,49.39
"2023-01-31",50.45,33.17000000000006,45.61,36.78,55.37,42.03,49.44
"2023-02-01",55.49000000000002,29.75,45.73,36.92,55.57,42.16,49.61
"2023-02-02",59.45,32.99000000000002,45.87,36.99,55.76,42.28,49.77
"2023-02-03",48.83000000000004,34.610000000000085,45.92,37.07,56.03,42.3,49.88
"2023-02-04",48.47000000000006,40.91000000000008,46.01,37.07,56.14,42.4,49.91
"2023-02-05",41.45,41.27000000000006,46.08,37.21,56.23,42.44,49.95
"2023-02-06",38.21000000000008,43.79000000000002,46.19,37.4,56.12,42.58,49.96
"2023-02-07",38.75,43.43000000000004,46.32,37.6,56.21,42.74,49.99
"2023-02-08",43.25,51.17000000000006,46.34,37.79,56.15,42.86,50
